Residence,Region,Sub-Region,Period,Business
"Others, America",America,,2011-04,240
France,Europe,,2011-04,866
Italy,Europe,,2011-04,555
United States of America,America,,2011-04,11013
"Korea,Republic of",Asia,,2011-04,5796
India,Asia,,2011-04,1219
Middle East,Asia,,2011-05,1007
Belgium,Europe,,2011-05,197
"Others, America",America,,2011-05,207
Argentina,America,,2011-05,52
Brazil,America,,2011-05,240
Mexico,America,,2011-05,89
United States of America,America,,2011-05,12077
Canada,America,,2011-05,1126
"Others, Asia",Asia,,2011-05,314
"Others, Southeast Asia",Asia,Southeast Asia,2011-05,971
Thailand,Asia,Southeast Asia,2011-05,1863
Philippines,Asia,Southeast Asia,2011-05,1546
Indonesia,Asia,Southeast Asia,2011-05,1129
Singapore,Asia,Southeast Asia,2011-05,4153
France,Europe,,2011-05,1228
Germany,Europe,,2011-05,2472
Italy,Europe,,2011-05,688
Netherlands,Europe,,2011-05,603
Unstated,,,2011-05,2
"Others, Africa",Africa,,2011-05,194
S. Africa,Africa,,2011-05,190
"Others, Oceania",Oceania,,2011-05,28
New Zealand,Oceania,,2011-05,259
Australia,Oceania,,2011-05,1246
Malaysia,Asia,Southeast Asia,2011-05,2189
"Others, Europe",Europe,,2011-05,1083
Sweden,Europe,,2011-05,332
Greece,Europe,,2011-05,41
Austria,Europe,,2011-05,223
United Kingdom,Europe,,2011-05,1759
Spain,Europe,,2011-05,254
Switzerland,Europe,,2011-05,335
Russian Federation,Europe,,2011-05,310
India,Asia,,2011-05,1298
"Korea,Republic of",Asia,,2011-05,5680
Japan,Asia,,2011-05,24481
Mainland China,Asia,,2011-05,12990
HongKong. Macao,Asia,,2011-05,6467
S. Africa,Africa,,2011-06,118
Canada,America,,2011-06,974
"Others, Asia",Asia,,2011-06,228
"Others, Southeast Asia",Asia,Southeast Asia,2011-06,1007
Thailand,Asia,Southeast Asia,2011-06,2025
Philippines,Asia,Southeast Asia,2011-06,1537
Indonesia,Asia,Southeast Asia,2011-06,1236
Singapore,Asia,Southeast Asia,2011-06,3997
Middle East,Asia,,2011-06,804
United States of America,America,,2011-06,10449
India,Asia,,2011-06,1086
"Korea,Republic of",Asia,,2011-06,5799
Japan,Asia,,2011-06,27038
Mainland China,Asia,,2011-06,12270
HongKong. Macao,Asia,,2011-06,6527
Malaysia,Asia,Southeast Asia,2011-06,2252
"Others, Oceania",Oceania,,2011-06,22
Mexico,America,,2011-06,54
Argentina,America,,2011-06,16
"Others, Africa",Africa,,2011-06,163
New Zealand,Oceania,,2011-06,197
Australia,Oceania,,2011-06,1075
"Others, Europe",Europe,,2011-06,819
Russian Federation,Europe,,2011-06,247
Sweden,Europe,,2011-06,236
Greece,Europe,,2011-06,49
Austria,Europe,,2011-06,166
United Kingdom,Europe,,2011-06,1620
Spain,Europe,,2011-06,177
Switzerland,Europe,,2011-06,264
Netherlands,Europe,,2011-06,508
Italy,Europe,,2011-06,551
Germany,Europe,,2011-06,1668
France,Europe,,2011-06,923
Belgium,Europe,,2011-06,191
"Others, America",America,,2011-06,151
Brazil,America,,2011-06,144
Unstated,,,2011-06,1
"Others, Europe",Europe,,2011-07,617
Mainland China,Asia,,2011-07,10388
"Others, America",America,,2011-07,116
Argentina,America,,2011-07,12
Brazil,America,,2011-07,134
Mexico,America,,2011-07,66
United States of America,America,,2011-07,9557
Canada,America,,2011-07,932
Belgium,Europe,,2011-07,133
HongKong. Macao,Asia,,2011-07,5576
Thailand,Asia,Southeast Asia,2011-07,1963
Philippines,Asia,Southeast Asia,2011-07,1538
Indonesia,Asia,Southeast Asia,2011-07,1455
Singapore,Asia,Southeast Asia,2011-07,3813
Malaysia,Asia,Southeast Asia,2011-07,1998
Middle East,Asia,,2011-07,648
"Others, Southeast Asia",Asia,Southeast Asia,2011-07,1102
India,Asia,,2011-07,1189
France,Europe,,2011-07,818
Italy,Europe,,2011-07,574
Unstated,,,2011-07,2
"Others, Africa",Africa,,2011-07,134
S. Africa,Africa,,2011-07,180
"Others, Oceania",Oceania,,2011-07,14
New Zealand,Oceania,,2011-07,186
Australia,Oceania,,2011-07,955
Germany,Europe,,2011-07,1871
Russian Federation,Europe,,2011-07,191
Greece,Europe,,2011-07,37
Austria,Europe,,2011-07,169
United Kingdom,Europe,,2011-07,1393
Spain,Europe,,2011-07,180
Switzerland,Europe,,2011-07,225
Netherlands,Europe,,2011-07,441
Sweden,Europe,,2011-07,158
"Korea,Republic of",Asia,,2011-07,4703
"Others, Asia",Asia,,2011-07,156
Japan,Asia,,2011-07,25102
"Others, Africa",Africa,,2011-08,88
United States of America,America,,2011-08,9788
Canada,America,,2011-08,967
"Others, Asia",Asia,,2011-08,119
"Others, Southeast Asia",Asia,Southeast Asia,2011-08,947
