Residence,Region,Sub-Region,Period,Business
Canada,America,,2012-08,895
"Others, Asia",Asia,,2012-08,115
"Others, Southeast Asia",Asia,Southeast Asia,2012-08,45
Vietnam,Asia,Southeast Asia,2012-08,967
Thailand,Asia,Southeast Asia,2012-08,1832
Philippines,Asia,Southeast Asia,2012-08,1610
Indonesia,Asia,Southeast Asia,2012-08,1478
Singapore,Asia,Southeast Asia,2012-08,3409
Malaysia,Asia,Southeast Asia,2012-08,1663
Middle East,Asia,,2012-08,457
India,Asia,,2012-08,958
Mainland China,Asia,,2012-08,3572
Unstated,,,2012-08,1
Belgium,Europe,,2012-08,155
Germany,Europe,,2012-08,1489
"Korea,Republic of",Asia,,2012-08,4079
S. Africa,Africa,,2012-08,166
"Others, Oceania",Oceania,,2012-08,23
New Zealand,Oceania,,2012-08,185
Australia,Oceania,,2012-08,868
"Others, Europe",Europe,,2012-08,617
Russian Federation,Europe,,2012-08,173
Sweden,Europe,,2012-08,195
Greece,Europe,,2012-08,32
Austria,Europe,,2012-08,134
United Kingdom,Europe,,2012-08,1131
Spain,Europe,,2012-08,129
Switzerland,Europe,,2012-08,247
Netherlands,Europe,,2012-08,407
Italy,Europe,,2012-08,306
France,Europe,,2012-08,556
HongKong. Macao,Asia,,2012-08,5400
"Others, America",America,,2012-08,110
Japan,Asia,,2012-08,23179
France,Europe,,2012-09,917
Germany,Europe,,2012-09,1810
Italy,Europe,,2012-09,606
Netherlands,Europe,,2012-09,550
Switzerland,Europe,,2012-09,307
Spain,Europe,,2012-09,179
United Kingdom,Europe,,2012-09,1352
Belgium,Europe,,2012-09,174
Austria,Europe,,2012-09,163
Sweden,Europe,,2012-09,318
Russian Federation,Europe,,2012-09,212
"Others, Europe",Europe,,2012-09,859
Australia,Oceania,,2012-09,954
New Zealand,Oceania,,2012-09,211
"Others, Oceania",Oceania,,2012-09,19
S. Africa,Africa,,2012-09,125
Greece,Europe,,2012-09,31
"Others, Africa",Africa,,2012-09,222
"Others, America",America,,2012-09,145
Brazil,America,,2012-09,102
HongKong. Macao,Asia,,2012-09,4146
Mainland China,Asia,,2012-09,4235
"Korea,Republic of",Asia,,2012-09,4823
India,Asia,,2012-09,1096
Middle East,Asia,,2012-09,596
Malaysia,Asia,Southeast Asia,2012-09,1912
Singapore,Asia,Southeast Asia,2012-09,3820
Argentina,America,,2012-09,36
Indonesia,Asia,Southeast Asia,2012-09,1737
Thailand,Asia,Southeast Asia,2012-09,1984
Vietnam,Asia,Southeast Asia,2012-09,887
"Others, Southeast Asia",Asia,Southeast Asia,2012-09,50
"Others, Asia",Asia,,2012-09,184
Canada,America,,2012-09,893
United States of America,America,,2012-09,10011
Mexico,America,,2012-09,73
Philippines,Asia,Southeast Asia,2012-09,1764
Unstated,,,2012-09,1
Japan,Asia,,2012-09,24820
S. Africa,Africa,,2012-10,110
"Others, Asia",Asia,,2012-10,231
"Others, Southeast Asia",Asia,Southeast Asia,2012-10,31
Vietnam,Asia,Southeast Asia,2012-10,1120
Thailand,Asia,Southeast Asia,2012-10,2083
Philippines,Asia,Southeast Asia,2012-10,1547
Indonesia,Asia,Southeast Asia,2012-10,1608
Singapore,Asia,Southeast Asia,2012-10,4142
Canada,America,,2012-10,997
HongKong. Macao,Asia,,2012-10,3174
Japan,Asia,,2012-10,26490
Malaysia,Asia,Southeast Asia,2012-10,2097
"Korea,Republic of",Asia,,2012-10,5006
India,Asia,,2012-10,960
"Others, Oceania",Oceania,,2012-10,34
"Others, Africa",Africa,,2012-10,187
Unstated,,,2012-10,2
Mainland China,Asia,,2012-10,4056
United States of America,America,,2012-10,11176
Middle East,Asia,,2012-10,678
Brazil,America,,2012-10,167
Mexico,America,,2012-10,117
Russian Federation,Europe,,2012-10,378
Greece,Europe,,2012-10,50
Austria,Europe,,2012-10,217
United Kingdom,Europe,,2012-10,1616
Spain,Europe,,2012-10,236
Australia,Oceania,,2012-10,1113
New Zealand,Oceania,,2012-10,252
Sweden,Europe,,2012-10,336
Netherlands,Europe,,2012-10,658
Argentina,America,,2012-10,27
Switzerland,Europe,,2012-10,336
"Others, America",America,,2012-10,198
Belgium,Europe,,2012-10,214
France,Europe,,2012-10,1127
"Others, Europe",Europe,,2012-10,1074
Italy,Europe,,2012-10,724
Germany,Europe,,2012-10,2258
Brazil,America,,2012-11,119
Mexico,America,,2012-11,93
United States of America,America,,2012-11,10609
Canada,America,,2012-11,1098
"Others, Asia",Asia,,2012-11,242
"Others, Southeast Asia",Asia,Southeast Asia,2012-11,46
Vietnam,Asia,Southeast Asia,2012-11,1040
Thailand,Asia,Southeast Asia,2012-11,1833
HongKong. Macao,Asia,,2012-11,3197
Singapore,Asia,Southeast Asia,2012-11,3918
Mainland China,Asia,,2012-11,4517
Middle East,Asia,,2012-11,669
India,Asia,,2012-11,875
"Korea,Republic of",Asia,,2012-11,5052
Japan,Asia,,2012-11,26177
Argentina,America,,2012-11,30
Indonesia,Asia,Southeast Asia,2012-11,1616
Malaysia,Asia,Southeast Asia,2012-11,1994
Philippines,Asia,Southeast Asia,2012-11,1684
France,Europe,,2012-11,1233
Belgium,Europe,,2012-11,245
"Others, Africa",Africa,,2012-11,199
Unstated,,,2012-11,1
S. Africa,Africa,,2012-11,121
"Others, Oceania",Oceania,,2012-11,18
New Zealand,Oceania,,2012-11,255
Australia,Oceania,,2012-11,1170
"Others, Europe",Europe,,2012-11,1075
Russian Federation,Europe,,2012-11,284
"Others, America",America,,2012-11,158
Greece,Europe,,2012-11,55
Austria,Europe,,2012-11,231
United Kingdom,Europe,,2012-11,1788
Spain,Europe,,2012-11,302
Switzerland,Europe,,2012-11,408
Sweden,Europe,,2012-11,342
Netherlands,Europe,,2012-11,684
Italy,Europe,,2012-11,873
Germany,Europe,,2012-11,2466
"Others, America",America,,2012-12,102
Argentina,America,,2012-12,18
Brazil,America,,2012-12,91
Mexico,America,,2012-12,51
United States of America,America,,2012-12,8418
Canada,America,,2012-12,740
Thailand,Asia,Southeast Asia,2012-12,1708
"Others, Southeast Asia",Asia,Southeast Asia,2012-12,58
Vietnam,Asia,Southeast Asia,2012-12,1093
Belgium,Europe,,2012-12,125
Philippines,Asia,Southeast Asia,2012-12,1320
Indonesia,Asia,Southeast Asia,2012-12,1556
Singapore,Asia,Southeast Asia,2012-12,2856
Malaysia,Asia,Southeast Asia,2012-12,1651
Middle East,Asia,,2012-12,524
"Others, Asia",Asia,,2012-12,180
France,Europe,,2012-12,756
Spain,Europe,,2012-12,117
Italy,Europe,,2012-12,414
Japan,Asia,,2012-12,24403
Mainland China,Asia,,2012-12,3923
HongKong. Macao,Asia,,2012-12,4115
Unstated,,,2012-12,1
"Others, Africa",Africa,,2012-12,117
S. Africa,Africa,,2012-12,78
"Others, Oceania",Oceania,,2012-12,12
Germany,Europe,,2012-12,1243
New Zealand,Oceania,,2012-12,156
"Others, Europe",Europe,,2012-12,606
Sweden,Europe,,2012-12,191
Greece,Europe,,2012-12,45
Austria,Europe,,2012-12,100
United Kingdom,Europe,,2012-12,924
Switzerland,Europe,,2012-12,216
Netherlands,Europe,,2012-12,434
Australia,Oceania,,2012-12,716
Russian Federation,Europe,,2012-12,219
"Korea,Republic of",Asia,,2012-12,4355
India,Asia,,2012-12,824
HongKong. Macao,Asia,,2013-01,7221
Germany,Europe,,2013-01,1746
Italy,Europe,,2013-01,547
Netherlands,Europe,,2013-01,596
Switzerland,Europe,,2013-01,257
Spain,Europe,,2013-01,197
United Kingdom,Europe,,2013-01,1389
Austria,Europe,,2013-01,158
Sweden,Europe,,2013-01,262
Russian Federation,Europe,,2013-01,209
"Others, Europe",Europe,,2013-01,794
Australia,Oceania,,2013-01,850
New Zealand,Oceania,,2013-01,151
"Others, Oceania",Oceania,,2013-01,9
S. Africa,Africa,,2013-01,134
"Others, Africa",Africa,,2013-01,132
Unstated,,,2013-01,2
France,Europe,,2013-01,975
Belgium,Europe,,2013-01,176
Greece,Europe,,2013-01,46
Argentina,America,,2013-01,14
Mainland China,Asia,,2013-01,6886
"Others, America",America,,2013-01,114
Japan,Asia,,2013-01,26016
"Korea,Republic of",Asia,,2013-01,5247
India,Asia,,2013-01,932
Middle East,Asia,,2013-01,604
Singapore,Asia,Southeast Asia,2013-01,4450
Indonesia,Asia,Southeast Asia,2013-01,1923
Philippines,Asia,Southeast Asia,2013-01,2728
Malaysia,Asia,Southeast Asia,2013-01,1892
Vietnam,Asia,Southeast Asia,2013-01,1057
"Others, Southeast Asia",Asia,Southeast Asia,2013-01,65
"Others, Asia",Asia,,2013-01,140
Canada,America,,2013-01,881
United States of America,America,,2013-01,10711
Mexico,America,,2013-01,61
Brazil,America,,2013-01,87
Thailand,Asia,Southeast Asia,2013-01,1599
Germany,Europe,,2013-02,1191
Austria,Europe,,2013-02,114
Italy,Europe,,2013-02,360
Netherlands,Europe,,2013-02,400
Switzerland,Europe,,2013-02,200
Spain,Europe,,2013-02,122
United Kingdom,Europe,,2013-02,1121
Greece,Europe,,2013-02,39
Unstated,,,2013-02,1
Russian Federation,Europe,,2013-02,162
"Others, Europe",Europe,,2013-02,545
Australia,Oceania,,2013-02,651
New Zealand,Oceania,,2013-02,154
"Others, Oceania",Oceania,,2013-02,8
S. Africa,Africa,,2013-02,227
"Others, Africa",Africa,,2013-02,76
France,Europe,,2013-02,675
Sweden,Europe,,2013-02,168
Belgium,Europe,,2013-02,116
"Others, America",America,,2013-02,93
HongKong. Macao,Asia,,2013-02,4191
Argentina,America,,2013-02,11
Mainland China,Asia,,2013-02,2395
Japan,Asia,,2013-02,20796
"Korea,Republic of",Asia,,2013-02,3613
India,Asia,,2013-02,683
Malaysia,Asia,Southeast Asia,2013-02,1732
Singapore,Asia,Southeast Asia,2013-02,2431
Indonesia,Asia,Southeast Asia,2013-02,1488
Middle East,Asia,,2013-02,370
Thailand,Asia,Southeast Asia,2013-02,1923
Vietnam,Asia,Southeast Asia,2013-02,2382
"Others, Southeast Asia",Asia,Southeast Asia,2013-02,27
"Others, Asia",Asia,,2013-02,103
Canada,America,,2013-02,820
United States of America,America,,2013-02,7369
Mexico,America,,2013-02,40
Philippines,Asia,Southeast Asia,2013-02,1772
Brazil,America,,2013-02,60
Vietnam,Asia,Southeast Asia,2013-03,1649
"Others, Southeast Asia",Asia,Southeast Asia,2013-03,55
"Others, Asia",Asia,,2013-03,284
Mexico,America,,2013-03,127
United States of America,America,,2013-03,13083
Mainland China,Asia,,2013-03,4111
Canada,America,,2013-03,1127
Japan,Asia,,2013-03,28448
"Korea,Republic of",Asia,,2013-03,5913
India,Asia,,2013-03,1344
Middle East,Asia,,2013-03,981
Malaysia,Asia,Southeast Asia,2013-03,2263
Singapore,Asia,Southeast Asia,2013-03,4435
Indonesia,Asia,Southeast Asia,2013-03,1758
Philippines,Asia,Southeast Asia,2013-03,1876
Thailand,Asia,Southeast Asia,2013-03,2149
Brazil,America,,2013-03,256
HongKong. Macao,Asia,,2013-03,7194
Argentina,America,,2013-03,46
Germany,Europe,,2013-03,2633
Belgium,Europe,,2013-03,278
Unstated,,,2013-03,1
"Others, Africa",Africa,,2013-03,195
"Others, America",America,,2013-03,233
"Others, Oceania",Oceania,,2013-03,22
New Zealand,Oceania,,2013-03,293
Australia,Oceania,,2013-03,1320
"Others, Europe",Europe,,2013-03,1363
Russian Federation,Europe,,2013-03,372
Sweden,Europe,,2013-03,394
S. Africa,Africa,,2013-03,174
Austria,Europe,,2013-03,247
United Kingdom,Europe,,2013-03,1907
Spain,Europe,,2013-03,384
Switzerland,Europe,,2013-03,442
Netherlands,Europe,,2013-03,810
Italy,Europe,,2013-03,990
France,Europe,,2013-03,1350
Greece,Europe,,2013-03,96
Vietnam,Asia,Southeast Asia,2013-04,1357
Thailand,Asia,Southeast Asia,2013-04,2591
Philippines,Asia,Southeast Asia,2013-04,2180
Indonesia,Asia,Southeast Asia,2013-04,1957
Singapore,Asia,Southeast Asia,2013-04,4363
"Korea,Republic of",Asia,,2013-04,5449
Middle East,Asia,,2013-04,949
India,Asia,,2013-04,1059
Japan,Asia,,2013-04,25970
"Others, Southeast Asia",Asia,Southeast Asia,2013-04,110
Mainland China,Asia,,2013-04,3679
HongKong. Macao,Asia,,2013-04,6696
Malaysia,Asia,Southeast Asia,2013-04,2376
"Others, Asia",Asia,,2013-04,261
Belgium,Europe,,2013-04,199
United States of America,America,,2013-04,11043
Unstated,,,2013-04,0
S. Africa,Africa,,2013-04,155
"Others, Oceania",Oceania,,2013-04,28
New Zealand,Oceania,,2013-04,221
Australia,Oceania,,2013-04,1154
"Others, Europe",Europe,,2013-04,1024
Russian Federation,Europe,,2013-04,380
Sweden,Europe,,2013-04,390
Greece,Europe,,2013-04,62
Austria,Europe,,2013-04,168
United Kingdom,Europe,,2013-04,1505
Spain,Europe,,2013-04,260
Switzerland,Europe,,2013-04,340
Netherlands,Europe,,2013-04,624
Italy,Europe,,2013-04,646
Germany,Europe,,2013-04,2049
France,Europe,,2013-04,1015
"Others, America",America,,2013-04,248
Argentina,America,,2013-04,32
Brazil,America,,2013-04,160
Mexico,America,,2013-04,100
Canada,America,,2013-04,1025
"Others, Africa",Africa,,2013-04,266
Japan,Asia,,2013-05,25674
"Others, Oceania",Oceania,,2013-05,16
Mexico,America,,2013-05,82
United States of America,America,,2013-05,10238
Canada,America,,2013-05,903
"Others, Asia",Asia,,2013-05,147
"Others, Southeast Asia",Asia,Southeast Asia,2013-05,98
Vietnam,Asia,Southeast Asia,2013-05,1179
Brazil,America,,2013-05,93
Thailand,Asia,Southeast Asia,2013-05,2249
Indonesia,Asia,Southeast Asia,2013-05,1615
Singapore,Asia,Southeast Asia,2013-05,4313
Malaysia,Asia,Southeast Asia,2013-05,1938
Middle East,Asia,,2013-05,686
India,Asia,,2013-05,994
"Korea,Republic of",Asia,,2013-05,5462
Philippines,Asia,Southeast Asia,2013-05,1819
Argentina,America,,2013-05,24
"Others, America",America,,2013-05,192
Mainland China,Asia,,2013-05,3927
New Zealand,Oceania,,2013-05,170
Australia,Oceania,,2013-05,1010
"Others, Europe",Europe,,2013-05,728
Russian Federation,Europe,,2013-05,214
HongKong. Macao,Asia,,2013-05,6879
Sweden,Europe,,2013-05,273
Greece,Europe,,2013-05,29
Austria,Europe,,2013-05,146
United Kingdom,Europe,,2013-05,1367
Spain,Europe,,2013-05,189
Switzerland,Europe,,2013-05,262
Netherlands,Europe,,2013-05,582
Italy,Europe,,2013-05,567
Germany,Europe,,2013-05,1645
France,Europe,,2013-05,810
S. Africa,Africa,,2013-05,100
Belgium,Europe,,2013-05,161
Unstated,,,2013-05,3
"Others, Africa",Africa,,2013-05,145
Mainland China,Asia,,2013-06,4730
Italy,Europe,,2013-06,720
Netherlands,Europe,,2013-06,670
Switzerland,Europe,,2013-06,322
Spain,Europe,,2013-06,274
United Kingdom,Europe,,2013-06,1524
Austria,Europe,,2013-06,163
Greece,Europe,,2013-06,53
Sweden,Europe,,2013-06,227
Russian Federation,Europe,,2013-06,436
"Others, Europe",Europe,,2013-06,1005
Australia,Oceania,,2013-06,1046
"Others, Oceania",Oceania,,2013-06,20
S. Africa,Africa,,2013-06,137
"Others, Africa",Africa,,2013-06,244
Unstated,,,2013-06,2
HongKong. Macao,Asia,,2013-06,6966
Germany,Europe,,2013-06,2182
France,Europe,,2013-06,1139
New Zealand,Oceania,,2013-06,220
"Others, America",America,,2013-06,181
"Korea,Republic of",Asia,,2013-06,5729
India,Asia,,2013-06,1244
Middle East,Asia,,2013-06,969
Malaysia,Asia,Southeast Asia,2013-06,2362
Singapore,Asia,Southeast Asia,2013-06,3984
Belgium,Europe,,2013-06,200
Indonesia,Asia,Southeast Asia,2013-06,1941
Philippines,Asia,Southeast Asia,2013-06,1371
Japan,Asia,,2013-06,27818
Vietnam,Asia,Southeast Asia,2013-06,1369
"Others, Southeast Asia",Asia,Southeast Asia,2013-06,71
"Others, Asia",Asia,,2013-06,195
Canada,America,,2013-06,942
United States of America,America,,2013-06,10680
Mexico,America,,2013-06,76
Brazil,America,,2013-06,176
Argentina,America,,2013-06,42
Thailand,Asia,Southeast Asia,2013-06,2261
Austria,Europe,,2013-07,152
United Kingdom,Europe,,2013-07,1317
Italy,Europe,,2013-07,596
Switzerland,Europe,,2013-07,215
Netherlands,Europe,,2013-07,465
Greece,Europe,,2013-07,41
Spain,Europe,,2013-07,189
Sweden,Europe,,2013-07,154
New Zealand,Oceania,,2013-07,186
"Others, Europe",Europe,,2013-07,567
Australia,Oceania,,2013-07,866
"Others, Oceania",Oceania,,2013-07,20
S. Africa,Africa,,2013-07,139
"Others, Africa",Africa,,2013-07,105
Unstated,,,2013-07,2
Germany,Europe,,2013-07,1661
Russian Federation,Europe,,2013-07,252
Belgium,Europe,,2013-07,133
France,Europe,,2013-07,905
Mainland China,Asia,,2013-07,3555
HongKong. Macao,Asia,,2013-07,6807
"Others, America",America,,2013-07,90
Japan,Asia,,2013-07,26762
"Korea,Republic of",Asia,,2013-07,4865
India,Asia,,2013-07,898
Middle East,Asia,,2013-07,619
Singapore,Asia,Southeast Asia,2013-07,4050
Indonesia,Asia,Southeast Asia,2013-07,1705
Philippines,Asia,Southeast Asia,2013-07,1514
Malaysia,Asia,Southeast Asia,2013-07,2023
Vietnam,Asia,Southeast Asia,2013-07,1444
Argentina,America,,2013-07,21
Thailand,Asia,Southeast Asia,2013-07,1973
Mexico,America,,2013-07,63
United States of America,America,,2013-07,8940
Brazil,America,,2013-07,78
"Others, Asia",Asia,,2013-07,119
"Others, Southeast Asia",Asia,Southeast Asia,2013-07,52
Canada,America,,2013-07,810
Mexico,America,,2013-08,59
Thailand,Asia,Southeast Asia,2013-08,1857
United States of America,America,,2013-08,9026
Canada,America,,2013-08,824
"Others, Asia",Asia,,2013-08,138
"Others, Southeast Asia",Asia,Southeast Asia,2013-08,37
Vietnam,Asia,Southeast Asia,2013-08,1406
Philippines,Asia,Southeast Asia,2013-08,1518
Brazil,America,,2013-08,101
Singapore,Asia,Southeast Asia,2013-08,3659
Malaysia,Asia,Southeast Asia,2013-08,1820
Middle East,Asia,,2013-08,460
India,Asia,,2013-08,919
"Korea,Republic of",Asia,,2013-08,4474
Japan,Asia,,2013-08,23125
Mainland China,Asia,,2013-08,3113
HongKong. Macao,Asia,,2013-08,6110
Indonesia,Asia,Southeast Asia,2013-08,2030
Argentina,America,,2013-08,8
United Kingdom,Europe,,2013-08,1125
Belgium,Europe,,2013-08,108
"Others, America",America,,2013-08,145
Unstated,,,2013-08,0
"Others, Africa",Africa,,2013-08,97
S. Africa,Africa,,2013-08,180
"Others, Oceania",Oceania,,2013-08,22
New Zealand,Oceania,,2013-08,169
"Others, Europe",Europe,,2013-08,648
Russian Federation,Europe,,2013-08,196
Australia,Oceania,,2013-08,826
Greece,Europe,,2013-08,25
Austria,Europe,,2013-08,115
Spain,Europe,,2013-08,105
Switzerland,Europe,,2013-08,223
Netherlands,Europe,,2013-08,417
Italy,Europe,,2013-08,293
Germany,Europe,,2013-08,1289
France,Europe,,2013-08,555
Sweden,Europe,,2013-08,202
Thailand,Asia,Southeast Asia,2013-09,1794
United States of America,America,,2013-09,10155
Canada,America,,2013-09,875
"Others, Asia",Asia,,2013-09,152
"Others, Southeast Asia",Asia,Southeast Asia,2013-09,46
Vietnam,Asia,Southeast Asia,2013-09,1447
Philippines,Asia,Southeast Asia,2013-09,1694
HongKong. Macao,Asia,,2013-09,6551
Singapore,Asia,Southeast Asia,2013-09,4226
Malaysia,Asia,Southeast Asia,2013-09,2169
Middle East,Asia,,2013-09,502
India,Asia,,2013-09,950
"Korea,Republic of",Asia,,2013-09,4925
Japan,Asia,,2013-09,26895
Mainland China,Asia,,2013-09,4187
Mexico,America,,2013-09,65
Indonesia,Asia,Southeast Asia,2013-09,1832
Brazil,America,,2013-09,128
Switzerland,Europe,,2013-09,288
"Others, America",America,,2013-09,144
"Others, Africa",Africa,,2013-09,149
S. Africa,Africa,,2013-09,152
"Others, Oceania",Oceania,,2013-09,21
New Zealand,Oceania,,2013-09,188
Australia,Oceania,,2013-09,917
"Others, Europe",Europe,,2013-09,791
Russian Federation,Europe,,2013-09,205
Argentina,America,,2013-09,24
Sweden,Europe,,2013-09,287
Austria,Europe,,2013-09,187
United Kingdom,Europe,,2013-09,1401
Spain,Europe,,2013-09,219
Netherlands,Europe,,2013-09,580
Italy,Europe,,2013-09,560
Germany,Europe,,2013-09,1640
France,Europe,,2013-09,872
Belgium,Europe,,2013-09,201
Greece,Europe,,2013-09,48
Unstated,,,2013-09,3
Sweden,Europe,,2013-10,403
Russian Federation,Europe,,2013-10,287
United Kingdom,Europe,,2013-10,1768
Middle East,Asia,,2013-10,782
India,Asia,,2013-10,980
"Korea,Republic of",Asia,,2013-10,5212
Japan,Asia,,2013-10,27755
Mainland China,Asia,,2013-10,3308
Austria,Europe,,2013-10,195
Unstated,,,2013-10,6
"Others, Africa",Africa,,2013-10,164
S. Africa,Africa,,2013-10,141
"Others, Oceania",Oceania,,2013-10,26
New Zealand,Oceania,,2013-10,218
Australia,Oceania,,2013-10,1056
"Others, Europe",Europe,,2013-10,1088
HongKong. Macao,Asia,,2013-10,7173
Spain,Europe,,2013-10,294
Malaysia,Asia,Southeast Asia,2013-10,2117
Singapore,Asia,Southeast Asia,2013-10,4274
Greece,Europe,,2013-10,59
Philippines,Asia,Southeast Asia,2013-10,1924
Indonesia,Asia,Southeast Asia,2013-10,2030
Switzerland,Europe,,2013-10,331
Netherlands,Europe,,2013-10,681
Italy,Europe,,2013-10,764
Germany,Europe,,2013-10,2166
France,Europe,,2013-10,1202
"Others, America",America,,2013-10,253
Argentina,America,,2013-10,27
Belgium,Europe,,2013-10,181
Mexico,America,,2013-10,107
United States of America,America,,2013-10,11762
Canada,America,,2013-10,1033
"Others, Asia",Asia,,2013-10,225
"Others, Southeast Asia",Asia,Southeast Asia,2013-10,126
Vietnam,Asia,Southeast Asia,2013-10,1577
Thailand,Asia,Southeast Asia,2013-10,2163
Brazil,America,,2013-10,158
Brazil,America,,2013-11,143
Vietnam,Asia,Southeast Asia,2013-11,1526
Mexico,America,,2013-11,82
United States of America,America,,2013-11,10789
Canada,America,,2013-11,1022
"Others, Asia",Asia,,2013-11,242
"Others, Southeast Asia",Asia,Southeast Asia,2013-11,63
Thailand,Asia,Southeast Asia,2013-11,1939
Mainland China,Asia,,2013-11,3382
Indonesia,Asia,Southeast Asia,2013-11,1897
Singapore,Asia,Southeast Asia,2013-11,4054
Malaysia,Asia,Southeast Asia,2013-11,2119
Middle East,Asia,,2013-11,775
India,Asia,,2013-11,954
"Korea,Republic of",Asia,,2013-11,4989
Japan,Asia,,2013-11,26613
Argentina,America,,2013-11,25
Philippines,Asia,Southeast Asia,2013-11,1896
"Others, America",America,,2013-11,177
HongKong. Macao,Asia,,2013-11,6998
France,Europe,,2013-11,1259
Belgium,Europe,,2013-11,235
Unstated,,,2013-11,23
"Others, Africa",Africa,,2013-11,157
S. Africa,Africa,,2013-11,115
"Others, Oceania",Oceania,,2013-11,30
Australia,Oceania,,2013-11,1125
"Others, Europe",Europe,,2013-11,1132
Russian Federation,Europe,,2013-11,290
New Zealand,Oceania,,2013-11,240
Greece,Europe,,2013-11,55
Austria,Europe,,2013-11,223
United Kingdom,Europe,,2013-11,1876
Spain,Europe,,2013-11,334
Switzerland,Europe,,2013-11,402
Netherlands,Europe,,2013-11,736
Italy,Europe,,2013-11,833
Sweden,Europe,,2013-11,332
Germany,Europe,,2013-11,2670
United Kingdom,Europe,,2013-12,1043
Switzerland,Europe,,2013-12,190
Belgium,Europe,,2013-12,124
Italy,Europe,,2013-12,460
France,Europe,,2013-12,851
Austria,Europe,,2013-12,102
Netherlands,Europe,,2013-12,428
Greece,Europe,,2013-12,39
Unstated,,,2013-12,24
Russian Federation,Europe,,2013-12,225
"Others, Europe",Europe,,2013-12,634
Australia,Oceania,,2013-12,787
New Zealand,Oceania,,2013-12,141
"Others, Oceania",Oceania,,2013-12,15
S. Africa,Africa,,2013-12,93
"Others, Africa",Africa,,2013-12,128
"Others, America",America,,2013-12,92
Sweden,Europe,,2013-12,183
Argentina,America,,2013-12,11
Spain,Europe,,2013-12,178
Mexico,America,,2013-12,53
Brazil,America,,2013-12,55
HongKong. Macao,Asia,,2013-12,6058
Mainland China,Asia,,2013-12,3287
Japan,Asia,,2013-12,25704
"Korea,Republic of",Asia,,2013-12,4759
India,Asia,,2013-12,832
Middle East,Asia,,2013-12,630
Malaysia,Asia,Southeast Asia,2013-12,1686
Singapore,Asia,Southeast Asia,2013-12,3037
Germany,Europe,,2013-12,1258
Philippines,Asia,Southeast Asia,2013-12,1504
Indonesia,Asia,Southeast Asia,2013-12,1674
United States of America,America,,2013-12,8640
Canada,America,,2013-12,736
"Others, Asia",Asia,,2013-12,144
Thailand,Asia,Southeast Asia,2013-12,1653
Vietnam,Asia,Southeast Asia,2013-12,1541
"Others, Southeast Asia",Asia,Southeast Asia,2013-12,47
Indonesia,Asia,Southeast Asia,2014-01,486
Germany,Europe,,2014-01,1336
France,Europe,,2014-01,637
Belgium,Europe,,2014-01,130
"Others, America",America,,2014-01,49
Argentina,America,,2014-01,9
Brazil,America,,2014-01,57
Mexico,America,,2014-01,40
United States of America,America,,2014-01,7813
Italy,Europe,,2014-01,427
Canada,America,,2014-01,624
"Others, Asia",Asia,,2014-01,144
"Others, Southeast Asia",Asia,Southeast Asia,2014-01,59
Vietnam,Asia,Southeast Asia,2014-01,351
Thailand,Asia,Southeast Asia,2014-01,823
Philippines,Asia,Southeast Asia,2014-01,364
Middle East,Asia,,2014-01,502
Netherlands,Europe,,2014-01,500
Austria,Europe,,2014-01,127
Spain,Europe,,2014-01,130
Malaysia,Asia,Southeast Asia,2014-01,1301
"Korea,Republic of",Asia,,2014-01,4245
India,Asia,,2014-01,741
Unstated,,,2014-01,3
"Others, Africa",Africa,,2014-01,96
S. Africa,Africa,,2014-01,44
"Others, Oceania",Oceania,,2014-01,4
Switzerland,Europe,,2014-01,160
New Zealand,Oceania,,2014-01,109
Mainland China,Asia,,2014-01,2405
HongKong. Macao,Asia,,2014-01,6046
"Others, Europe",Europe,,2014-01,710
Russian Federation,Europe,,2014-01,172
Sweden,Europe,,2014-01,211
Greece,Europe,,2014-01,44
United Kingdom,Europe,,2014-01,987
Japan,Asia,,2014-01,19800
Australia,Oceania,,2014-01,590
Singapore,Asia,Southeast Asia,2014-01,3238
Netherlands,Europe,,2014-02,558
France,Europe,,2014-02,760
Germany,Europe,,2014-02,1574
Italy,Europe,,2014-02,485
Switzerland,Europe,,2014-02,237
Spain,Europe,,2014-02,183
United Kingdom,Europe,,2014-02,1068
Austria,Europe,,2014-02,145
"Others, America",America,,2014-02,43
Greece,Europe,,2014-02,34
S. Africa,Africa,,2014-02,78
"Others, Oceania",Oceania,,2014-02,14
New Zealand,Oceania,,2014-02,129
Australia,Oceania,,2014-02,751
"Others, Europe",Europe,,2014-02,574
Russian Federation,Europe,,2014-02,171
Sweden,Europe,,2014-02,201
"Others, Africa",Africa,,2014-02,107
Argentina,America,,2014-02,19
Belgium,Europe,,2014-02,146
Mexico,America,,2014-02,44
Unstated,,,2014-02,3
HongKong. Macao,Asia,,2014-02,5758
Mainland China,Asia,,2014-02,1823
Japan,Asia,,2014-02,20666
"Korea,Republic of",Asia,,2014-02,4132
India,Asia,,2014-02,750
Middle East,Asia,,2014-02,538
Brazil,America,,2014-02,91
Singapore,Asia,Southeast Asia,2014-02,3103
Malaysia,Asia,Southeast Asia,2014-02,1264
Philippines,Asia,Southeast Asia,2014-02,439
Thailand,Asia,Southeast Asia,2014-02,753
Vietnam,Asia,Southeast Asia,2014-02,278
"Others, Southeast Asia",Asia,Southeast Asia,2014-02,54
"Others, Asia",Asia,,2014-02,139
Canada,America,,2014-02,597
