Residence,Region,Sub-Region,Period,Exhibition
Unstated,,,2012-08,0
Belgium,Europe,,2012-08,0
Germany,Europe,,2012-08,13
"Korea,Republic of",Asia,,2012-08,70
S. Africa,Africa,,2012-08,1
"Others, Oceania",Oceania,,2012-08,4
New Zealand,Oceania,,2012-08,0
Australia,Oceania,,2012-08,10
"Others, Europe",Europe,,2012-08,4
Russian Federation,Europe,,2012-08,4
Sweden,Europe,,2012-08,0
Greece,Europe,,2012-08,0
Austria,Europe,,2012-08,1
United Kingdom,Europe,,2012-08,8
Spain,Europe,,2012-08,2
Switzerland,Europe,,2012-08,0
Netherlands,Europe,,2012-08,1
Italy,Europe,,2012-08,9
France,Europe,,2012-08,7
HongKong. Macao,Asia,,2012-08,2
"Others, America",America,,2012-08,1
Japan,Asia,,2012-08,100
France,Europe,,2012-09,13
Germany,Europe,,2012-09,23
Italy,Europe,,2012-09,13
Netherlands,Europe,,2012-09,4
Switzerland,Europe,,2012-09,3
Spain,Europe,,2012-09,13
United Kingdom,Europe,,2012-09,28
Belgium,Europe,,2012-09,2
Austria,Europe,,2012-09,6
Sweden,Europe,,2012-09,2
Russian Federation,Europe,,2012-09,22
"Others, Europe",Europe,,2012-09,54
Australia,Oceania,,2012-09,17
New Zealand,Oceania,,2012-09,5
"Others, Oceania",Oceania,,2012-09,2
S. Africa,Africa,,2012-09,2
Greece,Europe,,2012-09,3
"Others, Africa",Africa,,2012-09,46
"Others, America",America,,2012-09,7
Brazil,America,,2012-09,3
HongKong. Macao,Asia,,2012-09,13
Mainland China,Asia,,2012-09,130
"Korea,Republic of",Asia,,2012-09,198
India,Asia,,2012-09,50
Middle East,Asia,,2012-09,66
Malaysia,Asia,Southeast Asia,2012-09,154
Singapore,Asia,Southeast Asia,2012-09,74
Argentina,America,,2012-09,5
Indonesia,Asia,Southeast Asia,2012-09,82
Thailand,Asia,Southeast Asia,2012-09,83
Vietnam,Asia,Southeast Asia,2012-09,23
"Others, Southeast Asia",Asia,Southeast Asia,2012-09,3
"Others, Asia",Asia,,2012-09,24
Canada,America,,2012-09,14
United States of America,America,,2012-09,44
Mexico,America,,2012-09,15
Philippines,Asia,Southeast Asia,2012-09,50
Unstated,,,2012-09,0
Japan,Asia,,2012-09,87
S. Africa,Africa,,2012-10,1
"Others, Asia",Asia,,2012-10,22
"Others, Southeast Asia",Asia,Southeast Asia,2012-10,0
Vietnam,Asia,Southeast Asia,2012-10,21
Thailand,Asia,Southeast Asia,2012-10,61
Philippines,Asia,Southeast Asia,2012-10,53
Indonesia,Asia,Southeast Asia,2012-10,79
Singapore,Asia,Southeast Asia,2012-10,81
Canada,America,,2012-10,13
HongKong. Macao,Asia,,2012-10,21
Japan,Asia,,2012-10,128
Malaysia,Asia,Southeast Asia,2012-10,100
"Korea,Republic of",Asia,,2012-10,180
India,Asia,,2012-10,44
"Others, Oceania",Oceania,,2012-10,1
"Others, Africa",Africa,,2012-10,14
Unstated,,,2012-10,0
Mainland China,Asia,,2012-10,284
United States of America,America,,2012-10,51
Middle East,Asia,,2012-10,30
Brazil,America,,2012-10,4
Mexico,America,,2012-10,19
Russian Federation,Europe,,2012-10,12
Greece,Europe,,2012-10,2
Austria,Europe,,2012-10,4
United Kingdom,Europe,,2012-10,21
Spain,Europe,,2012-10,13
Australia,Oceania,,2012-10,57
New Zealand,Oceania,,2012-10,15
Sweden,Europe,,2012-10,4
Netherlands,Europe,,2012-10,2
Argentina,America,,2012-10,6
Switzerland,Europe,,2012-10,5
"Others, America",America,,2012-10,36
Belgium,Europe,,2012-10,5
France,Europe,,2012-10,23
"Others, Europe",Europe,,2012-10,88
Italy,Europe,,2012-10,25
Germany,Europe,,2012-10,36
Brazil,America,,2012-11,2
Mexico,America,,2012-11,3
United States of America,America,,2012-11,45
Canada,America,,2012-11,13
"Others, Asia",Asia,,2012-11,5
"Others, Southeast Asia",Asia,Southeast Asia,2012-11,5
Vietnam,Asia,Southeast Asia,2012-11,3
Thailand,Asia,Southeast Asia,2012-11,33
HongKong. Macao,Asia,,2012-11,26
Singapore,Asia,Southeast Asia,2012-11,48
Mainland China,Asia,,2012-11,138
Middle East,Asia,,2012-11,14
India,Asia,,2012-11,9
"Korea,Republic of",Asia,,2012-11,98
Japan,Asia,,2012-11,63
Argentina,America,,2012-11,1
Indonesia,Asia,Southeast Asia,2012-11,43
Malaysia,Asia,Southeast Asia,2012-11,70
Philippines,Asia,Southeast Asia,2012-11,45
France,Europe,,2012-11,28
Belgium,Europe,,2012-11,4
"Others, Africa",Africa,,2012-11,2
Unstated,,,2012-11,0
S. Africa,Africa,,2012-11,1
"Others, Oceania",Oceania,,2012-11,0
New Zealand,Oceania,,2012-11,2
Australia,Oceania,,2012-11,14
"Others, Europe",Europe,,2012-11,38
Russian Federation,Europe,,2012-11,10
"Others, America",America,,2012-11,13
Greece,Europe,,2012-11,2
Austria,Europe,,2012-11,5
United Kingdom,Europe,,2012-11,32
Spain,Europe,,2012-11,14
Switzerland,Europe,,2012-11,9
Sweden,Europe,,2012-11,6
Netherlands,Europe,,2012-11,6
Italy,Europe,,2012-11,25
Germany,Europe,,2012-11,22
"Others, America",America,,2012-12,3
Argentina,America,,2012-12,0
Brazil,America,,2012-12,1
Mexico,America,,2012-12,0
United States of America,America,,2012-12,17
Canada,America,,2012-12,5
Thailand,Asia,Southeast Asia,2012-12,38
"Others, Southeast Asia",Asia,Southeast Asia,2012-12,2
Vietnam,Asia,Southeast Asia,2012-12,0
Belgium,Europe,,2012-12,0
Philippines,Asia,Southeast Asia,2012-12,7
Indonesia,Asia,Southeast Asia,2012-12,14
Singapore,Asia,Southeast Asia,2012-12,23
Malaysia,Asia,Southeast Asia,2012-12,14
Middle East,Asia,,2012-12,3
"Others, Asia",Asia,,2012-12,7
France,Europe,,2012-12,18
Spain,Europe,,2012-12,3
Italy,Europe,,2012-12,1
Japan,Asia,,2012-12,49
Mainland China,Asia,,2012-12,182
HongKong. Macao,Asia,,2012-12,17
Unstated,,,2012-12,0
"Others, Africa",Africa,,2012-12,2
S. Africa,Africa,,2012-12,0
"Others, Oceania",Oceania,,2012-12,0
Germany,Europe,,2012-12,8
New Zealand,Oceania,,2012-12,1
"Others, Europe",Europe,,2012-12,16
Sweden,Europe,,2012-12,0
Greece,Europe,,2012-12,0
Austria,Europe,,2012-12,0
United Kingdom,Europe,,2012-12,2
Switzerland,Europe,,2012-12,0
Netherlands,Europe,,2012-12,3
Australia,Oceania,,2012-12,7
Russian Federation,Europe,,2012-12,0
"Korea,Republic of",Asia,,2012-12,87
India,Asia,,2012-12,6
HongKong. Macao,Asia,,2013-01,16
Germany,Europe,,2013-01,11
Italy,Europe,,2013-01,5
Netherlands,Europe,,2013-01,2
Switzerland,Europe,,2013-01,3
Spain,Europe,,2013-01,1
United Kingdom,Europe,,2013-01,9
Austria,Europe,,2013-01,0
Sweden,Europe,,2013-01,0
Russian Federation,Europe,,2013-01,0
"Others, Europe",Europe,,2013-01,12
Australia,Oceania,,2013-01,10
New Zealand,Oceania,,2013-01,7
"Others, Oceania",Oceania,,2013-01,0
S. Africa,Africa,,2013-01,1
"Others, Africa",Africa,,2013-01,15
Unstated,,,2013-01,0
France,Europe,,2013-01,15
Belgium,Europe,,2013-01,9
Greece,Europe,,2013-01,0
Argentina,America,,2013-01,1
Mainland China,Asia,,2013-01,24
"Others, America",America,,2013-01,2
Japan,Asia,,2013-01,38
"Korea,Republic of",Asia,,2013-01,56
India,Asia,,2013-01,6
Middle East,Asia,,2013-01,9
Singapore,Asia,Southeast Asia,2013-01,23
Indonesia,Asia,Southeast Asia,2013-01,11
Philippines,Asia,Southeast Asia,2013-01,9
Malaysia,Asia,Southeast Asia,2013-01,21
Vietnam,Asia,Southeast Asia,2013-01,4
"Others, Southeast Asia",Asia,Southeast Asia,2013-01,3
"Others, Asia",Asia,,2013-01,6
Canada,America,,2013-01,9
United States of America,America,,2013-01,34
Mexico,America,,2013-01,6
Brazil,America,,2013-01,2
Thailand,Asia,Southeast Asia,2013-01,14
Germany,Europe,,2013-02,8
Austria,Europe,,2013-02,1
Italy,Europe,,2013-02,0
Netherlands,Europe,,2013-02,1
Switzerland,Europe,,2013-02,0
Spain,Europe,,2013-02,1
United Kingdom,Europe,,2013-02,6
Greece,Europe,,2013-02,0
Unstated,,,2013-02,0
Russian Federation,Europe,,2013-02,2
"Others, Europe",Europe,,2013-02,7
Australia,Oceania,,2013-02,6
New Zealand,Oceania,,2013-02,0
"Others, Oceania",Oceania,,2013-02,0
S. Africa,Africa,,2013-02,0
"Others, Africa",Africa,,2013-02,0
France,Europe,,2013-02,13
Sweden,Europe,,2013-02,0
Belgium,Europe,,2013-02,0
"Others, America",America,,2013-02,1
HongKong. Macao,Asia,,2013-02,6
Argentina,America,,2013-02,0
Mainland China,Asia,,2013-02,22
Japan,Asia,,2013-02,19
"Korea,Republic of",Asia,,2013-02,36
India,Asia,,2013-02,1
Malaysia,Asia,Southeast Asia,2013-02,12
Singapore,Asia,Southeast Asia,2013-02,9
Indonesia,Asia,Southeast Asia,2013-02,2
Middle East,Asia,,2013-02,3
Thailand,Asia,Southeast Asia,2013-02,1
Vietnam,Asia,Southeast Asia,2013-02,7
"Others, Southeast Asia",Asia,Southeast Asia,2013-02,0
"Others, Asia",Asia,,2013-02,3
Canada,America,,2013-02,2
United States of America,America,,2013-02,11
Mexico,America,,2013-02,0
Philippines,Asia,Southeast Asia,2013-02,2
Brazil,America,,2013-02,0
Vietnam,Asia,Southeast Asia,2013-03,41
"Others, Southeast Asia",Asia,Southeast Asia,2013-03,2
"Others, Asia",Asia,,2013-03,41
Mexico,America,,2013-03,12
United States of America,America,,2013-03,123
Mainland China,Asia,,2013-03,817
Canada,America,,2013-03,36
Japan,Asia,,2013-03,181
"Korea,Republic of",Asia,,2013-03,257
India,Asia,,2013-03,136
Middle East,Asia,,2013-03,102
Malaysia,Asia,Southeast Asia,2013-03,403
Singapore,Asia,Southeast Asia,2013-03,192
Indonesia,Asia,Southeast Asia,2013-03,210
Philippines,Asia,Southeast Asia,2013-03,75
Thailand,Asia,Southeast Asia,2013-03,252
Brazil,America,,2013-03,30
HongKong. Macao,Asia,,2013-03,28
Argentina,America,,2013-03,8
Germany,Europe,,2013-03,73
Belgium,Europe,,2013-03,9
Unstated,,,2013-03,0
"Others, Africa",Africa,,2013-03,30
"Others, America",America,,2013-03,24
"Others, Oceania",Oceania,,2013-03,1
New Zealand,Oceania,,2013-03,18
Australia,Oceania,,2013-03,117
"Others, Europe",Europe,,2013-03,191
Russian Federation,Europe,,2013-03,92
Sweden,Europe,,2013-03,13
S. Africa,Africa,,2013-03,26
Austria,Europe,,2013-03,2
United Kingdom,Europe,,2013-03,65
Spain,Europe,,2013-03,22
Switzerland,Europe,,2013-03,23
Netherlands,Europe,,2013-03,28
Italy,Europe,,2013-03,84
France,Europe,,2013-03,50
Greece,Europe,,2013-03,0
Vietnam,Asia,Southeast Asia,2013-04,13
Thailand,Asia,Southeast Asia,2013-04,98
Philippines,Asia,Southeast Asia,2013-04,63
Indonesia,Asia,Southeast Asia,2013-04,156
Singapore,Asia,Southeast Asia,2013-04,145
"Korea,Republic of",Asia,,2013-04,162
Middle East,Asia,,2013-04,78
India,Asia,,2013-04,60
Japan,Asia,,2013-04,106
"Others, Southeast Asia",Asia,Southeast Asia,2013-04,3
Mainland China,Asia,,2013-04,434
HongKong. Macao,Asia,,2013-04,19
Malaysia,Asia,Southeast Asia,2013-04,246
"Others, Asia",Asia,,2013-04,74
Belgium,Europe,,2013-04,2
United States of America,America,,2013-04,48
Unstated,,,2013-04,0
S. Africa,Africa,,2013-04,7
"Others, Oceania",Oceania,,2013-04,1
New Zealand,Oceania,,2013-04,6
Australia,Oceania,,2013-04,53
"Others, Europe",Europe,,2013-04,76
Russian Federation,Europe,,2013-04,59
Sweden,Europe,,2013-04,2
Greece,Europe,,2013-04,4
Austria,Europe,,2013-04,1
United Kingdom,Europe,,2013-04,13
Spain,Europe,,2013-04,10
Switzerland,Europe,,2013-04,2
Netherlands,Europe,,2013-04,13
Italy,Europe,,2013-04,15
Germany,Europe,,2013-04,19
France,Europe,,2013-04,17
"Others, America",America,,2013-04,12
Argentina,America,,2013-04,6
Brazil,America,,2013-04,9
Mexico,America,,2013-04,13
Canada,America,,2013-04,17
"Others, Africa",Africa,,2013-04,35
Japan,Asia,,2013-05,42
"Others, Oceania",Oceania,,2013-05,0
Mexico,America,,2013-05,7
United States of America,America,,2013-05,35
Canada,America,,2013-05,3
"Others, Asia",Asia,,2013-05,2
"Others, Southeast Asia",Asia,Southeast Asia,2013-05,1
Vietnam,Asia,Southeast Asia,2013-05,2
Brazil,America,,2013-05,0
Thailand,Asia,Southeast Asia,2013-05,23
Indonesia,Asia,Southeast Asia,2013-05,16
Singapore,Asia,Southeast Asia,2013-05,25
Malaysia,Asia,Southeast Asia,2013-05,53
Middle East,Asia,,2013-05,7
India,Asia,,2013-05,4
"Korea,Republic of",Asia,,2013-05,54
Philippines,Asia,Southeast Asia,2013-05,6
Argentina,America,,2013-05,0
"Others, America",America,,2013-05,11
Mainland China,Asia,,2013-05,83
New Zealand,Oceania,,2013-05,1
Australia,Oceania,,2013-05,14
"Others, Europe",Europe,,2013-05,4
Russian Federation,Europe,,2013-05,5
HongKong. Macao,Asia,,2013-05,13
Sweden,Europe,,2013-05,0
Greece,Europe,,2013-05,0
Austria,Europe,,2013-05,2
United Kingdom,Europe,,2013-05,11
Spain,Europe,,2013-05,4
Switzerland,Europe,,2013-05,1
Netherlands,Europe,,2013-05,0
Italy,Europe,,2013-05,13
Germany,Europe,,2013-05,4
France,Europe,,2013-05,11
S. Africa,Africa,,2013-05,0
Belgium,Europe,,2013-05,1
Unstated,,,2013-05,0
"Others, Africa",Africa,,2013-05,1
Mainland China,Asia,,2013-06,1068
Italy,Europe,,2013-06,41
Netherlands,Europe,,2013-06,25
Switzerland,Europe,,2013-06,5
Spain,Europe,,2013-06,27
United Kingdom,Europe,,2013-06,47
Austria,Europe,,2013-06,4
Greece,Europe,,2013-06,5
Sweden,Europe,,2013-06,11
Russian Federation,Europe,,2013-06,197
"Others, Europe",Europe,,2013-06,201
Australia,Oceania,,2013-06,97
"Others, Oceania",Oceania,,2013-06,2
S. Africa,Africa,,2013-06,12
"Others, Africa",Africa,,2013-06,46
Unstated,,,2013-06,0
HongKong. Macao,Asia,,2013-06,57
Germany,Europe,,2013-06,75
France,Europe,,2013-06,59
New Zealand,Oceania,,2013-06,7
"Others, America",America,,2013-06,45
"Korea,Republic of",Asia,,2013-06,406
India,Asia,,2013-06,163
Middle East,Asia,,2013-06,135
Malaysia,Asia,Southeast Asia,2013-06,358
Singapore,Asia,Southeast Asia,2013-06,248
Belgium,Europe,,2013-06,5
Indonesia,Asia,Southeast Asia,2013-06,212
Philippines,Asia,Southeast Asia,2013-06,81
Japan,Asia,,2013-06,238
Vietnam,Asia,Southeast Asia,2013-06,34
"Others, Southeast Asia",Asia,Southeast Asia,2013-06,12
"Others, Asia",Asia,,2013-06,58
Canada,America,,2013-06,33
United States of America,America,,2013-06,158
Mexico,America,,2013-06,12
Brazil,America,,2013-06,33
Argentina,America,,2013-06,14
Thailand,Asia,Southeast Asia,2013-06,235
Austria,Europe,,2013-07,0
United Kingdom,Europe,,2013-07,10
Italy,Europe,,2013-07,6
Switzerland,Europe,,2013-07,5
Netherlands,Europe,,2013-07,0
Greece,Europe,,2013-07,0
Spain,Europe,,2013-07,6
Sweden,Europe,,2013-07,0
New Zealand,Oceania,,2013-07,5
"Others, Europe",Europe,,2013-07,10
Australia,Oceania,,2013-07,4
"Others, Oceania",Oceania,,2013-07,0
S. Africa,Africa,,2013-07,0
"Others, Africa",Africa,,2013-07,0
Unstated,,,2013-07,0
Germany,Europe,,2013-07,4
Russian Federation,Europe,,2013-07,3
Belgium,Europe,,2013-07,1
France,Europe,,2013-07,17
Mainland China,Asia,,2013-07,83
HongKong. Macao,Asia,,2013-07,2
"Others, America",America,,2013-07,2
Japan,Asia,,2013-07,61
"Korea,Republic of",Asia,,2013-07,52
India,Asia,,2013-07,3
Middle East,Asia,,2013-07,2
Singapore,Asia,Southeast Asia,2013-07,18
Indonesia,Asia,Southeast Asia,2013-07,13
Philippines,Asia,Southeast Asia,2013-07,4
Malaysia,Asia,Southeast Asia,2013-07,24
Vietnam,Asia,Southeast Asia,2013-07,3
Argentina,America,,2013-07,0
Thailand,Asia,Southeast Asia,2013-07,11
Mexico,America,,2013-07,1
United States of America,America,,2013-07,25
Brazil,America,,2013-07,1
"Others, Asia",Asia,,2013-07,0
"Others, Southeast Asia",Asia,Southeast Asia,2013-07,1
Canada,America,,2013-07,4
Mexico,America,,2013-08,2
Thailand,Asia,Southeast Asia,2013-08,59
United States of America,America,,2013-08,40
Canada,America,,2013-08,6
"Others, Asia",Asia,,2013-08,0
"Others, Southeast Asia",Asia,Southeast Asia,2013-08,0
Vietnam,Asia,Southeast Asia,2013-08,5
Philippines,Asia,Southeast Asia,2013-08,3
Brazil,America,,2013-08,3
Singapore,Asia,Southeast Asia,2013-08,35
Malaysia,Asia,Southeast Asia,2013-08,26
Middle East,Asia,,2013-08,8
India,Asia,,2013-08,5
"Korea,Republic of",Asia,,2013-08,111
Japan,Asia,,2013-08,52
Mainland China,Asia,,2013-08,86
HongKong. Macao,Asia,,2013-08,10
Indonesia,Asia,Southeast Asia,2013-08,23
Argentina,America,,2013-08,3
United Kingdom,Europe,,2013-08,11
Belgium,Europe,,2013-08,0
"Others, America",America,,2013-08,5
Unstated,,,2013-08,0
"Others, Africa",Africa,,2013-08,0
S. Africa,Africa,,2013-08,0
"Others, Oceania",Oceania,,2013-08,0
New Zealand,Oceania,,2013-08,2
"Others, Europe",Europe,,2013-08,12
Russian Federation,Europe,,2013-08,10
Australia,Oceania,,2013-08,11
Greece,Europe,,2013-08,0
Austria,Europe,,2013-08,0
Spain,Europe,,2013-08,2
Switzerland,Europe,,2013-08,1
Netherlands,Europe,,2013-08,4
Italy,Europe,,2013-08,17
Germany,Europe,,2013-08,14
France,Europe,,2013-08,7
Sweden,Europe,,2013-08,1
Thailand,Asia,Southeast Asia,2013-09,41
United States of America,America,,2013-09,48
Canada,America,,2013-09,4
"Others, Asia",Asia,,2013-09,6
"Others, Southeast Asia",Asia,Southeast Asia,2013-09,1
Vietnam,Asia,Southeast Asia,2013-09,4
Philippines,Asia,Southeast Asia,2013-09,7
HongKong. Macao,Asia,,2013-09,16
Singapore,Asia,Southeast Asia,2013-09,40
Malaysia,Asia,Southeast Asia,2013-09,106
Middle East,Asia,,2013-09,32
India,Asia,,2013-09,1
"Korea,Republic of",Asia,,2013-09,196
Japan,Asia,,2013-09,83
Mainland China,Asia,,2013-09,94
Mexico,America,,2013-09,1
Indonesia,Asia,Southeast Asia,2013-09,23
Brazil,America,,2013-09,1
Switzerland,Europe,,2013-09,4
"Others, America",America,,2013-09,0
"Others, Africa",Africa,,2013-09,0
S. Africa,Africa,,2013-09,0
"Others, Oceania",Oceania,,2013-09,0
New Zealand,Oceania,,2013-09,3
Australia,Oceania,,2013-09,16
"Others, Europe",Europe,,2013-09,53
Russian Federation,Europe,,2013-09,40
Argentina,America,,2013-09,0
Sweden,Europe,,2013-09,0
Austria,Europe,,2013-09,2
United Kingdom,Europe,,2013-09,15
Spain,Europe,,2013-09,2
Netherlands,Europe,,2013-09,3
Italy,Europe,,2013-09,13
Germany,Europe,,2013-09,14
France,Europe,,2013-09,28
Belgium,Europe,,2013-09,5
Greece,Europe,,2013-09,2
Unstated,,,2013-09,0
Sweden,Europe,,2013-10,1
Russian Federation,Europe,,2013-10,30
United Kingdom,Europe,,2013-10,45
Middle East,Asia,,2013-10,22
India,Asia,,2013-10,23
"Korea,Republic of",Asia,,2013-10,209
Japan,Asia,,2013-10,104
Mainland China,Asia,,2013-10,197
Austria,Europe,,2013-10,1
Unstated,,,2013-10,0
"Others, Africa",Africa,,2013-10,6
S. Africa,Africa,,2013-10,2
"Others, Oceania",Oceania,,2013-10,3
New Zealand,Oceania,,2013-10,4
Australia,Oceania,,2013-10,36
"Others, Europe",Europe,,2013-10,68
HongKong. Macao,Asia,,2013-10,24
Spain,Europe,,2013-10,11
Malaysia,Asia,Southeast Asia,2013-10,154
Singapore,Asia,Southeast Asia,2013-10,82
Greece,Europe,,2013-10,0
Philippines,Asia,Southeast Asia,2013-10,18
Indonesia,Asia,Southeast Asia,2013-10,101
Switzerland,Europe,,2013-10,5
Netherlands,Europe,,2013-10,5
Italy,Europe,,2013-10,27
Germany,Europe,,2013-10,19
France,Europe,,2013-10,30
"Others, America",America,,2013-10,9
Argentina,America,,2013-10,0
Belgium,Europe,,2013-10,6
Mexico,America,,2013-10,14
United States of America,America,,2013-10,86
Canada,America,,2013-10,20
"Others, Asia",Asia,,2013-10,37
"Others, Southeast Asia",Asia,Southeast Asia,2013-10,0
Vietnam,Asia,Southeast Asia,2013-10,5
Thailand,Asia,Southeast Asia,2013-10,59
Brazil,America,,2013-10,15
Brazil,America,,2013-11,1
Vietnam,Asia,Southeast Asia,2013-11,6
Mexico,America,,2013-11,0
United States of America,America,,2013-11,45
Canada,America,,2013-11,6
"Others, Asia",Asia,,2013-11,15
"Others, Southeast Asia",Asia,Southeast Asia,2013-11,5
Thailand,Asia,Southeast Asia,2013-11,42
Mainland China,Asia,,2013-11,235
Indonesia,Asia,Southeast Asia,2013-11,38
Singapore,Asia,Southeast Asia,2013-11,39
Malaysia,Asia,Southeast Asia,2013-11,80
Middle East,Asia,,2013-11,9
India,Asia,,2013-11,52
"Korea,Republic of",Asia,,2013-11,113
Japan,Asia,,2013-11,85
Argentina,America,,2013-11,10
Philippines,Asia,Southeast Asia,2013-11,16
"Others, America",America,,2013-11,12
HongKong. Macao,Asia,,2013-11,38
France,Europe,,2013-11,33
Belgium,Europe,,2013-11,1
Unstated,,,2013-11,0
"Others, Africa",Africa,,2013-11,3
S. Africa,Africa,,2013-11,4
"Others, Oceania",Oceania,,2013-11,0
Australia,Oceania,,2013-11,23
"Others, Europe",Europe,,2013-11,27
Russian Federation,Europe,,2013-11,9
New Zealand,Oceania,,2013-11,2
Greece,Europe,,2013-11,0
Austria,Europe,,2013-11,1
United Kingdom,Europe,,2013-11,33
Spain,Europe,,2013-11,16
Switzerland,Europe,,2013-11,7
Netherlands,Europe,,2013-11,3
Italy,Europe,,2013-11,57
Sweden,Europe,,2013-11,3
Germany,Europe,,2013-11,24
United Kingdom,Europe,,2013-12,5
Switzerland,Europe,,2013-12,1
Belgium,Europe,,2013-12,0
Italy,Europe,,2013-12,7
France,Europe,,2013-12,26
Austria,Europe,,2013-12,0
Netherlands,Europe,,2013-12,0
Greece,Europe,,2013-12,0
Unstated,,,2013-12,0
Russian Federation,Europe,,2013-12,3
"Others, Europe",Europe,,2013-12,3
Australia,Oceania,,2013-12,6
New Zealand,Oceania,,2013-12,1
"Others, Oceania",Oceania,,2013-12,0
S. Africa,Africa,,2013-12,1
"Others, Africa",Africa,,2013-12,1
"Others, America",America,,2013-12,1
Sweden,Europe,,2013-12,1
Argentina,America,,2013-12,0
Spain,Europe,,2013-12,2
Mexico,America,,2013-12,0
Brazil,America,,2013-12,0
HongKong. Macao,Asia,,2013-12,8
Mainland China,Asia,,2013-12,149
Japan,Asia,,2013-12,43
"Korea,Republic of",Asia,,2013-12,95
India,Asia,,2013-12,0
Middle East,Asia,,2013-12,4
Malaysia,Asia,Southeast Asia,2013-12,16
Singapore,Asia,Southeast Asia,2013-12,30
Germany,Europe,,2013-12,11
Philippines,Asia,Southeast Asia,2013-12,9
Indonesia,Asia,Southeast Asia,2013-12,10
United States of America,America,,2013-12,19
Canada,America,,2013-12,4
"Others, Asia",Asia,,2013-12,6
Thailand,Asia,Southeast Asia,2013-12,6
Vietnam,Asia,Southeast Asia,2013-12,6
"Others, Southeast Asia",Asia,Southeast Asia,2013-12,0
Indonesia,Asia,Southeast Asia,2014-01,15
Germany,Europe,,2014-01,3
France,Europe,,2014-01,31
Belgium,Europe,,2014-01,1
"Others, America",America,,2014-01,0
Argentina,America,,2014-01,0
Brazil,America,,2014-01,2
Mexico,America,,2014-01,2
United States of America,America,,2014-01,21
Italy,Europe,,2014-01,7
Canada,America,,2014-01,3
"Others, Asia",Asia,,2014-01,0
"Others, Southeast Asia",Asia,Southeast Asia,2014-01,2
Vietnam,Asia,Southeast Asia,2014-01,9
Thailand,Asia,Southeast Asia,2014-01,7
Philippines,Asia,Southeast Asia,2014-01,22
Middle East,Asia,,2014-01,11
Netherlands,Europe,,2014-01,1
Austria,Europe,,2014-01,0
Spain,Europe,,2014-01,4
Malaysia,Asia,Southeast Asia,2014-01,56
"Korea,Republic of",Asia,,2014-01,117
India,Asia,,2014-01,1
Unstated,,,2014-01,1
"Others, Africa",Africa,,2014-01,0
S. Africa,Africa,,2014-01,0
"Others, Oceania",Oceania,,2014-01,0
Switzerland,Europe,,2014-01,1
New Zealand,Oceania,,2014-01,7
Mainland China,Asia,,2014-01,13
HongKong. Macao,Asia,,2014-01,3
"Others, Europe",Europe,,2014-01,8
Russian Federation,Europe,,2014-01,2
Sweden,Europe,,2014-01,0
Greece,Europe,,2014-01,0
United Kingdom,Europe,,2014-01,19
Japan,Asia,,2014-01,33
Australia,Oceania,,2014-01,8
Singapore,Asia,Southeast Asia,2014-01,31
Netherlands,Europe,,2014-02,3
France,Europe,,2014-02,10
Germany,Europe,,2014-02,9
Italy,Europe,,2014-02,8
Switzerland,Europe,,2014-02,3
Spain,Europe,,2014-02,3
United Kingdom,Europe,,2014-02,19
Austria,Europe,,2014-02,0
"Others, America",America,,2014-02,1
Greece,Europe,,2014-02,1
S. Africa,Africa,,2014-02,0
"Others, Oceania",Oceania,,2014-02,0
New Zealand,Oceania,,2014-02,2
Australia,Oceania,,2014-02,22
"Others, Europe",Europe,,2014-02,15
Russian Federation,Europe,,2014-02,1
Sweden,Europe,,2014-02,0
"Others, Africa",Africa,,2014-02,2
Argentina,America,,2014-02,0
Belgium,Europe,,2014-02,0
Mexico,America,,2014-02,0
Unstated,,,2014-02,0
HongKong. Macao,Asia,,2014-02,11
Mainland China,Asia,,2014-02,7
Japan,Asia,,2014-02,42
"Korea,Republic of",Asia,,2014-02,84
India,Asia,,2014-02,3
Middle East,Asia,,2014-02,9
Brazil,America,,2014-02,0
Singapore,Asia,Southeast Asia,2014-02,24
Malaysia,Asia,Southeast Asia,2014-02,46
Philippines,Asia,Southeast Asia,2014-02,12
Thailand,Asia,Southeast Asia,2014-02,29
Vietnam,Asia,Southeast Asia,2014-02,1
"Others, Southeast Asia",Asia,Southeast Asia,2014-02,0
"Others, Asia",Asia,,2014-02,11
Canada,America,,2014-02,9
United States of America,America,,2014-02,27
Indonesia,Asia,Southeast Asia,2014-02,10
Argentina,America,,2014-03,7
Canada,America,,2014-03,28
Brazil,America,,2014-03,34
Mexico,America,,2014-03,9
United States of America,America,,2014-03,92
"Others, Asia",Asia,,2014-03,33
S. Africa,Africa,,2014-03,11
Vietnam,Asia,Southeast Asia,2014-03,20
Thailand,Asia,Southeast Asia,2014-03,193
Philippines,Asia,Southeast Asia,2014-03,80
Indonesia,Asia,Southeast Asia,2014-03,105
"Others, Africa",Africa,,2014-03,20
"Others, America",America,,2014-03,20
"Others, Southeast Asia",Asia,Southeast Asia,2014-03,9
Belgium,Europe,,2014-03,7
United Kingdom,Europe,,2014-03,65
Singapore,Asia,Southeast Asia,2014-03,169
"Others, Oceania",Oceania,,2014-03,0
New Zealand,Oceania,,2014-03,12
Australia,Oceania,,2014-03,101
"Others, Europe",Europe,,2014-03,89
Russian Federation,Europe,,2014-03,56
Sweden,Europe,,2014-03,14
Greece,Europe,,2014-03,1
Austria,Europe,,2014-03,3
