Residence,Region,Sub-Region,Period,Study
India,Asia,,2012-08,63
Mainland China,Asia,,2012-08,220
Unstated,,,2012-08,0
Belgium,Europe,,2012-08,22
Germany,Europe,,2012-08,177
"Korea,Republic of",Asia,,2012-08,514
S. Africa,Africa,,2012-08,8
"Others, Oceania",Oceania,,2012-08,30
New Zealand,Oceania,,2012-08,13
Australia,Oceania,,2012-08,44
"Others, Europe",Europe,,2012-08,180
Russian Federation,Europe,,2012-08,76
Sweden,Europe,,2012-08,35
Greece,Europe,,2012-08,0
Austria,Europe,,2012-08,20
United Kingdom,Europe,,2012-08,43
Spain,Europe,,2012-08,32
Switzerland,Europe,,2012-08,17
Netherlands,Europe,,2012-08,46
Italy,Europe,,2012-08,46
France,Europe,,2012-08,184
HongKong. Macao,Asia,,2012-08,317
"Others, America",America,,2012-08,358
Japan,Asia,,2012-08,945
France,Europe,,2012-09,290
Germany,Europe,,2012-09,212
Italy,Europe,,2012-09,59
Netherlands,Europe,,2012-09,70
Switzerland,Europe,,2012-09,21
Spain,Europe,,2012-09,54
United Kingdom,Europe,,2012-09,46
Belgium,Europe,,2012-09,37
Austria,Europe,,2012-09,26
Sweden,Europe,,2012-09,69
Russian Federation,Europe,,2012-09,78
"Others, Europe",Europe,,2012-09,235
Australia,Oceania,,2012-09,50
New Zealand,Oceania,,2012-09,8
"Others, Oceania",Oceania,,2012-09,30
S. Africa,Africa,,2012-09,5
Greece,Europe,,2012-09,3
"Others, Africa",Africa,,2012-09,201
"Others, America",America,,2012-09,378
Brazil,America,,2012-09,10
HongKong. Macao,Asia,,2012-09,1841
Mainland China,Asia,,2012-09,1631
"Korea,Republic of",Asia,,2012-09,608
India,Asia,,2012-09,154
Middle East,Asia,,2012-09,58
Malaysia,Asia,Southeast Asia,2012-09,3842
Singapore,Asia,Southeast Asia,2012-09,219
Argentina,America,,2012-09,5
Indonesia,Asia,Southeast Asia,2012-09,798
Thailand,Asia,Southeast Asia,2012-09,302
Vietnam,Asia,Southeast Asia,2012-09,1035
"Others, Southeast Asia",Asia,Southeast Asia,2012-09,23
"Others, Asia",Asia,,2012-09,420
Canada,America,,2012-09,69
United States of America,America,,2012-09,434
Mexico,America,,2012-09,27
Philippines,Asia,Southeast Asia,2012-09,126
Unstated,,,2012-09,2
Japan,Asia,,2012-09,847
S. Africa,Africa,,2012-10,5
"Others, Asia",Asia,,2012-10,42
"Others, Southeast Asia",Asia,Southeast Asia,2012-10,9
Vietnam,Asia,Southeast Asia,2012-10,184
Thailand,Asia,Southeast Asia,2012-10,100
Philippines,Asia,Southeast Asia,2012-10,55
Indonesia,Asia,Southeast Asia,2012-10,122
Singapore,Asia,Southeast Asia,2012-10,76
Canada,America,,2012-10,42
HongKong. Macao,Asia,,2012-10,39
Japan,Asia,,2012-10,289
Malaysia,Asia,Southeast Asia,2012-10,261
"Korea,Republic of",Asia,,2012-10,241
India,Asia,,2012-10,34
"Others, Oceania",Oceania,,2012-10,8
"Others, Africa",Africa,,2012-10,42
Unstated,,,2012-10,0
Mainland China,Asia,,2012-10,93
United States of America,America,,2012-10,187
Middle East,Asia,,2012-10,31
Brazil,America,,2012-10,4
Mexico,America,,2012-10,6
Russian Federation,Europe,,2012-10,12
Greece,Europe,,2012-10,0
Austria,Europe,,2012-10,8
United Kingdom,Europe,,2012-10,27
Spain,Europe,,2012-10,15
Australia,Oceania,,2012-10,23
New Zealand,Oceania,,2012-10,18
Sweden,Europe,,2012-10,18
Netherlands,Europe,,2012-10,23
Argentina,America,,2012-10,2
Switzerland,Europe,,2012-10,12
"Others, America",America,,2012-10,87
Belgium,Europe,,2012-10,7
France,Europe,,2012-10,71
"Others, Europe",Europe,,2012-10,54
Italy,Europe,,2012-10,26
Germany,Europe,,2012-10,84
Brazil,America,,2012-11,3
Mexico,America,,2012-11,6
United States of America,America,,2012-11,210
Canada,America,,2012-11,46
"Others, Asia",Asia,,2012-11,62
"Others, Southeast Asia",Asia,Southeast Asia,2012-11,5
Vietnam,Asia,Southeast Asia,2012-11,146
Thailand,Asia,Southeast Asia,2012-11,118
HongKong. Macao,Asia,,2012-11,20
Singapore,Asia,Southeast Asia,2012-11,221
Mainland China,Asia,,2012-11,90
Middle East,Asia,,2012-11,10
India,Asia,,2012-11,30
"Korea,Republic of",Asia,,2012-11,242
Japan,Asia,,2012-11,412
Argentina,America,,2012-11,3
Indonesia,Asia,Southeast Asia,2012-11,120
Malaysia,Asia,Southeast Asia,2012-11,271
Philippines,Asia,Southeast Asia,2012-11,28
France,Europe,,2012-11,168
Belgium,Europe,,2012-11,19
"Others, Africa",Africa,,2012-11,12
Unstated,,,2012-11,1
S. Africa,Africa,,2012-11,4
"Others, Oceania",Oceania,,2012-11,12
New Zealand,Oceania,,2012-11,11
Australia,Oceania,,2012-11,65
"Others, Europe",Europe,,2012-11,75
Russian Federation,Europe,,2012-11,17
"Others, America",America,,2012-11,36
Greece,Europe,,2012-11,0
Austria,Europe,,2012-11,18
United Kingdom,Europe,,2012-11,23
Spain,Europe,,2012-11,24
Switzerland,Europe,,2012-11,16
Sweden,Europe,,2012-11,35
Netherlands,Europe,,2012-11,31
Italy,Europe,,2012-11,37
Germany,Europe,,2012-11,104
"Others, America",America,,2012-12,62
Argentina,America,,2012-12,1
Brazil,America,,2012-12,12
Mexico,America,,2012-12,9
United States of America,America,,2012-12,248
Canada,America,,2012-12,41
Thailand,Asia,Southeast Asia,2012-12,119
"Others, Southeast Asia",Asia,Southeast Asia,2012-12,37
Vietnam,Asia,Southeast Asia,2012-12,139
Belgium,Europe,,2012-12,11
Philippines,Asia,Southeast Asia,2012-12,28
Indonesia,Asia,Southeast Asia,2012-12,252
Singapore,Asia,Southeast Asia,2012-12,121
Malaysia,Asia,Southeast Asia,2012-12,239
Middle East,Asia,,2012-12,11
"Others, Asia",Asia,,2012-12,42
France,Europe,,2012-12,154
Spain,Europe,,2012-12,18
Italy,Europe,,2012-12,26
Japan,Asia,,2012-12,372
Mainland China,Asia,,2012-12,89
HongKong. Macao,Asia,,2012-12,67
Unstated,,,2012-12,1
"Others, Africa",Africa,,2012-12,11
S. Africa,Africa,,2012-12,11
"Others, Oceania",Oceania,,2012-12,7
Germany,Europe,,2012-12,101
New Zealand,Oceania,,2012-12,9
"Others, Europe",Europe,,2012-12,81
Sweden,Europe,,2012-12,40
Greece,Europe,,2012-12,0
Austria,Europe,,2012-12,19
United Kingdom,Europe,,2012-12,13
Switzerland,Europe,,2012-12,16
Netherlands,Europe,,2012-12,44
Australia,Oceania,,2012-12,57
Russian Federation,Europe,,2012-12,28
"Korea,Republic of",Asia,,2012-12,264
India,Asia,,2012-12,30
HongKong. Macao,Asia,,2013-01,132
Germany,Europe,,2013-01,93
Italy,Europe,,2013-01,21
Netherlands,Europe,,2013-01,31
Switzerland,Europe,,2013-01,7
Spain,Europe,,2013-01,41
United Kingdom,Europe,,2013-01,20
Austria,Europe,,2013-01,11
Sweden,Europe,,2013-01,23
Russian Federation,Europe,,2013-01,11
"Others, Europe",Europe,,2013-01,61
Australia,Oceania,,2013-01,38
New Zealand,Oceania,,2013-01,6
"Others, Oceania",Oceania,,2013-01,2
S. Africa,Africa,,2013-01,8
"Others, Africa",Africa,,2013-01,13
Unstated,,,2013-01,0
France,Europe,,2013-01,149
Belgium,Europe,,2013-01,8
Greece,Europe,,2013-01,0
Argentina,America,,2013-01,2
Mainland China,Asia,,2013-01,59
"Others, America",America,,2013-01,154
Japan,Asia,,2013-01,334
"Korea,Republic of",Asia,,2013-01,352
India,Asia,,2013-01,28
Middle East,Asia,,2013-01,9
Singapore,Asia,Southeast Asia,2013-01,57
Indonesia,Asia,Southeast Asia,2013-01,102
Philippines,Asia,Southeast Asia,2013-01,40
Malaysia,Asia,Southeast Asia,2013-01,247
Vietnam,Asia,Southeast Asia,2013-01,71
"Others, Southeast Asia",Asia,Southeast Asia,2013-01,7
"Others, Asia",Asia,,2013-01,27
Canada,America,,2013-01,36
United States of America,America,,2013-01,331
Mexico,America,,2013-01,9
Brazil,America,,2013-01,20
Thailand,Asia,Southeast Asia,2013-01,59
Germany,Europe,,2013-02,164
Austria,Europe,,2013-02,28
Italy,Europe,,2013-02,36
Netherlands,Europe,,2013-02,48
Switzerland,Europe,,2013-02,26
Spain,Europe,,2013-02,56
United Kingdom,Europe,,2013-02,41
Greece,Europe,,2013-02,0
Unstated,,,2013-02,0
Russian Federation,Europe,,2013-02,80
"Others, Europe",Europe,,2013-02,243
Australia,Oceania,,2013-02,43
New Zealand,Oceania,,2013-02,12
"Others, Oceania",Oceania,,2013-02,20
S. Africa,Africa,,2013-02,12
"Others, Africa",Africa,,2013-02,62
France,Europe,,2013-02,365
Sweden,Europe,,2013-02,44
Belgium,Europe,,2013-02,18
"Others, America",America,,2013-02,398
HongKong. Macao,Asia,,2013-02,370
Argentina,America,,2013-02,4
Mainland China,Asia,,2013-02,1723
Japan,Asia,,2013-02,1038
"Korea,Republic of",Asia,,2013-02,741
India,Asia,,2013-02,156
Malaysia,Asia,Southeast Asia,2013-02,7456
Singapore,Asia,Southeast Asia,2013-02,224
Indonesia,Asia,Southeast Asia,2013-02,1188
Middle East,Asia,,2013-02,38
Thailand,Asia,Southeast Asia,2013-02,332
Vietnam,Asia,Southeast Asia,2013-02,1225
"Others, Southeast Asia",Asia,Southeast Asia,2013-02,68
"Others, Asia",Asia,,2013-02,264
Canada,America,,2013-02,100
United States of America,America,,2013-02,452
Mexico,America,,2013-02,26
Philippines,Asia,Southeast Asia,2013-02,148
Brazil,America,,2013-02,13
Vietnam,Asia,Southeast Asia,2013-03,517
"Others, Southeast Asia",Asia,Southeast Asia,2013-03,16
"Others, Asia",Asia,,2013-03,74
Mexico,America,,2013-03,8
United States of America,America,,2013-03,343
Mainland China,Asia,,2013-03,157
Canada,America,,2013-03,39
Japan,Asia,,2013-03,596
"Korea,Republic of",Asia,,2013-03,194
India,Asia,,2013-03,49
Middle East,Asia,,2013-03,48
Malaysia,Asia,Southeast Asia,2013-03,598
Singapore,Asia,Southeast Asia,2013-03,154
Indonesia,Asia,Southeast Asia,2013-03,243
Philippines,Asia,Southeast Asia,2013-03,44
Thailand,Asia,Southeast Asia,2013-03,363
Brazil,America,,2013-03,3
HongKong. Macao,Asia,,2013-03,226
Argentina,America,,2013-03,5
Germany,Europe,,2013-03,113
Belgium,Europe,,2013-03,9
Unstated,,,2013-03,0
"Others, Africa",Africa,,2013-03,38
"Others, America",America,,2013-03,85
"Others, Oceania",Oceania,,2013-03,9
New Zealand,Oceania,,2013-03,9
Australia,Oceania,,2013-03,26
"Others, Europe",Europe,,2013-03,79
Russian Federation,Europe,,2013-03,34
Sweden,Europe,,2013-03,20
S. Africa,Africa,,2013-03,6
Austria,Europe,,2013-03,4
United Kingdom,Europe,,2013-03,26
Spain,Europe,,2013-03,14
Switzerland,Europe,,2013-03,16
Netherlands,Europe,,2013-03,13
Italy,Europe,,2013-03,29
France,Europe,,2013-03,85
Greece,Europe,,2013-03,1
Vietnam,Asia,Southeast Asia,2013-04,133
Thailand,Asia,Southeast Asia,2013-04,257
Philippines,Asia,Southeast Asia,2013-04,256
Indonesia,Asia,Southeast Asia,2013-04,267
Singapore,Asia,Southeast Asia,2013-04,87
"Korea,Republic of",Asia,,2013-04,182
Middle East,Asia,,2013-04,21
India,Asia,,2013-04,24
Japan,Asia,,2013-04,303
"Others, Southeast Asia",Asia,Southeast Asia,2013-04,18
Mainland China,Asia,,2013-04,343
HongKong. Macao,Asia,,2013-04,181
Malaysia,Asia,Southeast Asia,2013-04,327
"Others, Asia",Asia,,2013-04,40
Belgium,Europe,,2013-04,6
United States of America,America,,2013-04,271
Unstated,,,2013-04,0
S. Africa,Africa,,2013-04,4
"Others, Oceania",Oceania,,2013-04,4
New Zealand,Oceania,,2013-04,8
Australia,Oceania,,2013-04,16
"Others, Europe",Europe,,2013-04,90
Russian Federation,Europe,,2013-04,18
Sweden,Europe,,2013-04,14
Greece,Europe,,2013-04,0
Austria,Europe,,2013-04,15
United Kingdom,Europe,,2013-04,33
Spain,Europe,,2013-04,26
Switzerland,Europe,,2013-04,14
Netherlands,Europe,,2013-04,24
Italy,Europe,,2013-04,22
Germany,Europe,,2013-04,67
France,Europe,,2013-04,172
"Others, America",America,,2013-04,89
Argentina,America,,2013-04,5
Brazil,America,,2013-04,7
Mexico,America,,2013-04,5
Canada,America,,2013-04,50
"Others, Africa",Africa,,2013-04,34
Japan,Asia,,2013-05,371
"Others, Oceania",Oceania,,2013-05,4
Mexico,America,,2013-05,6
United States of America,America,,2013-05,417
Canada,America,,2013-05,61
"Others, Asia",Asia,,2013-05,25
"Others, Southeast Asia",Asia,Southeast Asia,2013-05,4
Vietnam,Asia,Southeast Asia,2013-05,116
Brazil,America,,2013-05,14
Thailand,Asia,Southeast Asia,2013-05,76
Indonesia,Asia,Southeast Asia,2013-05,127
Singapore,Asia,Southeast Asia,2013-05,114
Malaysia,Asia,Southeast Asia,2013-05,508
Middle East,Asia,,2013-05,17
India,Asia,,2013-05,74
"Korea,Republic of",Asia,,2013-05,227
Philippines,Asia,Southeast Asia,2013-05,42
Argentina,America,,2013-05,5
"Others, America",America,,2013-05,77
Mainland China,Asia,,2013-05,104
New Zealand,Oceania,,2013-05,5
Australia,Oceania,,2013-05,11
"Others, Europe",Europe,,2013-05,80
Russian Federation,Europe,,2013-05,17
HongKong. Macao,Asia,,2013-05,247
Sweden,Europe,,2013-05,23
Greece,Europe,,2013-05,2
Austria,Europe,,2013-05,12
United Kingdom,Europe,,2013-05,24
Spain,Europe,,2013-05,24
Switzerland,Europe,,2013-05,20
Netherlands,Europe,,2013-05,18
Italy,Europe,,2013-05,17
Germany,Europe,,2013-05,79
France,Europe,,2013-05,134
S. Africa,Africa,,2013-05,5
Belgium,Europe,,2013-05,10
Unstated,,,2013-05,0
"Others, Africa",Africa,,2013-05,17
Mainland China,Asia,,2013-06,69
Italy,Europe,,2013-06,23
Netherlands,Europe,,2013-06,55
Switzerland,Europe,,2013-06,10
Spain,Europe,,2013-06,36
United Kingdom,Europe,,2013-06,54
Austria,Europe,,2013-06,9
Greece,Europe,,2013-06,0
Sweden,Europe,,2013-06,20
Russian Federation,Europe,,2013-06,38
"Others, Europe",Europe,,2013-06,100
Australia,Oceania,,2013-06,44
"Others, Oceania",Oceania,,2013-06,10
S. Africa,Africa,,2013-06,1
"Others, Africa",Africa,,2013-06,25
Unstated,,,2013-06,0
HongKong. Macao,Asia,,2013-06,381
Germany,Europe,,2013-06,56
France,Europe,,2013-06,221
New Zealand,Oceania,,2013-06,10
"Others, America",America,,2013-06,95
"Korea,Republic of",Asia,,2013-06,287
India,Asia,,2013-06,42
Middle East,Asia,,2013-06,24
Malaysia,Asia,Southeast Asia,2013-06,420
Singapore,Asia,Southeast Asia,2013-06,153
Belgium,Europe,,2013-06,12
Indonesia,Asia,Southeast Asia,2013-06,485
Philippines,Asia,Southeast Asia,2013-06,20
Japan,Asia,,2013-06,363
Vietnam,Asia,Southeast Asia,2013-06,123
"Others, Southeast Asia",Asia,Southeast Asia,2013-06,11
"Others, Asia",Asia,,2013-06,32
Canada,America,,2013-06,67
United States of America,America,,2013-06,847
Mexico,America,,2013-06,14
Brazil,America,,2013-06,6
Argentina,America,,2013-06,1
Thailand,Asia,Southeast Asia,2013-06,118
Austria,Europe,,2013-07,21
United Kingdom,Europe,,2013-07,29
Italy,Europe,,2013-07,49
Switzerland,Europe,,2013-07,18
Netherlands,Europe,,2013-07,18
Greece,Europe,,2013-07,2
Spain,Europe,,2013-07,24
Sweden,Europe,,2013-07,10
New Zealand,Oceania,,2013-07,12
"Others, Europe",Europe,,2013-07,115
Australia,Oceania,,2013-07,32
"Others, Oceania",Oceania,,2013-07,3
S. Africa,Africa,,2013-07,3
"Others, Africa",Africa,,2013-07,35
Unstated,,,2013-07,0
Germany,Europe,,2013-07,152
Russian Federation,Europe,,2013-07,29
Belgium,Europe,,2013-07,11
France,Europe,,2013-07,141
Mainland China,Asia,,2013-07,134
HongKong. Macao,Asia,,2013-07,349
"Others, America",America,,2013-07,111
Japan,Asia,,2013-07,391
"Korea,Republic of",Asia,,2013-07,375
India,Asia,,2013-07,38
Middle East,Asia,,2013-07,30
Singapore,Asia,Southeast Asia,2013-07,61
Indonesia,Asia,Southeast Asia,2013-07,266
Philippines,Asia,Southeast Asia,2013-07,47
Malaysia,Asia,Southeast Asia,2013-07,600
Vietnam,Asia,Southeast Asia,2013-07,220
Argentina,America,,2013-07,1
Thailand,Asia,Southeast Asia,2013-07,166
Mexico,America,,2013-07,17
United States of America,America,,2013-07,453
Brazil,America,,2013-07,2
"Others, Asia",Asia,,2013-07,56
"Others, Southeast Asia",Asia,Southeast Asia,2013-07,17
Canada,America,,2013-07,52
Mexico,America,,2013-08,47
Thailand,Asia,Southeast Asia,2013-08,202
United States of America,America,,2013-08,576
Canada,America,,2013-08,64
"Others, Asia",Asia,,2013-08,158
"Others, Southeast Asia",Asia,Southeast Asia,2013-08,95
Vietnam,Asia,Southeast Asia,2013-08,528
Philippines,Asia,Southeast Asia,2013-08,82
Brazil,America,,2013-08,61
Singapore,Asia,Southeast Asia,2013-08,229
Malaysia,Asia,Southeast Asia,2013-08,2143
Middle East,Asia,,2013-08,73
India,Asia,,2013-08,73
"Korea,Republic of",Asia,,2013-08,471
Japan,Asia,,2013-08,1175
Mainland China,Asia,,2013-08,760
HongKong. Macao,Asia,,2013-08,741
Indonesia,Asia,Southeast Asia,2013-08,590
Argentina,America,,2013-08,10
United Kingdom,Europe,,2013-08,50
Belgium,Europe,,2013-08,31
"Others, America",America,,2013-08,328
Unstated,,,2013-08,0
"Others, Africa",Africa,,2013-08,66
S. Africa,Africa,,2013-08,21
"Others, Oceania",Oceania,,2013-08,29
New Zealand,Oceania,,2013-08,7
"Others, Europe",Europe,,2013-08,200
Russian Federation,Europe,,2013-08,81
Australia,Oceania,,2013-08,19
Greece,Europe,,2013-08,1
Austria,Europe,,2013-08,23
Spain,Europe,,2013-08,43
Switzerland,Europe,,2013-08,24
Netherlands,Europe,,2013-08,61
Italy,Europe,,2013-08,57
Germany,Europe,,2013-08,214
France,Europe,,2013-08,233
Sweden,Europe,,2013-08,38
Thailand,Asia,Southeast Asia,2013-09,350
United States of America,America,,2013-09,464
Canada,America,,2013-09,70
"Others, Asia",Asia,,2013-09,490
"Others, Southeast Asia",Asia,Southeast Asia,2013-09,44
Vietnam,Asia,Southeast Asia,2013-09,896
Philippines,Asia,Southeast Asia,2013-09,105
HongKong. Macao,Asia,,2013-09,2405
Singapore,Asia,Southeast Asia,2013-09,383
Malaysia,Asia,Southeast Asia,2013-09,4494
Middle East,Asia,,2013-09,104
India,Asia,,2013-09,165
"Korea,Republic of",Asia,,2013-09,668
Japan,Asia,,2013-09,1005
Mainland China,Asia,,2013-09,2691
Mexico,America,,2013-09,23
Indonesia,Asia,Southeast Asia,2013-09,897
Brazil,America,,2013-09,17
Switzerland,Europe,,2013-09,29
"Others, America",America,,2013-09,524
"Others, Africa",Africa,,2013-09,301
S. Africa,Africa,,2013-09,9
"Others, Oceania",Oceania,,2013-09,51
New Zealand,Oceania,,2013-09,8
Australia,Oceania,,2013-09,28
"Others, Europe",Europe,,2013-09,258
Russian Federation,Europe,,2013-09,115
Argentina,America,,2013-09,3
Sweden,Europe,,2013-09,94
Austria,Europe,,2013-09,32
United Kingdom,Europe,,2013-09,35
Spain,Europe,,2013-09,65
Netherlands,Europe,,2013-09,73
Italy,Europe,,2013-09,72
Germany,Europe,,2013-09,260
France,Europe,,2013-09,313
Belgium,Europe,,2013-09,38
Greece,Europe,,2013-09,2
Unstated,,,2013-09,0
Sweden,Europe,,2013-10,44
Russian Federation,Europe,,2013-10,19
United Kingdom,Europe,,2013-10,22
Middle East,Asia,,2013-10,14
India,Asia,,2013-10,27
"Korea,Republic of",Asia,,2013-10,231
Japan,Asia,,2013-10,363
Mainland China,Asia,,2013-10,183
Austria,Europe,,2013-10,14
Unstated,,,2013-10,0
"Others, Africa",Africa,,2013-10,52
S. Africa,Africa,,2013-10,4
"Others, Oceania",Oceania,,2013-10,25
New Zealand,Oceania,,2013-10,5
Australia,Oceania,,2013-10,27
"Others, Europe",Europe,,2013-10,81
HongKong. Macao,Asia,,2013-10,105
Spain,Europe,,2013-10,26
Malaysia,Asia,Southeast Asia,2013-10,272
Singapore,Asia,Southeast Asia,2013-10,150
Greece,Europe,,2013-10,2
Philippines,Asia,Southeast Asia,2013-10,29
Indonesia,Asia,Southeast Asia,2013-10,154
Switzerland,Europe,,2013-10,11
Netherlands,Europe,,2013-10,21
Italy,Europe,,2013-10,31
Germany,Europe,,2013-10,126
France,Europe,,2013-10,126
"Others, America",America,,2013-10,95
Argentina,America,,2013-10,4
Belgium,Europe,,2013-10,11
Mexico,America,,2013-10,10
United States of America,America,,2013-10,145
Canada,America,,2013-10,39
"Others, Asia",Asia,,2013-10,51
"Others, Southeast Asia",Asia,Southeast Asia,2013-10,16
Vietnam,Asia,Southeast Asia,2013-10,240
Thailand,Asia,Southeast Asia,2013-10,137
Brazil,America,,2013-10,6
Brazil,America,,2013-11,6
Vietnam,Asia,Southeast Asia,2013-11,175
Mexico,America,,2013-11,10
United States of America,America,,2013-11,268
Canada,America,,2013-11,41
"Others, Asia",Asia,,2013-11,52
"Others, Southeast Asia",Asia,Southeast Asia,2013-11,23
Thailand,Asia,Southeast Asia,2013-11,94
Mainland China,Asia,,2013-11,239
Indonesia,Asia,Southeast Asia,2013-11,131
Singapore,Asia,Southeast Asia,2013-11,257
Malaysia,Asia,Southeast Asia,2013-11,375
Middle East,Asia,,2013-11,17
India,Asia,,2013-11,35
"Korea,Republic of",Asia,,2013-11,228
Japan,Asia,,2013-11,471
Argentina,America,,2013-11,0
Philippines,Asia,Southeast Asia,2013-11,57
"Others, America",America,,2013-11,69
HongKong. Macao,Asia,,2013-11,136
France,Europe,,2013-11,116
Belgium,Europe,,2013-11,17
Unstated,,,2013-11,0
"Others, Africa",Africa,,2013-11,24
S. Africa,Africa,,2013-11,2
"Others, Oceania",Oceania,,2013-11,5
Australia,Oceania,,2013-11,54
"Others, Europe",Europe,,2013-11,94
Russian Federation,Europe,,2013-11,29
New Zealand,Oceania,,2013-11,10
Greece,Europe,,2013-11,0
Austria,Europe,,2013-11,19
United Kingdom,Europe,,2013-11,29
Spain,Europe,,2013-11,23
Switzerland,Europe,,2013-11,21
Netherlands,Europe,,2013-11,37
Italy,Europe,,2013-11,47
Sweden,Europe,,2013-11,41
Germany,Europe,,2013-11,100
United Kingdom,Europe,,2013-12,28
Switzerland,Europe,,2013-12,17
Belgium,Europe,,2013-12,18
Italy,Europe,,2013-12,30
France,Europe,,2013-12,144
Austria,Europe,,2013-12,33
Netherlands,Europe,,2013-12,46
Greece,Europe,,2013-12,0
Unstated,,,2013-12,1
Russian Federation,Europe,,2013-12,20
"Others, Europe",Europe,,2013-12,89
Australia,Oceania,,2013-12,81
New Zealand,Oceania,,2013-12,5
"Others, Oceania",Oceania,,2013-12,4
S. Africa,Africa,,2013-12,4
"Others, Africa",Africa,,2013-12,34
"Others, America",America,,2013-12,71
Sweden,Europe,,2013-12,31
Argentina,America,,2013-12,2
Spain,Europe,,2013-12,30
Mexico,America,,2013-12,7
Brazil,America,,2013-12,16
HongKong. Macao,Asia,,2013-12,156
Mainland China,Asia,,2013-12,182
Japan,Asia,,2013-12,462
"Korea,Republic of",Asia,,2013-12,407
India,Asia,,2013-12,64
Middle East,Asia,,2013-12,13
Malaysia,Asia,Southeast Asia,2013-12,357
Singapore,Asia,Southeast Asia,2013-12,159
Germany,Europe,,2013-12,127
Philippines,Asia,Southeast Asia,2013-12,34
Indonesia,Asia,Southeast Asia,2013-12,154
United States of America,America,,2013-12,234
Canada,America,,2013-12,51
"Others, Asia",Asia,,2013-12,39
Thailand,Asia,Southeast Asia,2013-12,82
Vietnam,Asia,Southeast Asia,2013-12,128
"Others, Southeast Asia",Asia,Southeast Asia,2013-12,10
Indonesia,Asia,Southeast Asia,2014-01,55
Germany,Europe,,2014-01,101
France,Europe,,2014-01,114
Belgium,Europe,,2014-01,10
"Others, America",America,,2014-01,87
Argentina,America,,2014-01,4
Brazil,America,,2014-01,20
Mexico,America,,2014-01,6
United States of America,America,,2014-01,325
Italy,Europe,,2014-01,27
Canada,America,,2014-01,47
"Others, Asia",Asia,,2014-01,22
"Others, Southeast Asia",Asia,Southeast Asia,2014-01,7
Vietnam,Asia,Southeast Asia,2014-01,43
Thailand,Asia,Southeast Asia,2014-01,52
Philippines,Asia,Southeast Asia,2014-01,74
Middle East,Asia,,2014-01,10
Netherlands,Europe,,2014-01,38
Austria,Europe,,2014-01,9
Spain,Europe,,2014-01,43
Malaysia,Asia,Southeast Asia,2014-01,253
"Korea,Republic of",Asia,,2014-01,762
India,Asia,,2014-01,14
Unstated,,,2014-01,0
"Others, Africa",Africa,,2014-01,9
S. Africa,Africa,,2014-01,4
"Others, Oceania",Oceania,,2014-01,3
Switzerland,Europe,,2014-01,13
New Zealand,Oceania,,2014-01,7
Mainland China,Asia,,2014-01,92
HongKong. Macao,Asia,,2014-01,154
"Others, Europe",Europe,,2014-01,73
Russian Federation,Europe,,2014-01,11
Sweden,Europe,,2014-01,21
Greece,Europe,,2014-01,0
United Kingdom,Europe,,2014-01,38
Japan,Asia,,2014-01,879
Australia,Oceania,,2014-01,84
Singapore,Asia,Southeast Asia,2014-01,267
Netherlands,Europe,,2014-02,45
France,Europe,,2014-02,410
Germany,Europe,,2014-02,187
Italy,Europe,,2014-02,28
Switzerland,Europe,,2014-02,24
Spain,Europe,,2014-02,45
United Kingdom,Europe,,2014-02,65
Austria,Europe,,2014-02,31
"Others, America",America,,2014-02,51
Greece,Europe,,2014-02,1
S. Africa,Africa,,2014-02,6
"Others, Oceania",Oceania,,2014-02,1
New Zealand,Oceania,,2014-02,9
Australia,Oceania,,2014-02,58
"Others, Europe",Europe,,2014-02,194
Russian Federation,Europe,,2014-02,17
Sweden,Europe,,2014-02,44
"Others, Africa",Africa,,2014-02,33
Argentina,America,,2014-02,0
Belgium,Europe,,2014-02,29
Mexico,America,,2014-02,6
Unstated,,,2014-02,0
HongKong. Macao,Asia,,2014-02,440
Mainland China,Asia,,2014-02,3389
Japan,Asia,,2014-02,1423
"Korea,Republic of",Asia,,2014-02,958
India,Asia,,2014-02,100
Middle East,Asia,,2014-02,22
Brazil,America,,2014-02,15
Singapore,Asia,Southeast Asia,2014-02,170
Malaysia,Asia,Southeast Asia,2014-02,1969
Philippines,Asia,Southeast Asia,2014-02,65
Thailand,Asia,Southeast Asia,2014-02,119
Vietnam,Asia,Southeast Asia,2014-02,173
"Others, Southeast Asia",Asia,Southeast Asia,2014-02,28
"Others, Asia",Asia,,2014-02,96
Canada,America,,2014-02,78
United States of America,America,,2014-02,380
Indonesia,Asia,Southeast Asia,2014-02,235
Argentina,America,,2014-03,3
Canada,America,,2014-03,36
Brazil,America,,2014-03,7
Mexico,America,,2014-03,4
United States of America,America,,2014-03,357
"Others, Asia",Asia,,2014-03,26
S. Africa,Africa,,2014-03,6
Vietnam,Asia,Southeast Asia,2014-03,99
Thailand,Asia,Southeast Asia,2014-03,287
Philippines,Asia,Southeast Asia,2014-03,15
Indonesia,Asia,Southeast Asia,2014-03,68
"Others, Africa",Africa,,2014-03,13
"Others, America",America,,2014-03,46
"Others, Southeast Asia",Asia,Southeast Asia,2014-03,2
Belgium,Europe,,2014-03,9
United Kingdom,Europe,,2014-03,29
Singapore,Asia,Southeast Asia,2014-03,179
"Others, Oceania",Oceania,,2014-03,3
New Zealand,Oceania,,2014-03,7
Australia,Oceania,,2014-03,32
"Others, Europe",Europe,,2014-03,51
Russian Federation,Europe,,2014-03,19
