Residence,Region,Sub-Region,Period,Study
"Korea,Republic of",Asia,,2011-04,163
India,Asia,,2011-04,20
Middle East,Asia,,2011-05,8
Belgium,Europe,,2011-05,8
"Others, America",America,,2011-05,69
Argentina,America,,2011-05,0
Brazil,America,,2011-05,8
Mexico,America,,2011-05,7
United States of America,America,,2011-05,410
Canada,America,,2011-05,64
"Others, Asia",Asia,,2011-05,29
"Others, Southeast Asia",Asia,Southeast Asia,2011-05,144
Thailand,Asia,Southeast Asia,2011-05,102
Philippines,Asia,Southeast Asia,2011-05,32
Indonesia,Asia,Southeast Asia,2011-05,95
Singapore,Asia,Southeast Asia,2011-05,101
France,Europe,,2011-05,101
Germany,Europe,,2011-05,30
Italy,Europe,,2011-05,5
Netherlands,Europe,,2011-05,20
Unstated,,,2011-05,0
"Others, Africa",Africa,,2011-05,17
S. Africa,Africa,,2011-05,3
"Others, Oceania",Oceania,,2011-05,4
New Zealand,Oceania,,2011-05,3
Australia,Oceania,,2011-05,18
Malaysia,Asia,Southeast Asia,2011-05,238
"Others, Europe",Europe,,2011-05,58
Sweden,Europe,,2011-05,15
Greece,Europe,,2011-05,0
Austria,Europe,,2011-05,6
United Kingdom,Europe,,2011-05,36
Spain,Europe,,2011-05,17
Switzerland,Europe,,2011-05,9
Russian Federation,Europe,,2011-05,27
India,Asia,,2011-05,47
"Korea,Republic of",Asia,,2011-05,221
Japan,Asia,,2011-05,368
Mainland China,Asia,,2011-05,255
HongKong. Macao,Asia,,2011-05,140
S. Africa,Africa,,2011-06,1
Canada,America,,2011-06,62
"Others, Asia",Asia,,2011-06,37
"Others, Southeast Asia",Asia,Southeast Asia,2011-06,148
Thailand,Asia,Southeast Asia,2011-06,112
Philippines,Asia,Southeast Asia,2011-06,39
Indonesia,Asia,Southeast Asia,2011-06,168
Singapore,Asia,Southeast Asia,2011-06,80
Middle East,Asia,,2011-06,37
United States of America,America,,2011-06,627
India,Asia,,2011-06,47
"Korea,Republic of",Asia,,2011-06,189
Japan,Asia,,2011-06,283
Mainland China,Asia,,2011-06,126
HongKong. Macao,Asia,,2011-06,164
Malaysia,Asia,Southeast Asia,2011-06,177
"Others, Oceania",Oceania,,2011-06,3
Mexico,America,,2011-06,12
Argentina,America,,2011-06,1
"Others, Africa",Africa,,2011-06,12
New Zealand,Oceania,,2011-06,3
Australia,Oceania,,2011-06,26
"Others, Europe",Europe,,2011-06,63
Russian Federation,Europe,,2011-06,31
Sweden,Europe,,2011-06,15
Greece,Europe,,2011-06,0
Austria,Europe,,2011-06,5
United Kingdom,Europe,,2011-06,40
Spain,Europe,,2011-06,22
Switzerland,Europe,,2011-06,8
Netherlands,Europe,,2011-06,18
Italy,Europe,,2011-06,24
Germany,Europe,,2011-06,34
France,Europe,,2011-06,112
