Residence,Region,Sub-Region,Period,Pleasure
Canada,America,,2012-08,2524
"Others, Asia",Asia,,2012-08,114
"Others, Southeast Asia",Asia,Southeast Asia,2012-08,141
Vietnam,Asia,Southeast Asia,2012-08,503
Thailand,Asia,Southeast Asia,2012-08,1674
Philippines,Asia,Southeast Asia,2012-08,1250
Indonesia,Asia,Southeast Asia,2012-08,7916
Singapore,Asia,Southeast Asia,2012-08,9432
Malaysia,Asia,Southeast Asia,2012-08,17738
Middle East,Asia,,2012-08,150
India,Asia,,2012-08,107
Mainland China,Asia,,2012-08,159547
Unstated,,,2012-08,8
Belgium,Europe,,2012-08,112
Germany,Europe,,2012-08,858
"Korea,Republic of",Asia,,2012-08,13481
S. Africa,Africa,,2012-08,49
"Others, Oceania",Oceania,,2012-08,14
New Zealand,Oceania,,2012-08,206
Australia,Oceania,,2012-08,1310
"Others, Europe",Europe,,2012-08,846
Russian Federation,Europe,,2012-08,58
Sweden,Europe,,2012-08,77
Greece,Europe,,2012-08,10
Austria,Europe,,2012-08,172
United Kingdom,Europe,,2012-08,1219
Spain,Europe,,2012-08,170
Switzerland,Europe,,2012-08,154
Netherlands,Europe,,2012-08,401
Italy,Europe,,2012-08,206
France,Europe,,2012-08,935
HongKong. Macao,Asia,,2012-08,75116
"Others, America",America,,2012-08,91
Japan,Asia,,2012-08,97208
France,Europe,,2012-09,502
Germany,Europe,,2012-09,916
Italy,Europe,,2012-09,121
Netherlands,Europe,,2012-09,275
Switzerland,Europe,,2012-09,145
Spain,Europe,,2012-09,101
United Kingdom,Europe,,2012-09,905
Belgium,Europe,,2012-09,127
Austria,Europe,,2012-09,117
Sweden,Europe,,2012-09,116
Russian Federation,Europe,,2012-09,51
"Others, Europe",Europe,,2012-09,770
Australia,Oceania,,2012-09,2408
New Zealand,Oceania,,2012-09,263
"Others, Oceania",Oceania,,2012-09,30
S. Africa,Africa,,2012-09,43
Greece,Europe,,2012-09,5
"Others, Africa",Africa,,2012-09,19
"Others, America",America,,2012-09,89
Brazil,America,,2012-09,49
HongKong. Macao,Asia,,2012-09,35784
Mainland China,Asia,,2012-09,132162
"Korea,Republic of",Asia,,2012-09,11084
India,Asia,,2012-09,114
Middle East,Asia,,2012-09,128
Malaysia,Asia,Southeast Asia,2012-09,15922
Singapore,Asia,Southeast Asia,2012-09,12647
Argentina,America,,2012-09,13
Indonesia,Asia,Southeast Asia,2012-09,1329
Thailand,Asia,Southeast Asia,2012-09,1438
Vietnam,Asia,Southeast Asia,2012-09,385
"Others, Southeast Asia",Asia,Southeast Asia,2012-09,80
"Others, Asia",Asia,,2012-09,82
Canada,America,,2012-09,2084
United States of America,America,,2012-09,6998
Mexico,America,,2012-09,45
Philippines,Asia,Southeast Asia,2012-09,1231
Unstated,,,2012-09,1
Japan,Asia,,2012-09,89009
S. Africa,Africa,,2012-10,35
"Others, Asia",Asia,,2012-10,109
"Others, Southeast Asia",Asia,Southeast Asia,2012-10,346
Vietnam,Asia,Southeast Asia,2012-10,510
Thailand,Asia,Southeast Asia,2012-10,2574
Philippines,Asia,Southeast Asia,2012-10,2302
Indonesia,Asia,Southeast Asia,2012-10,2702
Singapore,Asia,Southeast Asia,2012-10,21018
Canada,America,,2012-10,3580
HongKong. Macao,Asia,,2012-10,12614
Japan,Asia,,2012-10,84986
Malaysia,Asia,Southeast Asia,2012-10,23731
"Korea,Republic of",Asia,,2012-10,12585
India,Asia,,2012-10,144
"Others, Oceania",Oceania,,2012-10,21
"Others, Africa",Africa,,2012-10,35
Unstated,,,2012-10,4
Mainland China,Asia,,2012-10,170525
United States of America,America,,2012-10,10069
Middle East,Asia,,2012-10,177
Brazil,America,,2012-10,79
Mexico,America,,2012-10,41
Russian Federation,Europe,,2012-10,98
Greece,Europe,,2012-10,13
Austria,Europe,,2012-10,173
United Kingdom,Europe,,2012-10,1365
Spain,Europe,,2012-10,146
Australia,Oceania,,2012-10,2785
New Zealand,Oceania,,2012-10,337
Sweden,Europe,,2012-10,169
Netherlands,Europe,,2012-10,557
Argentina,America,,2012-10,28
Switzerland,Europe,,2012-10,218
"Others, America",America,,2012-10,125
Belgium,Europe,,2012-10,156
France,Europe,,2012-10,758
"Others, Europe",Europe,,2012-10,841
Italy,Europe,,2012-10,180
Germany,Europe,,2012-10,1314
Brazil,America,,2012-11,70
Mexico,America,,2012-11,53
United States of America,America,,2012-11,10602
Canada,America,,2012-11,3983
"Others, Asia",Asia,,2012-11,177
"Others, Southeast Asia",Asia,Southeast Asia,2012-11,165
Vietnam,Asia,Southeast Asia,2012-11,610
Thailand,Asia,Southeast Asia,2012-11,2443
HongKong. Macao,Asia,,2012-11,12820
Singapore,Asia,Southeast Asia,2012-11,33941
Mainland China,Asia,,2012-11,188565
Middle East,Asia,,2012-11,147
India,Asia,,2012-11,117
"Korea,Republic of",Asia,,2012-11,14368
Japan,Asia,,2012-11,92603
Argentina,America,,2012-11,14
Indonesia,Asia,Southeast Asia,2012-11,3264
Malaysia,Asia,Southeast Asia,2012-11,35360
Philippines,Asia,Southeast Asia,2012-11,2090
France,Europe,,2012-11,809
Belgium,Europe,,2012-11,127
"Others, Africa",Africa,,2012-11,46
Unstated,,,2012-11,1
S. Africa,Africa,,2012-11,44
"Others, Oceania",Oceania,,2012-11,26
New Zealand,Oceania,,2012-11,344
Australia,Oceania,,2012-11,2668
"Others, Europe",Europe,,2012-11,940
Russian Federation,Europe,,2012-11,82
"Others, America",America,,2012-11,105
Greece,Europe,,2012-11,11
Austria,Europe,,2012-11,202
United Kingdom,Europe,,2012-11,1453
Spain,Europe,,2012-11,147
Switzerland,Europe,,2012-11,223
Sweden,Europe,,2012-11,161
Netherlands,Europe,,2012-11,503
Italy,Europe,,2012-11,215
Germany,Europe,,2012-11,955
"Others, America",America,,2012-12,99
Argentina,America,,2012-12,16
Brazil,America,,2012-12,123
Mexico,America,,2012-12,54
United States of America,America,,2012-12,11662
Canada,America,,2012-12,3866
Thailand,Asia,Southeast Asia,2012-12,4153
"Others, Southeast Asia",Asia,Southeast Asia,2012-12,367
Vietnam,Asia,Southeast Asia,2012-12,580
Belgium,Europe,,2012-12,96
Philippines,Asia,Southeast Asia,2012-12,3262
Indonesia,Asia,Southeast Asia,2012-12,5255
Singapore,Asia,Southeast Asia,2012-12,53595
Malaysia,Asia,Southeast Asia,2012-12,40072
Middle East,Asia,,2012-12,184
"Others, Asia",Asia,,2012-12,292
France,Europe,,2012-12,862
Spain,Europe,,2012-12,162
Italy,Europe,,2012-12,215
Japan,Asia,,2012-12,87733
Mainland China,Asia,,2012-12,174349
HongKong. Macao,Asia,,2012-12,50458
Unstated,,,2012-12,5
"Others, Africa",Africa,,2012-12,36
S. Africa,Africa,,2012-12,137
"Others, Oceania",Oceania,,2012-12,24
Germany,Europe,,2012-12,1349
New Zealand,Oceania,,2012-12,747
"Others, Europe",Europe,,2012-12,1195
Sweden,Europe,,2012-12,215
Greece,Europe,,2012-12,21
Austria,Europe,,2012-12,116
United Kingdom,Europe,,2012-12,1423
Switzerland,Europe,,2012-12,187
Netherlands,Europe,,2012-12,499
Australia,Oceania,,2012-12,5172
Russian Federation,Europe,,2012-12,86
"Korea,Republic of",Asia,,2012-12,16363
India,Asia,,2012-12,142
HongKong. Macao,Asia,,2013-01,42403
Germany,Europe,,2013-01,931
Italy,Europe,,2013-01,154
Netherlands,Europe,,2013-01,377
Switzerland,Europe,,2013-01,126
Spain,Europe,,2013-01,100
United Kingdom,Europe,,2013-01,851
Austria,Europe,,2013-01,172
Sweden,Europe,,2013-01,133
Russian Federation,Europe,,2013-01,110
"Others, Europe",Europe,,2013-01,582
Australia,Oceania,,2013-01,3838
New Zealand,Oceania,,2013-01,451
"Others, Oceania",Oceania,,2013-01,20
S. Africa,Africa,,2013-01,27
"Others, Africa",Africa,,2013-01,15
Unstated,,,2013-01,0
France,Europe,,2013-01,425
Belgium,Europe,,2013-01,55
Greece,Europe,,2013-01,6
Argentina,America,,2013-01,23
Mainland China,Asia,,2013-01,150802
"Others, America",America,,2013-01,107
Japan,Asia,,2013-01,75819
"Korea,Republic of",Asia,,2013-01,21699
India,Asia,,2013-01,93
Middle East,Asia,,2013-01,111
Singapore,Asia,Southeast Asia,2013-01,13779
Indonesia,Asia,Southeast Asia,2013-01,1458
Philippines,Asia,Southeast Asia,2013-01,1259
Malaysia,Asia,Southeast Asia,2013-01,12644
Vietnam,Asia,Southeast Asia,2013-01,276
"Others, Southeast Asia",Asia,Southeast Asia,2013-01,97
"Others, Asia",Asia,,2013-01,33
Canada,America,,2013-01,2468
United States of America,America,,2013-01,7119
Mexico,America,,2013-01,37
Brazil,America,,2013-01,97
Thailand,Asia,Southeast Asia,2013-01,1673
Germany,Europe,,2013-02,830
Austria,Europe,,2013-02,134
Italy,Europe,,2013-02,160
Netherlands,Europe,,2013-02,327
Switzerland,Europe,,2013-02,165
Spain,Europe,,2013-02,117
United Kingdom,Europe,,2013-02,989
Greece,Europe,,2013-02,16
Unstated,,,2013-02,5
Russian Federation,Europe,,2013-02,49
"Others, Europe",Europe,,2013-02,607
Australia,Oceania,,2013-02,2005
New Zealand,Oceania,,2013-02,236
"Others, Oceania",Oceania,,2013-02,9
S. Africa,Africa,,2013-02,42
"Others, Africa",Africa,,2013-02,13
France,Europe,,2013-02,620
Sweden,Europe,,2013-02,93
Belgium,Europe,,2013-02,67
"Others, America",America,,2013-02,95
HongKong. Macao,Asia,,2013-02,65592
Argentina,America,,2013-02,15
Mainland China,Asia,,2013-02,169533
Japan,Asia,,2013-02,73958
"Korea,Republic of",Asia,,2013-02,16362
India,Asia,,2013-02,51
Malaysia,Asia,Southeast Asia,2013-02,16044
Singapore,Asia,Southeast Asia,2013-02,11088
Indonesia,Asia,Southeast Asia,2013-02,1523
Middle East,Asia,,2013-02,107
Thailand,Asia,Southeast Asia,2013-02,1778
Vietnam,Asia,Southeast Asia,2013-02,869
"Others, Southeast Asia",Asia,Southeast Asia,2013-02,214
"Others, Asia",Asia,,2013-02,149
Canada,America,,2013-02,2363
United States of America,America,,2013-02,6202
Mexico,America,,2013-02,24
Philippines,Asia,Southeast Asia,2013-02,1275
Brazil,America,,2013-02,52
Vietnam,Asia,Southeast Asia,2013-03,511
"Others, Southeast Asia",Asia,Southeast Asia,2013-03,221
"Others, Asia",Asia,,2013-03,112
Mexico,America,,2013-03,52
United States of America,America,,2013-03,9340
Mainland China,Asia,,2013-03,223627
Canada,America,,2013-03,3260
Japan,Asia,,2013-03,112766
"Korea,Republic of",Asia,,2013-03,14844
India,Asia,,2013-03,122
Middle East,Asia,,2013-03,166
Malaysia,Asia,Southeast Asia,2013-03,27500
Singapore,Asia,Southeast Asia,2013-03,26321
Indonesia,Asia,Southeast Asia,2013-03,2850
Philippines,Asia,Southeast Asia,2013-03,3466
Thailand,Asia,Southeast Asia,2013-03,3547
Brazil,America,,2013-03,59
HongKong. Macao,Asia,,2013-03,99368
Argentina,America,,2013-03,15
Germany,Europe,,2013-03,1398
Belgium,Europe,,2013-03,107
Unstated,,,2013-03,12
"Others, Africa",Africa,,2013-03,42
"Others, America",America,,2013-03,118
"Others, Oceania",Oceania,,2013-03,13
New Zealand,Oceania,,2013-03,304
Australia,Oceania,,2013-03,2887
"Others, Europe",Europe,,2013-03,996
Russian Federation,Europe,,2013-03,95
Sweden,Europe,,2013-03,190
S. Africa,Africa,,2013-03,48
Austria,Europe,,2013-03,184
United Kingdom,Europe,,2013-03,1423
Spain,Europe,,2013-03,161
Switzerland,Europe,,2013-03,228
Netherlands,Europe,,2013-03,398
Italy,Europe,,2013-03,198
France,Europe,,2013-03,691
Greece,Europe,,2013-03,8
Vietnam,Asia,Southeast Asia,2013-04,859
Thailand,Asia,Southeast Asia,2013-04,5505
Philippines,Asia,Southeast Asia,2013-04,2415
Indonesia,Asia,Southeast Asia,2013-04,2045
Singapore,Asia,Southeast Asia,2013-04,20845
"Korea,Republic of",Asia,,2013-04,13692
Middle East,Asia,,2013-04,166
India,Asia,,2013-04,106
Japan,Asia,,2013-04,69698
"Others, Southeast Asia",Asia,Southeast Asia,2013-04,147
Mainland China,Asia,,2013-04,247282
HongKong. Macao,Asia,,2013-04,71507
Malaysia,Asia,Southeast Asia,2013-04,23673
"Others, Asia",Asia,,2013-04,74
Belgium,Europe,,2013-04,139
United States of America,America,,2013-04,8811
Unstated,,,2013-04,2
S. Africa,Africa,,2013-04,36
"Others, Oceania",Oceania,,2013-04,16
New Zealand,Oceania,,2013-04,353
Australia,Oceania,,2013-04,2734
"Others, Europe",Europe,,2013-04,744
Russian Federation,Europe,,2013-04,116
Sweden,Europe,,2013-04,147
Greece,Europe,,2013-04,14
Austria,Europe,,2013-04,108
United Kingdom,Europe,,2013-04,1079
Spain,Europe,,2013-04,134
Switzerland,Europe,,2013-04,202
Netherlands,Europe,,2013-04,396
Italy,Europe,,2013-04,176
Germany,Europe,,2013-04,1053
France,Europe,,2013-04,797
"Others, America",America,,2013-04,81
Argentina,America,,2013-04,17
Brazil,America,,2013-04,83
Mexico,America,,2013-04,41
Canada,America,,2013-04,2757
"Others, Africa",Africa,,2013-04,14
Japan,Asia,,2013-05,72135
"Others, Oceania",Oceania,,2013-05,15
Mexico,America,,2013-05,28
United States of America,America,,2013-05,8603
Canada,America,,2013-05,3147
"Others, Asia",Asia,,2013-05,47
"Others, Southeast Asia",Asia,Southeast Asia,2013-05,76
Vietnam,Asia,Southeast Asia,2013-05,442
Brazil,America,,2013-05,55
Thailand,Asia,Southeast Asia,2013-05,3664
Indonesia,Asia,Southeast Asia,2013-05,2370
Singapore,Asia,Southeast Asia,2013-05,21593
Malaysia,Asia,Southeast Asia,2013-05,27495
Middle East,Asia,,2013-05,114
India,Asia,,2013-05,125
"Korea,Republic of",Asia,,2013-05,14588
Philippines,Asia,Southeast Asia,2013-05,1643
Argentina,America,,2013-05,12
"Others, America",America,,2013-05,84
Mainland China,Asia,,2013-05,165815
New Zealand,Oceania,,2013-05,276
Australia,Oceania,,2013-05,1978
"Others, Europe",Europe,,2013-05,703
Russian Federation,Europe,,2013-05,78
HongKong. Macao,Asia,,2013-05,84043
Sweden,Europe,,2013-05,138
Greece,Europe,,2013-05,14
Austria,Europe,,2013-05,112
United Kingdom,Europe,,2013-05,1132
Spain,Europe,,2013-05,138
Switzerland,Europe,,2013-05,205
Netherlands,Europe,,2013-05,328
Italy,Europe,,2013-05,156
Germany,Europe,,2013-05,939
France,Europe,,2013-05,597
S. Africa,Africa,,2013-05,39
Belgium,Europe,,2013-05,88
Unstated,,,2013-05,5
"Others, Africa",Africa,,2013-05,19
Mainland China,Asia,,2013-06,168113
Italy,Europe,,2013-06,153
Netherlands,Europe,,2013-06,338
Switzerland,Europe,,2013-06,153
Spain,Europe,,2013-06,126
United Kingdom,Europe,,2013-06,1138
Austria,Europe,,2013-06,68
Greece,Europe,,2013-06,13
Sweden,Europe,,2013-06,206
Russian Federation,Europe,,2013-06,88
"Others, Europe",Europe,,2013-06,874
Australia,Oceania,,2013-06,2153
"Others, Oceania",Oceania,,2013-06,12
S. Africa,Africa,,2013-06,68
"Others, Africa",Africa,,2013-06,18
Unstated,,,2013-06,4
HongKong. Macao,Asia,,2013-06,109404
Germany,Europe,,2013-06,700
France,Europe,,2013-06,577
New Zealand,Oceania,,2013-06,264
"Others, America",America,,2013-06,99
"Korea,Republic of",Asia,,2013-06,12006
India,Asia,,2013-06,125
Middle East,Asia,,2013-06,156
Malaysia,Asia,Southeast Asia,2013-06,17398
Singapore,Asia,Southeast Asia,2013-06,24146
Belgium,Europe,,2013-06,81
Indonesia,Asia,Southeast Asia,2013-06,3526
Philippines,Asia,Southeast Asia,2013-06,963
Japan,Asia,,2013-06,57981
Vietnam,Asia,Southeast Asia,2013-06,562
"Others, Southeast Asia",Asia,Southeast Asia,2013-06,155
"Others, Asia",Asia,,2013-06,33
Canada,America,,2013-06,2353
United States of America,America,,2013-06,9573
Mexico,America,,2013-06,58
Brazil,America,,2013-06,71
Argentina,America,,2013-06,11
Thailand,Asia,Southeast Asia,2013-06,3188
Austria,Europe,,2013-07,185
United Kingdom,Europe,,2013-07,1312
Italy,Europe,,2013-07,193
Switzerland,Europe,,2013-07,250
Netherlands,Europe,,2013-07,540
Greece,Europe,,2013-07,4
Spain,Europe,,2013-07,167
Sweden,Europe,,2013-07,182
New Zealand,Oceania,,2013-07,319
"Others, Europe",Europe,,2013-07,920
Australia,Oceania,,2013-07,2012
"Others, Oceania",Oceania,,2013-07,23
S. Africa,Africa,,2013-07,41
"Others, Africa",Africa,,2013-07,30
Unstated,,,2013-07,5
Germany,Europe,,2013-07,1067
Russian Federation,Europe,,2013-07,77
Belgium,Europe,,2013-07,177
France,Europe,,2013-07,889
Mainland China,Asia,,2013-07,193843
HongKong. Macao,Asia,,2013-07,93755
"Others, America",America,,2013-07,57
Japan,Asia,,2013-07,66519
"Korea,Republic of",Asia,,2013-07,14236
India,Asia,,2013-07,85
Middle East,Asia,,2013-07,168
Singapore,Asia,Southeast Asia,2013-07,12554
Indonesia,Asia,Southeast Asia,2013-07,1838
Philippines,Asia,Southeast Asia,2013-07,847
Malaysia,Asia,Southeast Asia,2013-07,14928
Vietnam,Asia,Southeast Asia,2013-07,798
Argentina,America,,2013-07,17
Thailand,Asia,Southeast Asia,2013-07,1859
Mexico,America,,2013-07,39
United States of America,America,,2013-07,9174
Brazil,America,,2013-07,69
"Others, Asia",Asia,,2013-07,27
"Others, Southeast Asia",Asia,Southeast Asia,2013-07,112
Canada,America,,2013-07,2865
Mexico,America,,2013-08,24
Thailand,Asia,Southeast Asia,2013-08,1707
United States of America,America,,2013-08,7651
Canada,America,,2013-08,2594
"Others, Asia",Asia,,2013-08,28
"Others, Southeast Asia",Asia,Southeast Asia,2013-08,137
Vietnam,Asia,Southeast Asia,2013-08,768
Philippines,Asia,Southeast Asia,2013-08,1199
Brazil,America,,2013-08,36
Singapore,Asia,Southeast Asia,2013-08,14167
Malaysia,Asia,Southeast Asia,2013-08,23550
Middle East,Asia,,2013-08,145
India,Asia,,2013-08,101
"Korea,Republic of",Asia,,2013-08,20459
Japan,Asia,,2013-08,95108
Mainland China,Asia,,2013-08,188604
HongKong. Macao,Asia,,2013-08,107895
Indonesia,Asia,Southeast Asia,2013-08,7813
Argentina,America,,2013-08,10
United Kingdom,Europe,,2013-08,1440
Belgium,Europe,,2013-08,82
"Others, America",America,,2013-08,92
Unstated,,,2013-08,0
"Others, Africa",Africa,,2013-08,29
S. Africa,Africa,,2013-08,43
"Others, Oceania",Oceania,,2013-08,31
New Zealand,Oceania,,2013-08,225
"Others, Europe",Europe,,2013-08,837
Russian Federation,Europe,,2013-08,59
Australia,Oceania,,2013-08,1535
Greece,Europe,,2013-08,10
Austria,Europe,,2013-08,150
Spain,Europe,,2013-08,239
Switzerland,Europe,,2013-08,229
Netherlands,Europe,,2013-08,374
Italy,Europe,,2013-08,267
Germany,Europe,,2013-08,1061
France,Europe,,2013-08,1012
Sweden,Europe,,2013-08,75
Thailand,Asia,Southeast Asia,2013-09,1529
United States of America,America,,2013-09,7619
Canada,America,,2013-09,2546
"Others, Asia",Asia,,2013-09,32
"Others, Southeast Asia",Asia,Southeast Asia,2013-09,78
Vietnam,Asia,Southeast Asia,2013-09,521
Philippines,Asia,Southeast Asia,2013-09,1222
HongKong. Macao,Asia,,2013-09,68132
Singapore,Asia,Southeast Asia,2013-09,17671
Malaysia,Asia,Southeast Asia,2013-09,21071
Middle East,Asia,,2013-09,138
India,Asia,,2013-09,83
"Korea,Republic of",Asia,,2013-09,21109
Japan,Asia,,2013-09,87243
Mainland China,Asia,,2013-09,207461
Mexico,America,,2013-09,34
Indonesia,Asia,Southeast Asia,2013-09,1587
Brazil,America,,2013-09,47
Switzerland,Europe,,2013-09,195
"Others, America",America,,2013-09,92
"Others, Africa",Africa,,2013-09,20
S. Africa,Africa,,2013-09,48
"Others, Oceania",Oceania,,2013-09,25
New Zealand,Oceania,,2013-09,316
Australia,Oceania,,2013-09,2862
"Others, Europe",Europe,,2013-09,756
Russian Federation,Europe,,2013-09,59
Argentina,America,,2013-09,22
Sweden,Europe,,2013-09,165
Austria,Europe,,2013-09,129
United Kingdom,Europe,,2013-09,1234
Spain,Europe,,2013-09,148
Netherlands,Europe,,2013-09,433
Italy,Europe,,2013-09,165
Germany,Europe,,2013-09,1127
France,Europe,,2013-09,570
Belgium,Europe,,2013-09,131
Greece,Europe,,2013-09,9
Unstated,,,2013-09,4
Sweden,Europe,,2013-10,207
Russian Federation,Europe,,2013-10,102
United Kingdom,Europe,,2013-10,1349
Middle East,Asia,,2013-10,178
India,Asia,,2013-10,152
"Korea,Republic of",Asia,,2013-10,27328
Japan,Asia,,2013-10,94157
Mainland China,Asia,,2013-10,172989
Austria,Europe,,2013-10,208
Unstated,,,2013-10,38
"Others, Africa",Africa,,2013-10,28
S. Africa,Africa,,2013-10,36
"Others, Oceania",Oceania,,2013-10,14
New Zealand,Oceania,,2013-10,365
Australia,Oceania,,2013-10,2924
"Others, Europe",Europe,,2013-10,1019
HongKong. Macao,Asia,,2013-10,76692
Spain,Europe,,2013-10,224
Malaysia,Asia,Southeast Asia,2013-10,31710
Singapore,Asia,Southeast Asia,2013-10,24392
Greece,Europe,,2013-10,17
Philippines,Asia,Southeast Asia,2013-10,2061
Indonesia,Asia,Southeast Asia,2013-10,2686
Switzerland,Europe,,2013-10,352
Netherlands,Europe,,2013-10,520
Italy,Europe,,2013-10,220
Germany,Europe,,2013-10,1540
France,Europe,,2013-10,786
"Others, America",America,,2013-10,129
Argentina,America,,2013-10,20
Belgium,Europe,,2013-10,137
Mexico,America,,2013-10,48
United States of America,America,,2013-10,11525
Canada,America,,2013-10,3971
"Others, Asia",Asia,,2013-10,42
"Others, Southeast Asia",Asia,Southeast Asia,2013-10,363
Vietnam,Asia,Southeast Asia,2013-10,808
Thailand,Asia,Southeast Asia,2013-10,4291
Brazil,America,,2013-10,97
Brazil,America,,2013-11,64
Vietnam,Asia,Southeast Asia,2013-11,595
Mexico,America,,2013-11,49
United States of America,America,,2013-11,12071
Canada,America,,2013-11,4647
"Others, Asia",Asia,,2013-11,197
"Others, Southeast Asia",Asia,Southeast Asia,2013-11,162
Thailand,Asia,Southeast Asia,2013-11,3599
Mainland China,Asia,,2013-11,185391
Indonesia,Asia,Southeast Asia,2013-11,2290
Singapore,Asia,Southeast Asia,2013-11,33790
Malaysia,Asia,Southeast Asia,2013-11,44952
Middle East,Asia,,2013-11,169
India,Asia,,2013-11,156
"Korea,Republic of",Asia,,2013-11,30647
Japan,Asia,,2013-11,104724
Argentina,America,,2013-11,22
Philippines,Asia,Southeast Asia,2013-11,1584
"Others, America",America,,2013-11,94
HongKong. Macao,Asia,,2013-11,81852
France,Europe,,2013-11,854
Belgium,Europe,,2013-11,127
Unstated,,,2013-11,78
"Others, Africa",Africa,,2013-11,30
S. Africa,Africa,,2013-11,36
"Others, Oceania",Oceania,,2013-11,36
Australia,Oceania,,2013-11,2904
"Others, Europe",Europe,,2013-11,889
Russian Federation,Europe,,2013-11,112
New Zealand,Oceania,,2013-11,350
Greece,Europe,,2013-11,16
Austria,Europe,,2013-11,172
United Kingdom,Europe,,2013-11,1522
Spain,Europe,,2013-11,192
Switzerland,Europe,,2013-11,271
Netherlands,Europe,,2013-11,530
Italy,Europe,,2013-11,255
Sweden,Europe,,2013-11,154
Germany,Europe,,2013-11,1195
United Kingdom,Europe,,2013-12,1733
Switzerland,Europe,,2013-12,233
Belgium,Europe,,2013-12,128
Italy,Europe,,2013-12,235
France,Europe,,2013-12,897
Austria,Europe,,2013-12,165
Netherlands,Europe,,2013-12,616
Greece,Europe,,2013-12,14
Unstated,,,2013-12,80
Russian Federation,Europe,,2013-12,98
"Others, Europe",Europe,,2013-12,1328
Australia,Oceania,,2013-12,6301
New Zealand,Oceania,,2013-12,723
"Others, Oceania",Oceania,,2013-12,46
S. Africa,Africa,,2013-12,137
"Others, Africa",Africa,,2013-12,50
"Others, America",America,,2013-12,102
Sweden,Europe,,2013-12,272
Argentina,America,,2013-12,15
Spain,Europe,,2013-12,199
Mexico,America,,2013-12,49
Brazil,America,,2013-12,154
HongKong. Macao,Asia,,2013-12,109219
Mainland China,Asia,,2013-12,190175
Japan,Asia,,2013-12,109005
"Korea,Republic of",Asia,,2013-12,34470
India,Asia,,2013-12,171
Middle East,Asia,,2013-12,208
Malaysia,Asia,Southeast Asia,2013-12,46790
Singapore,Asia,Southeast Asia,2013-12,52899
Germany,Europe,,2013-12,1580
Philippines,Asia,Southeast Asia,2013-12,3019
Indonesia,Asia,Southeast Asia,2013-12,5094
United States of America,America,,2013-12,13328
Canada,America,,2013-12,4708
"Others, Asia",Asia,,2013-12,163
Thailand,Asia,Southeast Asia,2013-12,4722
Vietnam,Asia,Southeast Asia,2013-12,765
"Others, Southeast Asia",Asia,Southeast Asia,2013-12,249
Indonesia,Asia,Southeast Asia,2014-01,1515
Germany,Europe,,2014-01,1359
France,Europe,,2014-01,661
Belgium,Europe,,2014-01,95
"Others, America",America,,2014-01,125
Argentina,America,,2014-01,49
Brazil,America,,2014-01,135
Mexico,America,,2014-01,29
United States of America,America,,2014-01,8533
Italy,Europe,,2014-01,154
Canada,America,,2014-01,3165
"Others, Asia",Asia,,2014-01,149
"Others, Southeast Asia",Asia,Southeast Asia,2014-01,223
Vietnam,Asia,Southeast Asia,2014-01,576
Thailand,Asia,Southeast Asia,2014-01,1631
Philippines,Asia,Southeast Asia,2014-01,1317
Middle East,Asia,,2014-01,179
Netherlands,Europe,,2014-01,566
Austria,Europe,,2014-01,133
Spain,Europe,,2014-01,160
Malaysia,Asia,Southeast Asia,2014-01,16100
"Korea,Republic of",Asia,,2014-01,47136
India,Asia,,2014-01,114
Unstated,,,2014-01,4
"Others, Africa",Africa,,2014-01,20
S. Africa,Africa,,2014-01,61
"Others, Oceania",Oceania,,2014-01,33
Switzerland,Europe,,2014-01,176
New Zealand,Oceania,,2014-01,571
Mainland China,Asia,,2014-01,225084
HongKong. Macao,Asia,,2014-01,61060
"Others, Europe",Europe,,2014-01,814
Russian Federation,Europe,,2014-01,69
Sweden,Europe,,2014-01,151
Greece,Europe,,2014-01,15
United Kingdom,Europe,,2014-01,1332
Japan,Asia,,2014-01,80699
Australia,Oceania,,2014-01,4635
Singapore,Asia,Southeast Asia,2014-01,13335
Netherlands,Europe,,2014-02,407
France,Europe,,2014-02,682
Germany,Europe,,2014-02,1072
Italy,Europe,,2014-02,189
Switzerland,Europe,,2014-02,182
Spain,Europe,,2014-02,159
United Kingdom,Europe,,2014-02,1204
Austria,Europe,,2014-02,226
"Others, America",America,,2014-02,125
Greece,Europe,,2014-02,18
S. Africa,Africa,,2014-02,54
"Others, Oceania",Oceania,,2014-02,21
New Zealand,Oceania,,2014-02,286
Australia,Oceania,,2014-02,2461
"Others, Europe",Europe,,2014-02,749
Russian Federation,Europe,,2014-02,58
Sweden,Europe,,2014-02,137
"Others, Africa",Africa,,2014-02,16
Argentina,America,,2014-02,38
Belgium,Europe,,2014-02,85
Mexico,America,,2014-02,23
Unstated,,,2014-02,3
HongKong. Macao,Asia,,2014-02,73303
Mainland China,Asia,,2014-02,255513
Japan,Asia,,2014-02,100572
"Korea,Republic of",Asia,,2014-02,36476
India,Asia,,2014-02,82
Middle East,Asia,,2014-02,224
Brazil,America,,2014-02,57
Singapore,Asia,Southeast Asia,2014-02,14308
Malaysia,Asia,Southeast Asia,2014-02,22199
Philippines,Asia,Southeast Asia,2014-02,1576
Thailand,Asia,Southeast Asia,2014-02,2137
Vietnam,Asia,Southeast Asia,2014-02,1202
"Others, Southeast Asia",Asia,Southeast Asia,2014-02,223
"Others, Asia",Asia,,2014-02,56
Canada,America,,2014-02,2895
