Residence,Region,Sub-Region,Period,Conference
United States of America,America,,2011-04,560
"Korea,Republic of",Asia,,2011-04,566
India,Asia,,2011-04,135
Middle East,Asia,,2011-05,65
Belgium,Europe,,2011-05,11
"Others, America",America,,2011-05,38
Argentina,America,,2011-05,7
Brazil,America,,2011-05,11
Mexico,America,,2011-05,9
United States of America,America,,2011-05,730
Canada,America,,2011-05,118
"Others, Asia",Asia,,2011-05,33
"Others, Southeast Asia",Asia,Southeast Asia,2011-05,117
Thailand,Asia,Southeast Asia,2011-05,172
Philippines,Asia,Southeast Asia,2011-05,158
Indonesia,Asia,Southeast Asia,2011-05,84
Singapore,Asia,Southeast Asia,2011-05,343
France,Europe,,2011-05,67
Germany,Europe,,2011-05,92
Italy,Europe,,2011-05,37
Netherlands,Europe,,2011-05,30
Unstated,,,2011-05,0
"Others, Africa",Africa,,2011-05,20
S. Africa,Africa,,2011-05,6
"Others, Oceania",Oceania,,2011-05,12
New Zealand,Oceania,,2011-05,28
Australia,Oceania,,2011-05,187
Malaysia,Asia,Southeast Asia,2011-05,330
"Others, Europe",Europe,,2011-05,94
Sweden,Europe,,2011-05,16
Greece,Europe,,2011-05,4
Austria,Europe,,2011-05,9
United Kingdom,Europe,,2011-05,116
Spain,Europe,,2011-05,35
Switzerland,Europe,,2011-05,19
Russian Federation,Europe,,2011-05,24
India,Asia,,2011-05,198
"Korea,Republic of",Asia,,2011-05,384
Japan,Asia,,2011-05,812
Mainland China,Asia,,2011-05,1909
HongKong. Macao,Asia,,2011-05,533
S. Africa,Africa,,2011-06,6
Canada,America,,2011-06,95
"Others, Asia",Asia,,2011-06,37
"Others, Southeast Asia",Asia,Southeast Asia,2011-06,53
Thailand,Asia,Southeast Asia,2011-06,222
Philippines,Asia,Southeast Asia,2011-06,164
Indonesia,Asia,Southeast Asia,2011-06,66
Singapore,Asia,Southeast Asia,2011-06,297
Middle East,Asia,,2011-06,40
United States of America,America,,2011-06,651
India,Asia,,2011-06,144
"Korea,Republic of",Asia,,2011-06,488
Japan,Asia,,2011-06,885
Mainland China,Asia,,2011-06,2096
HongKong. Macao,Asia,,2011-06,587
Malaysia,Asia,Southeast Asia,2011-06,290
"Others, Oceania",Oceania,,2011-06,6
Mexico,America,,2011-06,6
Argentina,America,,2011-06,3
"Others, Africa",Africa,,2011-06,32
New Zealand,Oceania,,2011-06,28
Australia,Oceania,,2011-06,177
"Others, Europe",Europe,,2011-06,107
Russian Federation,Europe,,2011-06,19
Sweden,Europe,,2011-06,7
Greece,Europe,,2011-06,3
Austria,Europe,,2011-06,13
United Kingdom,Europe,,2011-06,110
Spain,Europe,,2011-06,33
Switzerland,Europe,,2011-06,22
Netherlands,Europe,,2011-06,15
Italy,Europe,,2011-06,55
Germany,Europe,,2011-06,110
France,Europe,,2011-06,86
Belgium,Europe,,2011-06,12
"Others, America",America,,2011-06,40
Brazil,America,,2011-06,8
Unstated,,,2011-06,0
"Others, Europe",Europe,,2011-07,186
Mainland China,Asia,,2011-07,1662
"Others, America",America,,2011-07,27
Argentina,America,,2011-07,2
Brazil,America,,2011-07,9
Mexico,America,,2011-07,7
United States of America,America,,2011-07,615
Canada,America,,2011-07,58
Belgium,Europe,,2011-07,11
HongKong. Macao,Asia,,2011-07,499
Thailand,Asia,Southeast Asia,2011-07,198
Philippines,Asia,Southeast Asia,2011-07,122
Indonesia,Asia,Southeast Asia,2011-07,87
Singapore,Asia,Southeast Asia,2011-07,377
Malaysia,Asia,Southeast Asia,2011-07,325
Middle East,Asia,,2011-07,72
"Others, Southeast Asia",Asia,Southeast Asia,2011-07,74
India,Asia,,2011-07,54
France,Europe,,2011-07,55
Italy,Europe,,2011-07,19
Unstated,,,2011-07,0
"Others, Africa",Africa,,2011-07,42
S. Africa,Africa,,2011-07,12
"Others, Oceania",Oceania,,2011-07,9
New Zealand,Oceania,,2011-07,23
Australia,Oceania,,2011-07,128
Germany,Europe,,2011-07,45
Russian Federation,Europe,,2011-07,15
Greece,Europe,,2011-07,5
Austria,Europe,,2011-07,9
United Kingdom,Europe,,2011-07,92
Spain,Europe,,2011-07,18
Switzerland,Europe,,2011-07,11
Netherlands,Europe,,2011-07,13
Sweden,Europe,,2011-07,5
"Korea,Republic of",Asia,,2011-07,316
"Others, Asia",Asia,,2011-07,27
