Residence,Region,Sub-Region,Period,Conference
Middle East,Asia,,2012-08,27
India,Asia,,2012-08,127
Mainland China,Asia,,2012-08,135
Unstated,,,2012-08,0
Belgium,Europe,,2012-08,6
Germany,Europe,,2012-08,86
"Korea,Republic of",Asia,,2012-08,401
S. Africa,Africa,,2012-08,15
"Others, Oceania",Oceania,,2012-08,4
New Zealand,Oceania,,2012-08,19
Australia,Oceania,,2012-08,122
"Others, Europe",Europe,,2012-08,77
Russian Federation,Europe,,2012-08,17
Sweden,Europe,,2012-08,5
Greece,Europe,,2012-08,0
Austria,Europe,,2012-08,4
United Kingdom,Europe,,2012-08,64
Spain,Europe,,2012-08,9
Switzerland,Europe,,2012-08,15
Netherlands,Europe,,2012-08,17
Italy,Europe,,2012-08,19
France,Europe,,2012-08,43
HongKong. Macao,Asia,,2012-08,420
"Others, America",America,,2012-08,18
Japan,Asia,,2012-08,715
France,Europe,,2012-09,71
Germany,Europe,,2012-09,117
Italy,Europe,,2012-09,36
Netherlands,Europe,,2012-09,20
Switzerland,Europe,,2012-09,16
Spain,Europe,,2012-09,30
United Kingdom,Europe,,2012-09,114
Belgium,Europe,,2012-09,10
Austria,Europe,,2012-09,11
Sweden,Europe,,2012-09,28
Russian Federation,Europe,,2012-09,23
"Others, Europe",Europe,,2012-09,87
Australia,Oceania,,2012-09,196
New Zealand,Oceania,,2012-09,41
"Others, Oceania",Oceania,,2012-09,6
S. Africa,Africa,,2012-09,5
Greece,Europe,,2012-09,17
"Others, Africa",Africa,,2012-09,31
"Others, America",America,,2012-09,50
Brazil,America,,2012-09,14
HongKong. Macao,Asia,,2012-09,387
Mainland China,Asia,,2012-09,271
"Korea,Republic of",Asia,,2012-09,445
India,Asia,,2012-09,245
Middle East,Asia,,2012-09,37
Malaysia,Asia,Southeast Asia,2012-09,472
Singapore,Asia,Southeast Asia,2012-09,344
Argentina,America,,2012-09,8
Indonesia,Asia,Southeast Asia,2012-09,209
Thailand,Asia,Southeast Asia,2012-09,159
Vietnam,Asia,Southeast Asia,2012-09,68
"Others, Southeast Asia",Asia,Southeast Asia,2012-09,18
"Others, Asia",Asia,,2012-09,53
Canada,America,,2012-09,73
United States of America,America,,2012-09,574
Mexico,America,,2012-09,16
Philippines,Asia,Southeast Asia,2012-09,217
Unstated,,,2012-09,3
Japan,Asia,,2012-09,927
S. Africa,Africa,,2012-10,9
"Others, Asia",Asia,,2012-10,61
"Others, Southeast Asia",Asia,Southeast Asia,2012-10,26
Vietnam,Asia,Southeast Asia,2012-10,129
Thailand,Asia,Southeast Asia,2012-10,297
Philippines,Asia,Southeast Asia,2012-10,217
Indonesia,Asia,Southeast Asia,2012-10,139
Singapore,Asia,Southeast Asia,2012-10,441
Canada,America,,2012-10,140
HongKong. Macao,Asia,,2012-10,254
Japan,Asia,,2012-10,1306
Malaysia,Asia,Southeast Asia,2012-10,378
"Korea,Republic of",Asia,,2012-10,606
India,Asia,,2012-10,263
"Others, Oceania",Oceania,,2012-10,8
"Others, Africa",Africa,,2012-10,56
Unstated,,,2012-10,1
Mainland China,Asia,,2012-10,153
United States of America,America,,2012-10,789
Middle East,Asia,,2012-10,76
Brazil,America,,2012-10,22
Mexico,America,,2012-10,14
Russian Federation,Europe,,2012-10,41
Greece,Europe,,2012-10,20
Austria,Europe,,2012-10,26
United Kingdom,Europe,,2012-10,159
Spain,Europe,,2012-10,28
Australia,Oceania,,2012-10,239
New Zealand,Oceania,,2012-10,34
Sweden,Europe,,2012-10,13
Netherlands,Europe,,2012-10,43
Argentina,America,,2012-10,8
Switzerland,Europe,,2012-10,31
"Others, America",America,,2012-10,78
Belgium,Europe,,2012-10,25
France,Europe,,2012-10,110
"Others, Europe",Europe,,2012-10,137
Italy,Europe,,2012-10,78
Germany,Europe,,2012-10,149
Brazil,America,,2012-11,38
Mexico,America,,2012-11,59
United States of America,America,,2012-11,914
Canada,America,,2012-11,122
"Others, Asia",Asia,,2012-11,127
"Others, Southeast Asia",Asia,Southeast Asia,2012-11,18
Vietnam,Asia,Southeast Asia,2012-11,160
Thailand,Asia,Southeast Asia,2012-11,328
HongKong. Macao,Asia,,2012-11,302
Singapore,Asia,Southeast Asia,2012-11,458
Mainland China,Asia,,2012-11,593
Middle East,Asia,,2012-11,184
India,Asia,,2012-11,202
"Korea,Republic of",Asia,,2012-11,810
Japan,Asia,,2012-11,1418
Argentina,America,,2012-11,19
Indonesia,Asia,Southeast Asia,2012-11,198
Malaysia,Asia,Southeast Asia,2012-11,599
Philippines,Asia,Southeast Asia,2012-11,455
France,Europe,,2012-11,138
Belgium,Europe,,2012-11,36
"Others, Africa",Africa,,2012-11,156
Unstated,,,2012-11,0
S. Africa,Africa,,2012-11,26
"Others, Oceania",Oceania,,2012-11,18
New Zealand,Oceania,,2012-11,64
Australia,Oceania,,2012-11,220
"Others, Europe",Europe,,2012-11,337
Russian Federation,Europe,,2012-11,65
"Others, America",America,,2012-11,132
Greece,Europe,,2012-11,10
Austria,Europe,,2012-11,39
United Kingdom,Europe,,2012-11,225
Spain,Europe,,2012-11,45
Switzerland,Europe,,2012-11,37
Sweden,Europe,,2012-11,37
Netherlands,Europe,,2012-11,54
Italy,Europe,,2012-11,99
Germany,Europe,,2012-11,191
"Others, America",America,,2012-12,15
Argentina,America,,2012-12,0
Brazil,America,,2012-12,5
Mexico,America,,2012-12,3
United States of America,America,,2012-12,455
Canada,America,,2012-12,72
Thailand,Asia,Southeast Asia,2012-12,103
"Others, Southeast Asia",Asia,Southeast Asia,2012-12,12
Vietnam,Asia,Southeast Asia,2012-12,60
Belgium,Europe,,2012-12,8
Philippines,Asia,Southeast Asia,2012-12,103
Indonesia,Asia,Southeast Asia,2012-12,107
Singapore,Asia,Southeast Asia,2012-12,273
Malaysia,Asia,Southeast Asia,2012-12,348
Middle East,Asia,,2012-12,45
"Others, Asia",Asia,,2012-12,49
France,Europe,,2012-12,57
Spain,Europe,,2012-12,15
Italy,Europe,,2012-12,31
Japan,Asia,,2012-12,944
Mainland China,Asia,,2012-12,201
HongKong. Macao,Asia,,2012-12,307
Unstated,,,2012-12,0
"Others, Africa",Africa,,2012-12,24
S. Africa,Africa,,2012-12,10
"Others, Oceania",Oceania,,2012-12,2
Germany,Europe,,2012-12,89
New Zealand,Oceania,,2012-12,24
"Others, Europe",Europe,,2012-12,117
Sweden,Europe,,2012-12,17
Greece,Europe,,2012-12,2
Austria,Europe,,2012-12,10
United Kingdom,Europe,,2012-12,60
Switzerland,Europe,,2012-12,10
Netherlands,Europe,,2012-12,15
Australia,Oceania,,2012-12,94
Russian Federation,Europe,,2012-12,45
"Korea,Republic of",Asia,,2012-12,535
India,Asia,,2012-12,100
HongKong. Macao,Asia,,2013-01,852
Germany,Europe,,2013-01,52
Italy,Europe,,2013-01,22
Netherlands,Europe,,2013-01,15
Switzerland,Europe,,2013-01,11
Spain,Europe,,2013-01,12
United Kingdom,Europe,,2013-01,45
Austria,Europe,,2013-01,5
Sweden,Europe,,2013-01,15
Russian Federation,Europe,,2013-01,14
"Others, Europe",Europe,,2013-01,36
Australia,Oceania,,2013-01,97
New Zealand,Oceania,,2013-01,6
"Others, Oceania",Oceania,,2013-01,0
S. Africa,Africa,,2013-01,3
"Others, Africa",Africa,,2013-01,11
Unstated,,,2013-01,0
France,Europe,,2013-01,42
Belgium,Europe,,2013-01,10
Greece,Europe,,2013-01,1
Argentina,America,,2013-01,3
Mainland China,Asia,,2013-01,92
"Others, America",America,,2013-01,8
Japan,Asia,,2013-01,752
"Korea,Republic of",Asia,,2013-01,365
India,Asia,,2013-01,149
Middle East,Asia,,2013-01,33
Singapore,Asia,Southeast Asia,2013-01,292
Indonesia,Asia,Southeast Asia,2013-01,70
Philippines,Asia,Southeast Asia,2013-01,135
Malaysia,Asia,Southeast Asia,2013-01,214
Vietnam,Asia,Southeast Asia,2013-01,36
"Others, Southeast Asia",Asia,Southeast Asia,2013-01,8
"Others, Asia",Asia,,2013-01,21
Canada,America,,2013-01,44
United States of America,America,,2013-01,355
Mexico,America,,2013-01,4
Brazil,America,,2013-01,3
Thailand,Asia,Southeast Asia,2013-01,98
Germany,Europe,,2013-02,19
Austria,Europe,,2013-02,1
Italy,Europe,,2013-02,6
Netherlands,Europe,,2013-02,6
Switzerland,Europe,,2013-02,3
Spain,Europe,,2013-02,3
United Kingdom,Europe,,2013-02,42
Greece,Europe,,2013-02,0
Unstated,,,2013-02,0
Russian Federation,Europe,,2013-02,2
"Others, Europe",Europe,,2013-02,20
Australia,Oceania,,2013-02,56
New Zealand,Oceania,,2013-02,4
"Others, Oceania",Oceania,,2013-02,0
S. Africa,Africa,,2013-02,0
"Others, Africa",Africa,,2013-02,3
France,Europe,,2013-02,16
Sweden,Europe,,2013-02,3
Belgium,Europe,,2013-02,2
"Others, America",America,,2013-02,2
HongKong. Macao,Asia,,2013-02,403
Argentina,America,,2013-02,2
Mainland China,Asia,,2013-02,161
Japan,Asia,,2013-02,444
"Korea,Republic of",Asia,,2013-02,160
India,Asia,,2013-02,39
Malaysia,Asia,Southeast Asia,2013-02,117
Singapore,Asia,Southeast Asia,2013-02,127
Indonesia,Asia,Southeast Asia,2013-02,31
Middle East,Asia,,2013-02,5
Thailand,Asia,Southeast Asia,2013-02,46
Vietnam,Asia,Southeast Asia,2013-02,9
"Others, Southeast Asia",Asia,Southeast Asia,2013-02,5
"Others, Asia",Asia,,2013-02,6
Canada,America,,2013-02,23
United States of America,America,,2013-02,215
Mexico,America,,2013-02,3
Philippines,Asia,Southeast Asia,2013-02,65
Brazil,America,,2013-02,3
Vietnam,Asia,Southeast Asia,2013-03,50
"Others, Southeast Asia",Asia,Southeast Asia,2013-03,8
"Others, Asia",Asia,,2013-03,47
Mexico,America,,2013-03,6
United States of America,America,,2013-03,511
Mainland China,Asia,,2013-03,135
Canada,America,,2013-03,76
Japan,Asia,,2013-03,997
"Korea,Republic of",Asia,,2013-03,361
India,Asia,,2013-03,100
Middle East,Asia,,2013-03,44
Malaysia,Asia,Southeast Asia,2013-03,295
Singapore,Asia,Southeast Asia,2013-03,361
Indonesia,Asia,Southeast Asia,2013-03,68
Philippines,Asia,Southeast Asia,2013-03,145
Thailand,Asia,Southeast Asia,2013-03,129
Brazil,America,,2013-03,12
HongKong. Macao,Asia,,2013-03,585
Argentina,America,,2013-03,0
Germany,Europe,,2013-03,101
Belgium,Europe,,2013-03,15
Unstated,,,2013-03,0
"Others, Africa",Africa,,2013-03,29
"Others, America",America,,2013-03,21
"Others, Oceania",Oceania,,2013-03,4
New Zealand,Oceania,,2013-03,13
Australia,Oceania,,2013-03,154
"Others, Europe",Europe,,2013-03,104
Russian Federation,Europe,,2013-03,21
Sweden,Europe,,2013-03,19
S. Africa,Africa,,2013-03,9
Austria,Europe,,2013-03,7
United Kingdom,Europe,,2013-03,79
Spain,Europe,,2013-03,12
Switzerland,Europe,,2013-03,15
Netherlands,Europe,,2013-03,14
Italy,Europe,,2013-03,45
France,Europe,,2013-03,67
Greece,Europe,,2013-03,1
Vietnam,Asia,Southeast Asia,2013-04,105
Thailand,Asia,Southeast Asia,2013-04,326
Philippines,Asia,Southeast Asia,2013-04,218
Indonesia,Asia,Southeast Asia,2013-04,178
Singapore,Asia,Southeast Asia,2013-04,333
"Korea,Republic of",Asia,,2013-04,397
Middle East,Asia,,2013-04,89
India,Asia,,2013-04,152
Japan,Asia,,2013-04,686
"Others, Southeast Asia",Asia,Southeast Asia,2013-04,21
Mainland China,Asia,,2013-04,284
HongKong. Macao,Asia,,2013-04,668
Malaysia,Asia,Southeast Asia,2013-04,343
"Others, Asia",Asia,,2013-04,22
Belgium,Europe,,2013-04,10
United States of America,America,,2013-04,461
Unstated,,,2013-04,0
S. Africa,Africa,,2013-04,8
"Others, Oceania",Oceania,,2013-04,7
New Zealand,Oceania,,2013-04,21
Australia,Oceania,,2013-04,156
"Others, Europe",Europe,,2013-04,84
Russian Federation,Europe,,2013-04,37
Sweden,Europe,,2013-04,14
Greece,Europe,,2013-04,2
Austria,Europe,,2013-04,8
United Kingdom,Europe,,2013-04,109
Spain,Europe,,2013-04,25
Switzerland,Europe,,2013-04,12
Netherlands,Europe,,2013-04,12
Italy,Europe,,2013-04,42
Germany,Europe,,2013-04,64
France,Europe,,2013-04,72
"Others, America",America,,2013-04,34
Argentina,America,,2013-04,6
Brazil,America,,2013-04,10
Mexico,America,,2013-04,13
Canada,America,,2013-04,61
"Others, Africa",Africa,,2013-04,37
Japan,Asia,,2013-05,772
"Others, Oceania",Oceania,,2013-05,5
Mexico,America,,2013-05,11
United States of America,America,,2013-05,580
Canada,America,,2013-05,65
"Others, Asia",Asia,,2013-05,21
"Others, Southeast Asia",Asia,Southeast Asia,2013-05,6
Vietnam,Asia,Southeast Asia,2013-05,66
Brazil,America,,2013-05,14
Thailand,Asia,Southeast Asia,2013-05,189
Indonesia,Asia,Southeast Asia,2013-05,94
Singapore,Asia,Southeast Asia,2013-05,361
Malaysia,Asia,Southeast Asia,2013-05,308
Middle East,Asia,,2013-05,36
India,Asia,,2013-05,143
"Korea,Republic of",Asia,,2013-05,479
Philippines,Asia,Southeast Asia,2013-05,80
Argentina,America,,2013-05,1
"Others, America",America,,2013-05,50
Mainland China,Asia,,2013-05,244
New Zealand,Oceania,,2013-05,19
Australia,Oceania,,2013-05,132
"Others, Europe",Europe,,2013-05,98
Russian Federation,Europe,,2013-05,55
HongKong. Macao,Asia,,2013-05,718
Sweden,Europe,,2013-05,8
Greece,Europe,,2013-05,2
Austria,Europe,,2013-05,19
United Kingdom,Europe,,2013-05,73
Spain,Europe,,2013-05,24
Switzerland,Europe,,2013-05,15
Netherlands,Europe,,2013-05,23
Italy,Europe,,2013-05,42
Germany,Europe,,2013-05,78
France,Europe,,2013-05,60
S. Africa,Africa,,2013-05,1
Belgium,Europe,,2013-05,10
Unstated,,,2013-05,1
"Others, Africa",Africa,,2013-05,15
Mainland China,Asia,,2013-06,177
Italy,Europe,,2013-06,37
Netherlands,Europe,,2013-06,23
Switzerland,Europe,,2013-06,14
Spain,Europe,,2013-06,21
United Kingdom,Europe,,2013-06,83
Austria,Europe,,2013-06,13
Greece,Europe,,2013-06,3
Sweden,Europe,,2013-06,13
Russian Federation,Europe,,2013-06,50
"Others, Europe",Europe,,2013-06,96
Australia,Oceania,,2013-06,149
"Others, Oceania",Oceania,,2013-06,6
S. Africa,Africa,,2013-06,11
"Others, Africa",Africa,,2013-06,24
Unstated,,,2013-06,0
HongKong. Macao,Asia,,2013-06,636
Germany,Europe,,2013-06,67
France,Europe,,2013-06,60
New Zealand,Oceania,,2013-06,23
"Others, America",America,,2013-06,29
"Korea,Republic of",Asia,,2013-06,387
India,Asia,,2013-06,119
Middle East,Asia,,2013-06,47
Malaysia,Asia,Southeast Asia,2013-06,412
Singapore,Asia,Southeast Asia,2013-06,306
Belgium,Europe,,2013-06,9
Indonesia,Asia,Southeast Asia,2013-06,81
Philippines,Asia,Southeast Asia,2013-06,78
Japan,Asia,,2013-06,723
Vietnam,Asia,Southeast Asia,2013-06,38
"Others, Southeast Asia",Asia,Southeast Asia,2013-06,4
"Others, Asia",Asia,,2013-06,25
Canada,America,,2013-06,66
United States of America,America,,2013-06,562
Mexico,America,,2013-06,5
Brazil,America,,2013-06,19
Argentina,America,,2013-06,5
Thailand,Asia,Southeast Asia,2013-06,171
Austria,Europe,,2013-07,9
United Kingdom,Europe,,2013-07,57
Italy,Europe,,2013-07,42
Switzerland,Europe,,2013-07,18
Netherlands,Europe,,2013-07,12
Greece,Europe,,2013-07,1
Spain,Europe,,2013-07,23
Sweden,Europe,,2013-07,14
New Zealand,Oceania,,2013-07,14
"Others, Europe",Europe,,2013-07,127
Australia,Oceania,,2013-07,171
"Others, Oceania",Oceania,,2013-07,2
S. Africa,Africa,,2013-07,6
"Others, Africa",Africa,,2013-07,24
Unstated,,,2013-07,0
Germany,Europe,,2013-07,119
Russian Federation,Europe,,2013-07,43
Belgium,Europe,,2013-07,10
France,Europe,,2013-07,74
Mainland China,Asia,,2013-07,112
HongKong. Macao,Asia,,2013-07,594
"Others, America",America,,2013-07,44
Japan,Asia,,2013-07,942
"Korea,Republic of",Asia,,2013-07,400
India,Asia,,2013-07,101
Middle East,Asia,,2013-07,35
Singapore,Asia,Southeast Asia,2013-07,334
Indonesia,Asia,Southeast Asia,2013-07,74
Philippines,Asia,Southeast Asia,2013-07,69
Malaysia,Asia,Southeast Asia,2013-07,390
Vietnam,Asia,Southeast Asia,2013-07,52
Argentina,America,,2013-07,3
Thailand,Asia,Southeast Asia,2013-07,188
Mexico,America,,2013-07,5
United States of America,America,,2013-07,441
Brazil,America,,2013-07,9
"Others, Asia",Asia,,2013-07,30
"Others, Southeast Asia",Asia,Southeast Asia,2013-07,8
Canada,America,,2013-07,69
Mexico,America,,2013-08,2
Thailand,Asia,Southeast Asia,2013-08,106
United States of America,America,,2013-08,422
Canada,America,,2013-08,39
"Others, Asia",Asia,,2013-08,35
"Others, Southeast Asia",Asia,Southeast Asia,2013-08,18
Vietnam,Asia,Southeast Asia,2013-08,88
Philippines,Asia,Southeast Asia,2013-08,98
Brazil,America,,2013-08,4
Singapore,Asia,Southeast Asia,2013-08,271
Malaysia,Asia,Southeast Asia,2013-08,404
Middle East,Asia,,2013-08,27
India,Asia,,2013-08,74
"Korea,Republic of",Asia,,2013-08,293
Japan,Asia,,2013-08,638
Mainland China,Asia,,2013-08,227
HongKong. Macao,Asia,,2013-08,477
Indonesia,Asia,Southeast Asia,2013-08,67
Argentina,America,,2013-08,0
United Kingdom,Europe,,2013-08,49
Belgium,Europe,,2013-08,9
"Others, America",America,,2013-08,47
Unstated,,,2013-08,0
"Others, Africa",Africa,,2013-08,12
S. Africa,Africa,,2013-08,16
"Others, Oceania",Oceania,,2013-08,9
New Zealand,Oceania,,2013-08,21
"Others, Europe",Europe,,2013-08,39
Russian Federation,Europe,,2013-08,16
Australia,Oceania,,2013-08,92
Greece,Europe,,2013-08,3
Austria,Europe,,2013-08,10
Spain,Europe,,2013-08,14
Switzerland,Europe,,2013-08,6
Netherlands,Europe,,2013-08,9
Italy,Europe,,2013-08,14
Germany,Europe,,2013-08,48
France,Europe,,2013-08,30
Sweden,Europe,,2013-08,10
Thailand,Asia,Southeast Asia,2013-09,329
United States of America,America,,2013-09,557
Canada,America,,2013-09,64
"Others, Asia",Asia,,2013-09,79
"Others, Southeast Asia",Asia,Southeast Asia,2013-09,22
Vietnam,Asia,Southeast Asia,2013-09,121
Philippines,Asia,Southeast Asia,2013-09,200
HongKong. Macao,Asia,,2013-09,667
Singapore,Asia,Southeast Asia,2013-09,427
Malaysia,Asia,Southeast Asia,2013-09,563
Middle East,Asia,,2013-09,38
India,Asia,,2013-09,206
"Korea,Republic of",Asia,,2013-09,404
Japan,Asia,,2013-09,1131
Mainland China,Asia,,2013-09,500
Mexico,America,,2013-09,9
Indonesia,Asia,Southeast Asia,2013-09,250
Brazil,America,,2013-09,5
Switzerland,Europe,,2013-09,24
"Others, America",America,,2013-09,32
"Others, Africa",Africa,,2013-09,52
S. Africa,Africa,,2013-09,16
"Others, Oceania",Oceania,,2013-09,18
New Zealand,Oceania,,2013-09,45
Australia,Oceania,,2013-09,230
"Others, Europe",Europe,,2013-09,88
Russian Federation,Europe,,2013-09,19
Argentina,America,,2013-09,3
Sweden,Europe,,2013-09,7
Austria,Europe,,2013-09,5
United Kingdom,Europe,,2013-09,86
Spain,Europe,,2013-09,20
Netherlands,Europe,,2013-09,24
Italy,Europe,,2013-09,50
Germany,Europe,,2013-09,95
France,Europe,,2013-09,72
Belgium,Europe,,2013-09,16
Greece,Europe,,2013-09,1
Unstated,,,2013-09,0
Sweden,Europe,,2013-10,26
Russian Federation,Europe,,2013-10,43
United Kingdom,Europe,,2013-10,113
Middle East,Asia,,2013-10,94
India,Asia,,2013-10,519
"Korea,Republic of",Asia,,2013-10,781
Japan,Asia,,2013-10,1357
Mainland China,Asia,,2013-10,112
Austria,Europe,,2013-10,18
Unstated,,,2013-10,5
"Others, Africa",Africa,,2013-10,67
S. Africa,Africa,,2013-10,17
"Others, Oceania",Oceania,,2013-10,9
New Zealand,Oceania,,2013-10,36
Australia,Oceania,,2013-10,233
"Others, Europe",Europe,,2013-10,134
HongKong. Macao,Asia,,2013-10,812
Spain,Europe,,2013-10,28
Malaysia,Asia,Southeast Asia,2013-10,661
Singapore,Asia,Southeast Asia,2013-10,532
Greece,Europe,,2013-10,6
Philippines,Asia,Southeast Asia,2013-10,237
Indonesia,Asia,Southeast Asia,2013-10,189
Switzerland,Europe,,2013-10,28
Netherlands,Europe,,2013-10,40
Italy,Europe,,2013-10,46
Germany,Europe,,2013-10,155
France,Europe,,2013-10,146
"Others, America",America,,2013-10,56
Argentina,America,,2013-10,5
Belgium,Europe,,2013-10,20
Mexico,America,,2013-10,7
United States of America,America,,2013-10,770
Canada,America,,2013-10,101
"Others, Asia",Asia,,2013-10,77
"Others, Southeast Asia",Asia,Southeast Asia,2013-10,26
Vietnam,Asia,Southeast Asia,2013-10,100
Thailand,Asia,Southeast Asia,2013-10,364
Brazil,America,,2013-10,13
Brazil,America,,2013-11,11
Vietnam,Asia,Southeast Asia,2013-11,167
Mexico,America,,2013-11,9
United States of America,America,,2013-11,836
Canada,America,,2013-11,120
"Others, Asia",Asia,,2013-11,127
"Others, Southeast Asia",Asia,Southeast Asia,2013-11,52
Thailand,Asia,Southeast Asia,2013-11,244
Mainland China,Asia,,2013-11,584
Indonesia,Asia,Southeast Asia,2013-11,251
Singapore,Asia,Southeast Asia,2013-11,457
Malaysia,Asia,Southeast Asia,2013-11,679
Middle East,Asia,,2013-11,85
India,Asia,,2013-11,165
"Korea,Republic of",Asia,,2013-11,781
Japan,Asia,,2013-11,1435
Argentina,America,,2013-11,8
Philippines,Asia,Southeast Asia,2013-11,245
"Others, America",America,,2013-11,27
HongKong. Macao,Asia,,2013-11,857
France,Europe,,2013-11,160
Belgium,Europe,,2013-11,14
Unstated,,,2013-11,5
"Others, Africa",Africa,,2013-11,60
S. Africa,Africa,,2013-11,38
"Others, Oceania",Oceania,,2013-11,12
Australia,Oceania,,2013-11,201
"Others, Europe",Europe,,2013-11,171
Russian Federation,Europe,,2013-11,45
New Zealand,Oceania,,2013-11,26
Greece,Europe,,2013-11,4
Austria,Europe,,2013-11,16
United Kingdom,Europe,,2013-11,138
Spain,Europe,,2013-11,30
Switzerland,Europe,,2013-11,22
Netherlands,Europe,,2013-11,35
Italy,Europe,,2013-11,78
Sweden,Europe,,2013-11,12
Germany,Europe,,2013-11,166
United Kingdom,Europe,,2013-12,81
Switzerland,Europe,,2013-12,13
Belgium,Europe,,2013-12,6
Italy,Europe,,2013-12,37
France,Europe,,2013-12,60
Austria,Europe,,2013-12,6
Netherlands,Europe,,2013-12,12
Greece,Europe,,2013-12,1
Unstated,,,2013-12,0
Russian Federation,Europe,,2013-12,19
"Others, Europe",Europe,,2013-12,65
Australia,Oceania,,2013-12,97
New Zealand,Oceania,,2013-12,23
"Others, Oceania",Oceania,,2013-12,2
S. Africa,Africa,,2013-12,11
"Others, Africa",Africa,,2013-12,15
"Others, America",America,,2013-12,9
Sweden,Europe,,2013-12,10
Argentina,America,,2013-12,1
Spain,Europe,,2013-12,16
Mexico,America,,2013-12,8
Brazil,America,,2013-12,8
HongKong. Macao,Asia,,2013-12,677
Mainland China,Asia,,2013-12,196
Japan,Asia,,2013-12,1084
"Korea,Republic of",Asia,,2013-12,489
India,Asia,,2013-12,96
Middle East,Asia,,2013-12,70
Malaysia,Asia,Southeast Asia,2013-12,287
Singapore,Asia,Southeast Asia,2013-12,262
Germany,Europe,,2013-12,60
Philippines,Asia,Southeast Asia,2013-12,371
Indonesia,Asia,Southeast Asia,2013-12,114
United States of America,America,,2013-12,455
Canada,America,,2013-12,73
"Others, Asia",Asia,,2013-12,114
Thailand,Asia,Southeast Asia,2013-12,128
Vietnam,Asia,Southeast Asia,2013-12,99
"Others, Southeast Asia",Asia,Southeast Asia,2013-12,12
Indonesia,Asia,Southeast Asia,2014-01,41
Germany,Europe,,2014-01,45
France,Europe,,2014-01,34
Belgium,Europe,,2014-01,5
"Others, America",America,,2014-01,15
Argentina,America,,2014-01,3
Brazil,America,,2014-01,67
Mexico,America,,2014-01,1
United States of America,America,,2014-01,291
Italy,Europe,,2014-01,16
Canada,America,,2014-01,48
"Others, Asia",Asia,,2014-01,21
"Others, Southeast Asia",Asia,Southeast Asia,2014-01,9
Vietnam,Asia,Southeast Asia,2014-01,37
Thailand,Asia,Southeast Asia,2014-01,54
Philippines,Asia,Southeast Asia,2014-01,70
Middle East,Asia,,2014-01,8
Netherlands,Europe,,2014-01,10
Austria,Europe,,2014-01,2
Spain,Europe,,2014-01,9
Malaysia,Asia,Southeast Asia,2014-01,177
"Korea,Republic of",Asia,,2014-01,292
India,Asia,,2014-01,50
Unstated,,,2014-01,0
"Others, Africa",Africa,,2014-01,11
S. Africa,Africa,,2014-01,4
"Others, Oceania",Oceania,,2014-01,6
Switzerland,Europe,,2014-01,5
New Zealand,Oceania,,2014-01,12
Mainland China,Asia,,2014-01,72
HongKong. Macao,Asia,,2014-01,674
"Others, Europe",Europe,,2014-01,24
Russian Federation,Europe,,2014-01,11
Sweden,Europe,,2014-01,15
Greece,Europe,,2014-01,1
United Kingdom,Europe,,2014-01,47
Japan,Asia,,2014-01,576
Australia,Oceania,,2014-01,67
Singapore,Asia,Southeast Asia,2014-01,268
Netherlands,Europe,,2014-02,3
France,Europe,,2014-02,27
Germany,Europe,,2014-02,47
Italy,Europe,,2014-02,22
Switzerland,Europe,,2014-02,7
Spain,Europe,,2014-02,15
United Kingdom,Europe,,2014-02,63
Austria,Europe,,2014-02,5
"Others, America",America,,2014-02,13
Greece,Europe,,2014-02,1
S. Africa,Africa,,2014-02,1
"Others, Oceania",Oceania,,2014-02,3
New Zealand,Oceania,,2014-02,10
Australia,Oceania,,2014-02,76
"Others, Europe",Europe,,2014-02,24
Russian Federation,Europe,,2014-02,6
Sweden,Europe,,2014-02,9
"Others, Africa",Africa,,2014-02,3
Argentina,America,,2014-02,3
Belgium,Europe,,2014-02,3
Mexico,America,,2014-02,0
Unstated,,,2014-02,0
HongKong. Macao,Asia,,2014-02,421
Mainland China,Asia,,2014-02,68
Japan,Asia,,2014-02,604
"Korea,Republic of",Asia,,2014-02,296
India,Asia,,2014-02,61
Middle East,Asia,,2014-02,8
Brazil,America,,2014-02,3
Singapore,Asia,Southeast Asia,2014-02,275
Malaysia,Asia,Southeast Asia,2014-02,185
Philippines,Asia,Southeast Asia,2014-02,65
Thailand,Asia,Southeast Asia,2014-02,77
Vietnam,Asia,Southeast Asia,2014-02,9
"Others, Southeast Asia",Asia,Southeast Asia,2014-02,3
"Others, Asia",Asia,,2014-02,5
Canada,America,,2014-02,42
United States of America,America,,2014-02,299
Indonesia,Asia,Southeast Asia,2014-02,50
Argentina,America,,2014-03,0
Canada,America,,2014-03,69
Brazil,America,,2014-03,13
Mexico,America,,2014-03,6
United States of America,America,,2014-03,589
"Others, Asia",Asia,,2014-03,45
S. Africa,Africa,,2014-03,5
Vietnam,Asia,Southeast Asia,2014-03,72
Thailand,Asia,Southeast Asia,2014-03,201
Philippines,Asia,Southeast Asia,2014-03,224
Indonesia,Asia,Southeast Asia,2014-03,135
"Others, Africa",Africa,,2014-03,30
"Others, America",America,,2014-03,55
"Others, Southeast Asia",Asia,Southeast Asia,2014-03,13
Belgium,Europe,,2014-03,9
United Kingdom,Europe,,2014-03,103
Singapore,Asia,Southeast Asia,2014-03,361
"Others, Oceania",Oceania,,2014-03,9
New Zealand,Oceania,,2014-03,22
Australia,Oceania,,2014-03,202
"Others, Europe",Europe,,2014-03,79
