Residence,Region,Sub-Region,Period,Medical Treatment
Philippines,Asia,Southeast Asia,2012-09,43
Unstated,,,2012-09,1
Japan,Asia,,2012-09,18
S. Africa,Africa,,2012-10,0
"Others, Asia",Asia,,2012-10,13
"Others, Southeast Asia",Asia,Southeast Asia,2012-10,28
Vietnam,Asia,Southeast Asia,2012-10,6
Thailand,Asia,Southeast Asia,2012-10,12
Philippines,Asia,Southeast Asia,2012-10,42
Indonesia,Asia,Southeast Asia,2012-10,60
Singapore,Asia,Southeast Asia,2012-10,10
Canada,America,,2012-10,7
HongKong. Macao,Asia,,2012-10,9
Japan,Asia,,2012-10,11
Malaysia,Asia,Southeast Asia,2012-10,33
"Korea,Republic of",Asia,,2012-10,2
India,Asia,,2012-10,0
"Others, Oceania",Oceania,,2012-10,0
"Others, Africa",Africa,,2012-10,2
Unstated,,,2012-10,0
Mainland China,Asia,,2012-10,7347
United States of America,America,,2012-10,26
Middle East,Asia,,2012-10,3
Brazil,America,,2012-10,0
Mexico,America,,2012-10,0
Russian Federation,Europe,,2012-10,2
Greece,Europe,,2012-10,0
Austria,Europe,,2012-10,0
United Kingdom,Europe,,2012-10,2
Spain,Europe,,2012-10,1
Australia,Oceania,,2012-10,3
New Zealand,Oceania,,2012-10,0
Sweden,Europe,,2012-10,0
Netherlands,Europe,,2012-10,1
Argentina,America,,2012-10,0
Switzerland,Europe,,2012-10,0
"Others, America",America,,2012-10,0
Belgium,Europe,,2012-10,0
France,Europe,,2012-10,1
"Others, Europe",Europe,,2012-10,2
Italy,Europe,,2012-10,0
Germany,Europe,,2012-10,1
Brazil,America,,2012-11,0
Mexico,America,,2012-11,0
United States of America,America,,2012-11,25
Canada,America,,2012-11,7
"Others, Asia",Asia,,2012-11,9
"Others, Southeast Asia",Asia,Southeast Asia,2012-11,25
Vietnam,Asia,Southeast Asia,2012-11,16
Thailand,Asia,Southeast Asia,2012-11,5
HongKong. Macao,Asia,,2012-11,11
Singapore,Asia,Southeast Asia,2012-11,7
Mainland China,Asia,,2012-11,10732
Middle East,Asia,,2012-11,0
India,Asia,,2012-11,1
"Korea,Republic of",Asia,,2012-11,2
Japan,Asia,,2012-11,16
Argentina,America,,2012-11,0
Indonesia,Asia,Southeast Asia,2012-11,49
Malaysia,Asia,Southeast Asia,2012-11,28
Philippines,Asia,Southeast Asia,2012-11,26
France,Europe,,2012-11,0
Belgium,Europe,,2012-11,0
"Others, Africa",Africa,,2012-11,1
Unstated,,,2012-11,0
S. Africa,Africa,,2012-11,0
"Others, Oceania",Oceania,,2012-11,3
New Zealand,Oceania,,2012-11,0
Australia,Oceania,,2012-11,10
"Others, Europe",Europe,,2012-11,2
Russian Federation,Europe,,2012-11,0
"Others, America",America,,2012-11,3
Greece,Europe,,2012-11,0
Austria,Europe,,2012-11,1
United Kingdom,Europe,,2012-11,4
Spain,Europe,,2012-11,0
Switzerland,Europe,,2012-11,0
Sweden,Europe,,2012-11,0
Netherlands,Europe,,2012-11,2
Italy,Europe,,2012-11,0
Germany,Europe,,2012-11,0
"Others, America",America,,2012-12,0
Argentina,America,,2012-12,0
Brazil,America,,2012-12,0
Mexico,America,,2012-12,0
United States of America,America,,2012-12,30
Canada,America,,2012-12,5
Thailand,Asia,Southeast Asia,2012-12,4
"Others, Southeast Asia",Asia,Southeast Asia,2012-12,32
Vietnam,Asia,Southeast Asia,2012-12,16
Belgium,Europe,,2012-12,0
Philippines,Asia,Southeast Asia,2012-12,28
Indonesia,Asia,Southeast Asia,2012-12,35
Singapore,Asia,Southeast Asia,2012-12,6
Malaysia,Asia,Southeast Asia,2012-12,23
Middle East,Asia,,2012-12,0
"Others, Asia",Asia,,2012-12,12
France,Europe,,2012-12,2
Spain,Europe,,2012-12,0
Italy,Europe,,2012-12,1
Japan,Asia,,2012-12,9
Mainland China,Asia,,2012-12,10755
HongKong. Macao,Asia,,2012-12,27
Unstated,,,2012-12,1
"Others, Africa",Africa,,2012-12,0
S. Africa,Africa,,2012-12,0
"Others, Oceania",Oceania,,2012-12,4
Germany,Europe,,2012-12,1
New Zealand,Oceania,,2012-12,1
"Others, Europe",Europe,,2012-12,0
Sweden,Europe,,2012-12,0
Greece,Europe,,2012-12,0
Austria,Europe,,2012-12,0
United Kingdom,Europe,,2012-12,1
Switzerland,Europe,,2012-12,0
Netherlands,Europe,,2012-12,0
Australia,Oceania,,2012-12,6
Russian Federation,Europe,,2012-12,0
"Korea,Republic of",Asia,,2012-12,5
India,Asia,,2012-12,1
HongKong. Macao,Asia,,2013-01,37
Germany,Europe,,2013-01,0
Italy,Europe,,2013-01,0
Netherlands,Europe,,2013-01,0
Switzerland,Europe,,2013-01,0
Spain,Europe,,2013-01,0
United Kingdom,Europe,,2013-01,2
Austria,Europe,,2013-01,0
Sweden,Europe,,2013-01,0
Russian Federation,Europe,,2013-01,0
"Others, Europe",Europe,,2013-01,1
Australia,Oceania,,2013-01,4
New Zealand,Oceania,,2013-01,1
"Others, Oceania",Oceania,,2013-01,0
S. Africa,Africa,,2013-01,0
"Others, Africa",Africa,,2013-01,0
Unstated,,,2013-01,0
France,Europe,,2013-01,0
Belgium,Europe,,2013-01,0
Greece,Europe,,2013-01,0
Argentina,America,,2013-01,0
Mainland China,Asia,,2013-01,7752
"Others, America",America,,2013-01,0
Japan,Asia,,2013-01,15
"Korea,Republic of",Asia,,2013-01,5
India,Asia,,2013-01,0
Middle East,Asia,,2013-01,0
Singapore,Asia,Southeast Asia,2013-01,7
Indonesia,Asia,Southeast Asia,2013-01,37
Philippines,Asia,Southeast Asia,2013-01,27
Malaysia,Asia,Southeast Asia,2013-01,30
Vietnam,Asia,Southeast Asia,2013-01,11
"Others, Southeast Asia",Asia,Southeast Asia,2013-01,12
"Others, Asia",Asia,,2013-01,19
Canada,America,,2013-01,4
United States of America,America,,2013-01,24
Mexico,America,,2013-01,0
Brazil,America,,2013-01,0
Thailand,Asia,Southeast Asia,2013-01,3
Germany,Europe,,2013-02,0
Austria,Europe,,2013-02,0
Italy,Europe,,2013-02,1
Netherlands,Europe,,2013-02,0
Switzerland,Europe,,2013-02,0
Spain,Europe,,2013-02,1
United Kingdom,Europe,,2013-02,1
Greece,Europe,,2013-02,0
Unstated,,,2013-02,0
Russian Federation,Europe,,2013-02,0
"Others, Europe",Europe,,2013-02,0
Australia,Oceania,,2013-02,1
New Zealand,Oceania,,2013-02,1
"Others, Oceania",Oceania,,2013-02,3
S. Africa,Africa,,2013-02,0
"Others, Africa",Africa,,2013-02,0
France,Europe,,2013-02,2
Sweden,Europe,,2013-02,0
Belgium,Europe,,2013-02,0
"Others, America",America,,2013-02,0
HongKong. Macao,Asia,,2013-02,27
Argentina,America,,2013-02,0
Mainland China,Asia,,2013-02,5039
Japan,Asia,,2013-02,7
"Korea,Republic of",Asia,,2013-02,3
India,Asia,,2013-02,1
Malaysia,Asia,Southeast Asia,2013-02,19
Singapore,Asia,Southeast Asia,2013-02,1
Indonesia,Asia,Southeast Asia,2013-02,44
Middle East,Asia,,2013-02,1
Thailand,Asia,Southeast Asia,2013-02,5
Vietnam,Asia,Southeast Asia,2013-02,9
"Others, Southeast Asia",Asia,Southeast Asia,2013-02,19
"Others, Asia",Asia,,2013-02,4
Canada,America,,2013-02,2
United States of America,America,,2013-02,17
Mexico,America,,2013-02,0
Philippines,Asia,Southeast Asia,2013-02,22
Brazil,America,,2013-02,0
Vietnam,Asia,Southeast Asia,2013-03,16
"Others, Southeast Asia",Asia,Southeast Asia,2013-03,30
"Others, Asia",Asia,,2013-03,8
Mexico,America,,2013-03,0
United States of America,America,,2013-03,27
Mainland China,Asia,,2013-03,7858
Canada,America,,2013-03,5
Japan,Asia,,2013-03,11
"Korea,Republic of",Asia,,2013-03,4
India,Asia,,2013-03,0
Middle East,Asia,,2013-03,2
Malaysia,Asia,Southeast Asia,2013-03,68
Singapore,Asia,Southeast Asia,2013-03,10
Indonesia,Asia,Southeast Asia,2013-03,37
Philippines,Asia,Southeast Asia,2013-03,41
Thailand,Asia,Southeast Asia,2013-03,18
Brazil,America,,2013-03,0
HongKong. Macao,Asia,,2013-03,70
Argentina,America,,2013-03,0
Germany,Europe,,2013-03,2
Belgium,Europe,,2013-03,0
Unstated,,,2013-03,1
"Others, Africa",Africa,,2013-03,1
"Others, America",America,,2013-03,1
"Others, Oceania",Oceania,,2013-03,4
New Zealand,Oceania,,2013-03,0
Australia,Oceania,,2013-03,11
"Others, Europe",Europe,,2013-03,3
Russian Federation,Europe,,2013-03,0
Sweden,Europe,,2013-03,0
S. Africa,Africa,,2013-03,0
Austria,Europe,,2013-03,0
United Kingdom,Europe,,2013-03,3
Spain,Europe,,2013-03,0
Switzerland,Europe,,2013-03,0
Netherlands,Europe,,2013-03,0
Italy,Europe,,2013-03,1
France,Europe,,2013-03,0
Greece,Europe,,2013-03,0
Vietnam,Asia,Southeast Asia,2013-04,8
Thailand,Asia,Southeast Asia,2013-04,2
Philippines,Asia,Southeast Asia,2013-04,44
Indonesia,Asia,Southeast Asia,2013-04,65
Singapore,Asia,Southeast Asia,2013-04,10
"Korea,Republic of",Asia,,2013-04,4
Middle East,Asia,,2013-04,83
India,Asia,,2013-04,7
Japan,Asia,,2013-04,14
"Others, Southeast Asia",Asia,Southeast Asia,2013-04,128
Mainland China,Asia,,2013-04,12669
HongKong. Macao,Asia,,2013-04,158
Malaysia,Asia,Southeast Asia,2013-04,39
"Others, Asia",Asia,,2013-04,10
Belgium,Europe,,2013-04,0
United States of America,America,,2013-04,40
Unstated,,,2013-04,18
S. Africa,Africa,,2013-04,0
"Others, Oceania",Oceania,,2013-04,2
New Zealand,Oceania,,2013-04,1
Australia,Oceania,,2013-04,3
"Others, Europe",Europe,,2013-04,3
Russian Federation,Europe,,2013-04,0
Sweden,Europe,,2013-04,0
Greece,Europe,,2013-04,0
Austria,Europe,,2013-04,0
United Kingdom,Europe,,2013-04,1
Spain,Europe,,2013-04,0
Switzerland,Europe,,2013-04,0
Netherlands,Europe,,2013-04,0
Italy,Europe,,2013-04,5
Germany,Europe,,2013-04,2
France,Europe,,2013-04,1
"Others, America",America,,2013-04,0
Argentina,America,,2013-04,0
Brazil,America,,2013-04,0
Mexico,America,,2013-04,0
Canada,America,,2013-04,7
"Others, Africa",Africa,,2013-04,1
Japan,Asia,,2013-05,10
"Others, Oceania",Oceania,,2013-05,8
Mexico,America,,2013-05,0
United States of America,America,,2013-05,33
Canada,America,,2013-05,6
"Others, Asia",Asia,,2013-05,11
"Others, Southeast Asia",Asia,Southeast Asia,2013-05,22
Vietnam,Asia,Southeast Asia,2013-05,13
Brazil,America,,2013-05,0
Thailand,Asia,Southeast Asia,2013-05,9
Indonesia,Asia,Southeast Asia,2013-05,52
Singapore,Asia,Southeast Asia,2013-05,16
Malaysia,Asia,Southeast Asia,2013-05,52
Middle East,Asia,,2013-05,8
India,Asia,,2013-05,3
"Korea,Republic of",Asia,,2013-05,1
Philippines,Asia,Southeast Asia,2013-05,28
Argentina,America,,2013-05,0
"Others, America",America,,2013-05,0
Mainland China,Asia,,2013-05,9595
New Zealand,Oceania,,2013-05,0
Australia,Oceania,,2013-05,5
"Others, Europe",Europe,,2013-05,0
Russian Federation,Europe,,2013-05,0
HongKong. Macao,Asia,,2013-05,84
Sweden,Europe,,2013-05,0
Greece,Europe,,2013-05,0
Austria,Europe,,2013-05,0
United Kingdom,Europe,,2013-05,0
Spain,Europe,,2013-05,0
Switzerland,Europe,,2013-05,0
Netherlands,Europe,,2013-05,0
Italy,Europe,,2013-05,2
Germany,Europe,,2013-05,0
France,Europe,,2013-05,1
S. Africa,Africa,,2013-05,0
Belgium,Europe,,2013-05,0
Unstated,,,2013-05,3
"Others, Africa",Africa,,2013-05,1
Mainland China,Asia,,2013-06,9935
Italy,Europe,,2013-06,0
Netherlands,Europe,,2013-06,0
Switzerland,Europe,,2013-06,1
Spain,Europe,,2013-06,0
United Kingdom,Europe,,2013-06,4
Austria,Europe,,2013-06,0
Greece,Europe,,2013-06,0
Sweden,Europe,,2013-06,0
Russian Federation,Europe,,2013-06,0
"Others, Europe",Europe,,2013-06,2
Australia,Oceania,,2013-06,8
"Others, Oceania",Oceania,,2013-06,21
S. Africa,Africa,,2013-06,0
"Others, Africa",Africa,,2013-06,0
Unstated,,,2013-06,1
HongKong. Macao,Asia,,2013-06,51
Germany,Europe,,2013-06,1
France,Europe,,2013-06,0
New Zealand,Oceania,,2013-06,1
"Others, America",America,,2013-06,0
"Korea,Republic of",Asia,,2013-06,2
India,Asia,,2013-06,0
Middle East,Asia,,2013-06,1
Malaysia,Asia,Southeast Asia,2013-06,37
Singapore,Asia,Southeast Asia,2013-06,5
Belgium,Europe,,2013-06,0
Indonesia,Asia,Southeast Asia,2013-06,58
Philippines,Asia,Southeast Asia,2013-06,32
Japan,Asia,,2013-06,10
Vietnam,Asia,Southeast Asia,2013-06,29
"Others, Southeast Asia",Asia,Southeast Asia,2013-06,23
"Others, Asia",Asia,,2013-06,15
Canada,America,,2013-06,5
United States of America,America,,2013-06,29
Mexico,America,,2013-06,0
Brazil,America,,2013-06,0
Argentina,America,,2013-06,0
Thailand,Asia,Southeast Asia,2013-06,11
Austria,Europe,,2013-07,0
United Kingdom,Europe,,2013-07,3
Italy,Europe,,2013-07,0
Switzerland,Europe,,2013-07,0
Netherlands,Europe,,2013-07,1
Greece,Europe,,2013-07,0
Spain,Europe,,2013-07,3
Sweden,Europe,,2013-07,0
New Zealand,Oceania,,2013-07,0
"Others, Europe",Europe,,2013-07,3
Australia,Oceania,,2013-07,0
"Others, Oceania",Oceania,,2013-07,4
S. Africa,Africa,,2013-07,0
"Others, Africa",Africa,,2013-07,2
Unstated,,,2013-07,0
Germany,Europe,,2013-07,1
Russian Federation,Europe,,2013-07,0
Belgium,Europe,,2013-07,0
France,Europe,,2013-07,3
Mainland China,Asia,,2013-07,7008
HongKong. Macao,Asia,,2013-07,50
"Others, America",America,,2013-07,1
Japan,Asia,,2013-07,11
"Korea,Republic of",Asia,,2013-07,6
India,Asia,,2013-07,3
Middle East,Asia,,2013-07,2
Singapore,Asia,Southeast Asia,2013-07,8
Indonesia,Asia,Southeast Asia,2013-07,63
Philippines,Asia,Southeast Asia,2013-07,28
Malaysia,Asia,Southeast Asia,2013-07,40
Vietnam,Asia,Southeast Asia,2013-07,17
Argentina,America,,2013-07,0
Thailand,Asia,Southeast Asia,2013-07,13
Mexico,America,,2013-07,1
United States of America,America,,2013-07,24
Brazil,America,,2013-07,0
"Others, Asia",Asia,,2013-07,6
"Others, Southeast Asia",Asia,Southeast Asia,2013-07,48
Canada,America,,2013-07,1
Mexico,America,,2013-08,0
Thailand,Asia,Southeast Asia,2013-08,12
United States of America,America,,2013-08,19
Canada,America,,2013-08,10
"Others, Asia",Asia,,2013-08,12
"Others, Southeast Asia",Asia,Southeast Asia,2013-08,36
Vietnam,Asia,Southeast Asia,2013-08,19
Philippines,Asia,Southeast Asia,2013-08,39
Brazil,America,,2013-08,0
Singapore,Asia,Southeast Asia,2013-08,4
Malaysia,Asia,Southeast Asia,2013-08,64
Middle East,Asia,,2013-08,0
India,Asia,,2013-08,0
"Korea,Republic of",Asia,,2013-08,7
Japan,Asia,,2013-08,6
Mainland China,Asia,,2013-08,8059
HongKong. Macao,Asia,,2013-08,42
Indonesia,Asia,Southeast Asia,2013-08,28
Argentina,America,,2013-08,0
United Kingdom,Europe,,2013-08,3
Belgium,Europe,,2013-08,0
"Others, America",America,,2013-08,0
Unstated,,,2013-08,0
"Others, Africa",Africa,,2013-08,4
S. Africa,Africa,,2013-08,0
"Others, Oceania",Oceania,,2013-08,30
New Zealand,Oceania,,2013-08,1
"Others, Europe",Europe,,2013-08,0
Russian Federation,Europe,,2013-08,0
Australia,Oceania,,2013-08,3
Greece,Europe,,2013-08,0
Austria,Europe,,2013-08,0
Spain,Europe,,2013-08,0
Switzerland,Europe,,2013-08,0
Netherlands,Europe,,2013-08,0
Italy,Europe,,2013-08,0
Germany,Europe,,2013-08,2
France,Europe,,2013-08,0
Sweden,Europe,,2013-08,0
Thailand,Asia,Southeast Asia,2013-09,9
United States of America,America,,2013-09,16
Canada,America,,2013-09,5
"Others, Asia",Asia,,2013-09,12
"Others, Southeast Asia",Asia,Southeast Asia,2013-09,10
Vietnam,Asia,Southeast Asia,2013-09,14
Philippines,Asia,Southeast Asia,2013-09,33
HongKong. Macao,Asia,,2013-09,61
Singapore,Asia,Southeast Asia,2013-09,12
Malaysia,Asia,Southeast Asia,2013-09,40
Middle East,Asia,,2013-09,2
India,Asia,,2013-09,4
"Korea,Republic of",Asia,,2013-09,3
Japan,Asia,,2013-09,9
Mainland China,Asia,,2013-09,11656
Mexico,America,,2013-09,0
Indonesia,Asia,Southeast Asia,2013-09,50
Brazil,America,,2013-09,0
Switzerland,Europe,,2013-09,0
"Others, America",America,,2013-09,3
"Others, Africa",Africa,,2013-09,0
S. Africa,Africa,,2013-09,0
"Others, Oceania",Oceania,,2013-09,28
New Zealand,Oceania,,2013-09,0
Australia,Oceania,,2013-09,8
"Others, Europe",Europe,,2013-09,1
Russian Federation,Europe,,2013-09,0
Argentina,America,,2013-09,0
Sweden,Europe,,2013-09,1
Austria,Europe,,2013-09,1
United Kingdom,Europe,,2013-09,5
Spain,Europe,,2013-09,0
Netherlands,Europe,,2013-09,0
Italy,Europe,,2013-09,0
Germany,Europe,,2013-09,1
France,Europe,,2013-09,1
Belgium,Europe,,2013-09,0
Greece,Europe,,2013-09,0
Unstated,,,2013-09,0
Sweden,Europe,,2013-10,0
Russian Federation,Europe,,2013-10,0
United Kingdom,Europe,,2013-10,0
Middle East,Asia,,2013-10,0
India,Asia,,2013-10,1
"Korea,Republic of",Asia,,2013-10,1
Japan,Asia,,2013-10,5
Mainland China,Asia,,2013-10,4847
Austria,Europe,,2013-10,0
Unstated,,,2013-10,0
"Others, Africa",Africa,,2013-10,1
S. Africa,Africa,,2013-10,0
"Others, Oceania",Oceania,,2013-10,24
New Zealand,Oceania,,2013-10,0
Australia,Oceania,,2013-10,4
"Others, Europe",Europe,,2013-10,1
HongKong. Macao,Asia,,2013-10,54
Spain,Europe,,2013-10,0
Malaysia,Asia,Southeast Asia,2013-10,50
Singapore,Asia,Southeast Asia,2013-10,2
Greece,Europe,,2013-10,0
Philippines,Asia,Southeast Asia,2013-10,40
Indonesia,Asia,Southeast Asia,2013-10,36
Switzerland,Europe,,2013-10,0
Netherlands,Europe,,2013-10,0
Italy,Europe,,2013-10,0
Germany,Europe,,2013-10,0
France,Europe,,2013-10,0
"Others, America",America,,2013-10,0
Argentina,America,,2013-10,0
Belgium,Europe,,2013-10,1
Mexico,America,,2013-10,0
United States of America,America,,2013-10,35
Canada,America,,2013-10,6
"Others, Asia",Asia,,2013-10,9
"Others, Southeast Asia",Asia,Southeast Asia,2013-10,92
Vietnam,Asia,Southeast Asia,2013-10,18
Thailand,Asia,Southeast Asia,2013-10,6
Brazil,America,,2013-10,0
Brazil,America,,2013-11,0
Vietnam,Asia,Southeast Asia,2013-11,14
Mexico,America,,2013-11,0
United States of America,America,,2013-11,26
Canada,America,,2013-11,10
"Others, Asia",Asia,,2013-11,11
"Others, Southeast Asia",Asia,Southeast Asia,2013-11,13
Thailand,Asia,Southeast Asia,2013-11,13
Mainland China,Asia,,2013-11,5737
Indonesia,Asia,Southeast Asia,2013-11,60
Singapore,Asia,Southeast Asia,2013-11,8
Malaysia,Asia,Southeast Asia,2013-11,49
Middle East,Asia,,2013-11,0
India,Asia,,2013-11,1
"Korea,Republic of",Asia,,2013-11,2
Japan,Asia,,2013-11,11
Argentina,America,,2013-11,0
Philippines,Asia,Southeast Asia,2013-11,29
"Others, America",America,,2013-11,0
HongKong. Macao,Asia,,2013-11,63
France,Europe,,2013-11,1
Belgium,Europe,,2013-11,0
Unstated,,,2013-11,0
"Others, Africa",Africa,,2013-11,0
S. Africa,Africa,,2013-11,0
"Others, Oceania",Oceania,,2013-11,31
Australia,Oceania,,2013-11,6
"Others, Europe",Europe,,2013-11,2
Russian Federation,Europe,,2013-11,0
New Zealand,Oceania,,2013-11,2
Greece,Europe,,2013-11,0
Austria,Europe,,2013-11,0
United Kingdom,Europe,,2013-11,1
Spain,Europe,,2013-11,1
Switzerland,Europe,,2013-11,0
Netherlands,Europe,,2013-11,0
Italy,Europe,,2013-11,1
Sweden,Europe,,2013-11,1
Germany,Europe,,2013-11,3
United Kingdom,Europe,,2013-12,1
Switzerland,Europe,,2013-12,1
Belgium,Europe,,2013-12,0
Italy,Europe,,2013-12,2
France,Europe,,2013-12,1
Austria,Europe,,2013-12,0
Netherlands,Europe,,2013-12,0
Greece,Europe,,2013-12,0
Unstated,,,2013-12,0
Russian Federation,Europe,,2013-12,0
"Others, Europe",Europe,,2013-12,0
Australia,Oceania,,2013-12,8
New Zealand,Oceania,,2013-12,0
"Others, Oceania",Oceania,,2013-12,23
S. Africa,Africa,,2013-12,1
"Others, Africa",Africa,,2013-12,0
"Others, America",America,,2013-12,0
Sweden,Europe,,2013-12,1
Argentina,America,,2013-12,1
Spain,Europe,,2013-12,0
Mexico,America,,2013-12,0
Brazil,America,,2013-12,0
HongKong. Macao,Asia,,2013-12,86
Mainland China,Asia,,2013-12,5623
Japan,Asia,,2013-12,15
"Korea,Republic of",Asia,,2013-12,6
India,Asia,,2013-12,0
Middle East,Asia,,2013-12,0
Malaysia,Asia,Southeast Asia,2013-12,26
Singapore,Asia,Southeast Asia,2013-12,5
Germany,Europe,,2013-12,0
Philippines,Asia,Southeast Asia,2013-12,40
Indonesia,Asia,Southeast Asia,2013-12,46
United States of America,America,,2013-12,33
Canada,America,,2013-12,5
"Others, Asia",Asia,,2013-12,11
Thailand,Asia,Southeast Asia,2013-12,9
Vietnam,Asia,Southeast Asia,2013-12,9
"Others, Southeast Asia",Asia,Southeast Asia,2013-12,43
Indonesia,Asia,Southeast Asia,2014-01,46
Germany,Europe,,2014-01,1
France,Europe,,2014-01,1
Belgium,Europe,,2014-01,0
"Others, America",America,,2014-01,0
Argentina,America,,2014-01,0
Brazil,America,,2014-01,0
Mexico,America,,2014-01,0
United States of America,America,,2014-01,31
Italy,Europe,,2014-01,1
Canada,America,,2014-01,8
"Others, Asia",Asia,,2014-01,15
"Others, Southeast Asia",Asia,Southeast Asia,2014-01,25
Vietnam,Asia,Southeast Asia,2014-01,13
Thailand,Asia,Southeast Asia,2014-01,11
Philippines,Asia,Southeast Asia,2014-01,31
Middle East,Asia,,2014-01,0
Netherlands,Europe,,2014-01,0
Austria,Europe,,2014-01,0
Spain,Europe,,2014-01,0
Malaysia,Asia,Southeast Asia,2014-01,27
"Korea,Republic of",Asia,,2014-01,6
India,Asia,,2014-01,0
Unstated,,,2014-01,0
"Others, Africa",Africa,,2014-01,0
S. Africa,Africa,,2014-01,0
"Others, Oceania",Oceania,,2014-01,18
Switzerland,Europe,,2014-01,0
New Zealand,Oceania,,2014-01,0
Mainland China,Asia,,2014-01,2612
HongKong. Macao,Asia,,2014-01,59
"Others, Europe",Europe,,2014-01,0
Russian Federation,Europe,,2014-01,0
Sweden,Europe,,2014-01,1
Greece,Europe,,2014-01,0
United Kingdom,Europe,,2014-01,1
Japan,Asia,,2014-01,15
Australia,Oceania,,2014-01,5
Singapore,Asia,Southeast Asia,2014-01,3
Netherlands,Europe,,2014-02,0
France,Europe,,2014-02,1
Germany,Europe,,2014-02,0
Italy,Europe,,2014-02,0
Switzerland,Europe,,2014-02,0
Spain,Europe,,2014-02,2
United Kingdom,Europe,,2014-02,1
Austria,Europe,,2014-02,0
"Others, America",America,,2014-02,0
Greece,Europe,,2014-02,0
S. Africa,Africa,,2014-02,0
"Others, Oceania",Oceania,,2014-02,37
New Zealand,Oceania,,2014-02,3
Australia,Oceania,,2014-02,7
"Others, Europe",Europe,,2014-02,2
Russian Federation,Europe,,2014-02,0
Sweden,Europe,,2014-02,0
"Others, Africa",Africa,,2014-02,0
Argentina,America,,2014-02,0
Belgium,Europe,,2014-02,0
Mexico,America,,2014-02,0
Unstated,,,2014-02,0
HongKong. Macao,Asia,,2014-02,65
Mainland China,Asia,,2014-02,3446
Japan,Asia,,2014-02,17
"Korea,Republic of",Asia,,2014-02,4
India,Asia,,2014-02,7
Middle East,Asia,,2014-02,1
Brazil,America,,2014-02,0
Singapore,Asia,Southeast Asia,2014-02,5
Malaysia,Asia,Southeast Asia,2014-02,29
Philippines,Asia,Southeast Asia,2014-02,37
Thailand,Asia,Southeast Asia,2014-02,6
Vietnam,Asia,Southeast Asia,2014-02,15
"Others, Southeast Asia",Asia,Southeast Asia,2014-02,32
"Others, Asia",Asia,,2014-02,27
Canada,America,,2014-02,1
United States of America,America,,2014-02,29
Indonesia,Asia,Southeast Asia,2014-02,36
Argentina,America,,2014-03,0
Canada,America,,2014-03,8
Brazil,America,,2014-03,0
Mexico,America,,2014-03,0
United States of America,America,,2014-03,40
"Others, Asia",Asia,,2014-03,15
S. Africa,Africa,,2014-03,1
Vietnam,Asia,Southeast Asia,2014-03,30
Thailand,Asia,Southeast Asia,2014-03,10
Philippines,Asia,Southeast Asia,2014-03,54
Indonesia,Asia,Southeast Asia,2014-03,65
"Others, Africa",Africa,,2014-03,1
"Others, America",America,,2014-03,0
"Others, Southeast Asia",Asia,Southeast Asia,2014-03,29
Belgium,Europe,,2014-03,1
United Kingdom,Europe,,2014-03,3
Singapore,Asia,Southeast Asia,2014-03,6
"Others, Oceania",Oceania,,2014-03,28
New Zealand,Oceania,,2014-03,0
Australia,Oceania,,2014-03,6
"Others, Europe",Europe,,2014-03,1
Russian Federation,Europe,,2014-03,1
Sweden,Europe,,2014-03,0
Greece,Europe,,2014-03,0
Austria,Europe,,2014-03,0
Spain,Europe,,2014-03,0
France,Europe,,2014-03,0
Switzerland,Europe,,2014-03,0
Italy,Europe,,2014-03,1
Germany,Europe,,2014-03,2
HongKong. Macao,Asia,,2014-03,91
Mainland China,Asia,,2014-03,7259
Japan,Asia,,2014-03,12
"Korea,Republic of",Asia,,2014-03,9
India,Asia,,2014-03,0
Middle East,Asia,,2014-03,1
Malaysia,Asia,Southeast Asia,2014-03,46
Netherlands,Europe,,2014-03,2
Unstated,,,2014-03,0
Unstated,,,2014-04,0
"Others, Africa",Africa,,2014-04,1
Australia,Oceania,,2014-04,12
"Others, America",America,,2014-04,2
Belgium,Europe,,2014-04,0
France,Europe,,2014-04,2
Germany,Europe,,2014-04,2
Italy,Europe,,2014-04,0
Netherlands,Europe,,2014-04,0
Argentina,America,,2014-04,0
Switzerland,Europe,,2014-04,0
United Kingdom,Europe,,2014-04,8
Austria,Europe,,2014-04,0
Greece,Europe,,2014-04,0
Sweden,Europe,,2014-04,0
Russian Federation,Europe,,2014-04,3
"Others, Europe",Europe,,2014-04,0
Spain,Europe,,2014-04,0
New Zealand,Oceania,,2014-04,3
Brazil,America,,2014-04,1
United States of America,America,,2014-04,29
Mainland China,Asia,,2014-04,9801
HongKong. Macao,Asia,,2014-04,81
"Korea,Republic of",Asia,,2014-04,13
India,Asia,,2014-04,4
Middle East,Asia,,2014-04,3
Malaysia,Asia,Southeast Asia,2014-04,52
Mexico,America,,2014-04,0
Singapore,Asia,Southeast Asia,2014-04,7
Philippines,Asia,Southeast Asia,2014-04,44
Thailand,Asia,Southeast Asia,2014-04,11
Vietnam,Asia,Southeast Asia,2014-04,16
"Others, Southeast Asia",Asia,Southeast Asia,2014-04,197
"Others, Asia",Asia,,2014-04,21
Canada,America,,2014-04,6
Indonesia,Asia,Southeast Asia,2014-04,65
"Others, Oceania",Oceania,,2014-04,27
Japan,Asia,,2014-04,16
S. Africa,Africa,,2014-04,0
Japan,Asia,,2014-05,9
France,Europe,,2014-05,0
Germany,Europe,,2014-05,1
Italy,Europe,,2014-05,0
