Residence,Region,Sub-Region,Period,Medical Treatment
Japan,Asia,,2015-08,7
Mainland China,Asia,,2015-08,6283
HongKong. Macao,Asia,,2015-08,149
Sweden,Europe,,2015-08,0
Russian Federation,Europe,,2015-08,1
Unstated,,,2015-08,1
S. Africa,Africa,,2015-08,1
"Others, Oceania",Oceania,,2015-08,22
Thailand,Asia,Southeast Asia,2015-08,8
Vietnam,Asia,Southeast Asia,2015-08,6
"Others, Southeast Asia",Asia,Southeast Asia,2015-08,90
"Others, Asia",Asia,,2015-08,21
United Kingdom,Europe,,2015-08,1
Austria,Europe,,2015-08,0
Greece,Europe,,2015-08,0
Spain,Europe,,2015-08,0
Switzerland,Europe,,2015-08,0
Netherlands,Europe,,2015-08,0
Italy,Europe,,2015-08,0
New Zealand,Oceania,,2015-08,0
Germany,Europe,,2015-08,2
Belgium,Europe,,2015-08,0
"Others, America",America,,2015-08,0
Argentina,America,,2015-08,0
Brazil,America,,2015-08,0
Mexico,America,,2015-08,1
United States of America,America,,2015-08,23
Canada,America,,2015-08,5
France,Europe,,2015-08,0
HongKong. Macao,Asia,,2015-09,144
Unstated,,,2015-09,0
Japan,Asia,,2015-09,7
Germany,Europe,,2015-09,1
Italy,Europe,,2015-09,0
Mainland China,Asia,,2015-09,5617
Switzerland,Europe,,2015-09,0
Spain,Europe,,2015-09,0
United Kingdom,Europe,,2015-09,4
Austria,Europe,,2015-09,0
France,Europe,,2015-09,0
Greece,Europe,,2015-09,0
Russian Federation,Europe,,2015-09,3
"Others, Europe",Europe,,2015-09,6
Australia,Oceania,,2015-09,3
New Zealand,Oceania,,2015-09,0
"Others, Oceania",Oceania,,2015-09,54
S. Africa,Africa,,2015-09,0
"Others, Africa",Africa,,2015-09,3
Sweden,Europe,,2015-09,1
Belgium,Europe,,2015-09,0
Netherlands,Europe,,2015-09,0
Argentina,America,,2015-09,0
"Korea,Republic of",Asia,,2015-09,5
India,Asia,,2015-09,6
Middle East,Asia,,2015-09,2
"Others, America",America,,2015-09,2
Malaysia,Asia,Southeast Asia,2015-09,74
Singapore,Asia,Southeast Asia,2015-09,8
Philippines,Asia,Southeast Asia,2015-09,27
Indonesia,Asia,Southeast Asia,2015-09,31
Vietnam,Asia,Southeast Asia,2015-09,8
"Others, Southeast Asia",Asia,Southeast Asia,2015-09,99
"Others, Asia",Asia,,2015-09,8
Canada,America,,2015-09,0
United States of America,America,,2015-09,31
Mexico,America,,2015-09,0
Brazil,America,,2015-09,0
Thailand,Asia,Southeast Asia,2015-09,2
Malaysia,Asia,Southeast Asia,2015-10,59
Indonesia,Asia,Southeast Asia,2015-10,44
Singapore,Asia,Southeast Asia,2015-10,13
Middle East,Asia,,2015-10,1
HongKong. Macao,Asia,,2015-10,151
"Korea,Republic of",Asia,,2015-10,8
Philippines,Asia,Southeast Asia,2015-10,30
Japan,Asia,,2015-10,5
India,Asia,,2015-10,3
Thailand,Asia,Southeast Asia,2015-10,7
Mainland China,Asia,,2015-10,5059
"Others, Southeast Asia",Asia,Southeast Asia,2015-10,340
Netherlands,Europe,,2015-10,0
Switzerland,Europe,,2015-10,0
United Kingdom,Europe,,2015-10,2
Austria,Europe,,2015-10,1
Greece,Europe,,2015-10,0
Sweden,Europe,,2015-10,0
Russian Federation,Europe,,2015-10,2
"Others, Europe",Europe,,2015-10,0
Australia,Oceania,,2015-10,8
New Zealand,Oceania,,2015-10,0
"Others, Oceania",Oceania,,2015-10,67
S. Africa,Africa,,2015-10,0
"Others, Africa",Africa,,2015-10,1
Unstated,,,2015-10,0
Vietnam,Asia,Southeast Asia,2015-10,10
Italy,Europe,,2015-10,0
Germany,Europe,,2015-10,0
Spain,Europe,,2015-10,0
Brazil,America,,2015-10,0
Mexico,America,,2015-10,0
Argentina,America,,2015-10,0
"Others, America",America,,2015-10,0
Belgium,Europe,,2015-10,0
France,Europe,,2015-10,0
United States of America,America,,2015-10,28
"Others, Asia",Asia,,2015-10,13
Canada,America,,2015-10,1
Malaysia,Asia,Southeast Asia,2015-11,70
S. Africa,Africa,,2015-11,0
"Others, Southeast Asia",Asia,Southeast Asia,2015-11,134
"Others, Oceania",Oceania,,2015-11,41
HongKong. Macao,Asia,,2015-11,202
