Residence,Region,Sub-Region,Period,Visit Relatives
"Others, Southeast Asia",Asia,Southeast Asia,2012-08,110
Vietnam,Asia,Southeast Asia,2012-08,2377
Thailand,Asia,Southeast Asia,2012-08,772
Philippines,Asia,Southeast Asia,2012-08,577
Indonesia,Asia,Southeast Asia,2012-08,1284
Singapore,Asia,Southeast Asia,2012-08,1010
Malaysia,Asia,Southeast Asia,2012-08,1660
Middle East,Asia,,2012-08,93
India,Asia,,2012-08,219
Mainland China,Asia,,2012-08,4735
Unstated,,,2012-08,4
Belgium,Europe,,2012-08,47
Germany,Europe,,2012-08,447
"Korea,Republic of",Asia,,2012-08,1511
S. Africa,Africa,,2012-08,124
"Others, Oceania",Oceania,,2012-08,7
New Zealand,Oceania,,2012-08,173
Australia,Oceania,,2012-08,670
"Others, Europe",Europe,,2012-08,184
Russian Federation,Europe,,2012-08,47
Sweden,Europe,,2012-08,66
Greece,Europe,,2012-08,8
Austria,Europe,,2012-08,87
United Kingdom,Europe,,2012-08,477
Spain,Europe,,2012-08,104
Switzerland,Europe,,2012-08,51
Netherlands,Europe,,2012-08,160
Italy,Europe,,2012-08,109
France,Europe,,2012-08,629
HongKong. Macao,Asia,,2012-08,2781
"Others, America",America,,2012-08,88
Japan,Asia,,2012-08,5852
France,Europe,,2012-09,301
Germany,Europe,,2012-09,302
Italy,Europe,,2012-09,76
Netherlands,Europe,,2012-09,99
Switzerland,Europe,,2012-09,67
Spain,Europe,,2012-09,57
United Kingdom,Europe,,2012-09,342
Belgium,Europe,,2012-09,34
Austria,Europe,,2012-09,54
Sweden,Europe,,2012-09,34
Russian Federation,Europe,,2012-09,43
"Others, Europe",Europe,,2012-09,170
Australia,Oceania,,2012-09,1050
New Zealand,Oceania,,2012-09,196
"Others, Oceania",Oceania,,2012-09,9
S. Africa,Africa,,2012-09,68
Greece,Europe,,2012-09,5
"Others, Africa",Africa,,2012-09,37
"Others, America",America,,2012-09,78
Brazil,America,,2012-09,35
HongKong. Macao,Asia,,2012-09,3130
Mainland China,Asia,,2012-09,4723
"Korea,Republic of",Asia,,2012-09,977
India,Asia,,2012-09,156
Middle East,Asia,,2012-09,52
Malaysia,Asia,Southeast Asia,2012-09,1278
Singapore,Asia,Southeast Asia,2012-09,1003
Argentina,America,,2012-09,7
Indonesia,Asia,Southeast Asia,2012-09,823
Thailand,Asia,Southeast Asia,2012-09,533
Vietnam,Asia,Southeast Asia,2012-09,1917
"Others, Southeast Asia",Asia,Southeast Asia,2012-09,99
"Others, Asia",Asia,,2012-09,105
Canada,America,,2012-09,1042
United States of America,America,,2012-09,8494
Mexico,America,,2012-09,18
Philippines,Asia,Southeast Asia,2012-09,484
Unstated,,,2012-09,4
Japan,Asia,,2012-09,3014
S. Africa,Africa,,2012-10,68
"Others, Asia",Asia,,2012-10,151
"Others, Southeast Asia",Asia,Southeast Asia,2012-10,198
Vietnam,Asia,Southeast Asia,2012-10,1773
Thailand,Asia,Southeast Asia,2012-10,719
Philippines,Asia,Southeast Asia,2012-10,548
Indonesia,Asia,Southeast Asia,2012-10,827
Singapore,Asia,Southeast Asia,2012-10,1121
Canada,America,,2012-10,1267
HongKong. Macao,Asia,,2012-10,1154
Japan,Asia,,2012-10,2476
Malaysia,Asia,Southeast Asia,2012-10,1460
"Korea,Republic of",Asia,,2012-10,929
India,Asia,,2012-10,165
"Others, Oceania",Oceania,,2012-10,7
"Others, Africa",Africa,,2012-10,32
Unstated,,,2012-10,6
Mainland China,Asia,,2012-10,4516
United States of America,America,,2012-10,9803
Middle East,Asia,,2012-10,63
Brazil,America,,2012-10,45
Mexico,America,,2012-10,25
Russian Federation,Europe,,2012-10,36
Greece,Europe,,2012-10,4
Austria,Europe,,2012-10,61
United Kingdom,Europe,,2012-10,404
Spain,Europe,,2012-10,50
Australia,Oceania,,2012-10,916
New Zealand,Oceania,,2012-10,226
Sweden,Europe,,2012-10,83
Netherlands,Europe,,2012-10,150
Argentina,America,,2012-10,15
Switzerland,Europe,,2012-10,84
"Others, America",America,,2012-10,95
Belgium,Europe,,2012-10,50
France,Europe,,2012-10,395
"Others, Europe",Europe,,2012-10,181
Italy,Europe,,2012-10,69
Germany,Europe,,2012-10,366
Brazil,America,,2012-11,27
Mexico,America,,2012-11,14
United States of America,America,,2012-11,12342
Canada,America,,2012-11,1412
"Others, Asia",Asia,,2012-11,211
"Others, Southeast Asia",Asia,Southeast Asia,2012-11,132
Vietnam,Asia,Southeast Asia,2012-11,1579
Thailand,Asia,Southeast Asia,2012-11,651
HongKong. Macao,Asia,,2012-11,1051
Singapore,Asia,Southeast Asia,2012-11,1629
Mainland China,Asia,,2012-11,4321
Middle East,Asia,,2012-11,58
India,Asia,,2012-11,194
"Korea,Republic of",Asia,,2012-11,971
Japan,Asia,,2012-11,2599
Argentina,America,,2012-11,10
Indonesia,Asia,Southeast Asia,2012-11,755
Malaysia,Asia,Southeast Asia,2012-11,2063
Philippines,Asia,Southeast Asia,2012-11,457
France,Europe,,2012-11,371
Belgium,Europe,,2012-11,41
"Others, Africa",Africa,,2012-11,36
Unstated,,,2012-11,4
S. Africa,Africa,,2012-11,65
"Others, Oceania",Oceania,,2012-11,3
New Zealand,Oceania,,2012-11,245
Australia,Oceania,,2012-11,977
"Others, Europe",Europe,,2012-11,185
Russian Federation,Europe,,2012-11,38
"Others, America",America,,2012-11,112
Greece,Europe,,2012-11,7
Austria,Europe,,2012-11,62
United Kingdom,Europe,,2012-11,396
Spain,Europe,,2012-11,51
Switzerland,Europe,,2012-11,55
Sweden,Europe,,2012-11,54
Netherlands,Europe,,2012-11,106
Italy,Europe,,2012-11,78
Germany,Europe,,2012-11,276
"Others, America",America,,2012-12,95
Argentina,America,,2012-12,33
Brazil,America,,2012-12,73
Mexico,America,,2012-12,25
United States of America,America,,2012-12,16646
Canada,America,,2012-12,1870
Thailand,Asia,Southeast Asia,2012-12,897
"Others, Southeast Asia",Asia,Southeast Asia,2012-12,132
Vietnam,Asia,Southeast Asia,2012-12,1553
Belgium,Europe,,2012-12,47
Philippines,Asia,Southeast Asia,2012-12,795
Indonesia,Asia,Southeast Asia,2012-12,993
Singapore,Asia,Southeast Asia,2012-12,1906
Malaysia,Asia,Southeast Asia,2012-12,1948
Middle East,Asia,,2012-12,75
"Others, Asia",Asia,,2012-12,324
France,Europe,,2012-12,505
Spain,Europe,,2012-12,62
Italy,Europe,,2012-12,127
Japan,Asia,,2012-12,3946
Mainland China,Asia,,2012-12,4723
HongKong. Macao,Asia,,2012-12,2630
Unstated,,,2012-12,10
"Others, Africa",Africa,,2012-12,41
S. Africa,Africa,,2012-12,176
"Others, Oceania",Oceania,,2012-12,12
Germany,Europe,,2012-12,422
New Zealand,Oceania,,2012-12,492
"Others, Europe",Europe,,2012-12,205
Sweden,Europe,,2012-12,107
Greece,Europe,,2012-12,5
Austria,Europe,,2012-12,84
United Kingdom,Europe,,2012-12,606
Switzerland,Europe,,2012-12,118
Netherlands,Europe,,2012-12,137
Australia,Oceania,,2012-12,1708
Russian Federation,Europe,,2012-12,37
"Korea,Republic of",Asia,,2012-12,1234
India,Asia,,2012-12,191
HongKong. Macao,Asia,,2013-01,2075
Germany,Europe,,2013-01,310
Italy,Europe,,2013-01,67
Netherlands,Europe,,2013-01,110
Switzerland,Europe,,2013-01,71
Spain,Europe,,2013-01,53
United Kingdom,Europe,,2013-01,406
Austria,Europe,,2013-01,58
Sweden,Europe,,2013-01,99
Russian Federation,Europe,,2013-01,32
"Others, Europe",Europe,,2013-01,174
Australia,Oceania,,2013-01,1431
New Zealand,Oceania,,2013-01,230
"Others, Oceania",Oceania,,2013-01,7
S. Africa,Africa,,2013-01,118
"Others, Africa",Africa,,2013-01,31
Unstated,,,2013-01,3
France,Europe,,2013-01,421
Belgium,Europe,,2013-01,38
Greece,Europe,,2013-01,4
Argentina,America,,2013-01,35
Mainland China,Asia,,2013-01,5327
"Others, America",America,,2013-01,110
Japan,Asia,,2013-01,3514
"Korea,Republic of",Asia,,2013-01,1184
India,Asia,,2013-01,178
Middle East,Asia,,2013-01,74
Singapore,Asia,Southeast Asia,2013-01,1016
Indonesia,Asia,Southeast Asia,2013-01,710
Philippines,Asia,Southeast Asia,2013-01,668
Malaysia,Asia,Southeast Asia,2013-01,1254
Vietnam,Asia,Southeast Asia,2013-01,1310
"Others, Southeast Asia",Asia,Southeast Asia,2013-01,107
"Others, Asia",Asia,,2013-01,55
Canada,America,,2013-01,1324
United States of America,America,,2013-01,8826
Mexico,America,,2013-01,22
Brazil,America,,2013-01,87
Thailand,Asia,Southeast Asia,2013-01,643
Germany,Europe,,2013-02,486
Austria,Europe,,2013-02,66
Italy,Europe,,2013-02,104
Netherlands,Europe,,2013-02,183
Switzerland,Europe,,2013-02,112
Spain,Europe,,2013-02,71
United Kingdom,Europe,,2013-02,644
Greece,Europe,,2013-02,3
Unstated,,,2013-02,10
Russian Federation,Europe,,2013-02,41
"Others, Europe",Europe,,2013-02,239
Australia,Oceania,,2013-02,1136
New Zealand,Oceania,,2013-02,303
"Others, Oceania",Oceania,,2013-02,6
S. Africa,Africa,,2013-02,141
"Others, Africa",Africa,,2013-02,50
France,Europe,,2013-02,585
Sweden,Europe,,2013-02,73
Belgium,Europe,,2013-02,53
"Others, America",America,,2013-02,114
HongKong. Macao,Asia,,2013-02,8540
Argentina,America,,2013-02,20
Mainland China,Asia,,2013-02,5800
Japan,Asia,,2013-02,5175
"Korea,Republic of",Asia,,2013-02,1502
India,Asia,,2013-02,267
Malaysia,Asia,Southeast Asia,2013-02,2861
Singapore,Asia,Southeast Asia,2013-02,1770
Indonesia,Asia,Southeast Asia,2013-02,927
Middle East,Asia,,2013-02,83
Thailand,Asia,Southeast Asia,2013-02,1044
Vietnam,Asia,Southeast Asia,2013-02,2499
"Others, Southeast Asia",Asia,Southeast Asia,2013-02,122
"Others, Asia",Asia,,2013-02,138
Canada,America,,2013-02,1840
United States of America,America,,2013-02,11511
Mexico,America,,2013-02,21
Philippines,Asia,Southeast Asia,2013-02,774
Brazil,America,,2013-02,61
Vietnam,Asia,Southeast Asia,2013-03,2846
"Others, Southeast Asia",Asia,Southeast Asia,2013-03,141
"Others, Asia",Asia,,2013-03,149
Mexico,America,,2013-03,19
United States of America,America,,2013-03,11829
Mainland China,Asia,,2013-03,4497
Canada,America,,2013-03,1854
Japan,Asia,,2013-03,3777
"Korea,Republic of",Asia,,2013-03,987
India,Asia,,2013-03,217
Middle East,Asia,,2013-03,85
Malaysia,Asia,Southeast Asia,2013-03,1512
Singapore,Asia,Southeast Asia,2013-03,1324
Indonesia,Asia,Southeast Asia,2013-03,884
Philippines,Asia,Southeast Asia,2013-03,627
Thailand,Asia,Southeast Asia,2013-03,904
Brazil,America,,2013-03,47
HongKong. Macao,Asia,,2013-03,3176
Argentina,America,,2013-03,10
Germany,Europe,,2013-03,457
Belgium,Europe,,2013-03,60
Unstated,,,2013-03,14
"Others, Africa",Africa,,2013-03,34
"Others, America",America,,2013-03,87
"Others, Oceania",Oceania,,2013-03,2
New Zealand,Oceania,,2013-03,240
Australia,Oceania,,2013-03,1241
"Others, Europe",Europe,,2013-03,226
Russian Federation,Europe,,2013-03,31
Sweden,Europe,,2013-03,82
S. Africa,Africa,,2013-03,78
Austria,Europe,,2013-03,81
United Kingdom,Europe,,2013-03,628
Spain,Europe,,2013-03,75
Switzerland,Europe,,2013-03,91
Netherlands,Europe,,2013-03,120
Italy,Europe,,2013-03,82
France,Europe,,2013-03,453
Greece,Europe,,2013-03,5
Vietnam,Asia,Southeast Asia,2013-04,2203
Thailand,Asia,Southeast Asia,2013-04,1350
Philippines,Asia,Southeast Asia,2013-04,926
Indonesia,Asia,Southeast Asia,2013-04,770
Singapore,Asia,Southeast Asia,2013-04,1165
"Korea,Republic of",Asia,,2013-04,1053
Middle East,Asia,,2013-04,72
India,Asia,,2013-04,189
Japan,Asia,,2013-04,3638
"Others, Southeast Asia",Asia,Southeast Asia,2013-04,191
Mainland China,Asia,,2013-04,4429
HongKong. Macao,Asia,,2013-04,2628
Malaysia,Asia,Southeast Asia,2013-04,1567
"Others, Asia",Asia,,2013-04,76
Belgium,Europe,,2013-04,48
United States of America,America,,2013-04,11040
Unstated,,,2013-04,4
S. Africa,Africa,,2013-04,74
"Others, Oceania",Oceania,,2013-04,6
New Zealand,Oceania,,2013-04,241
Australia,Oceania,,2013-04,1054
"Others, Europe",Europe,,2013-04,185
Russian Federation,Europe,,2013-04,33
Sweden,Europe,,2013-04,66
Greece,Europe,,2013-04,4
Austria,Europe,,2013-04,72
United Kingdom,Europe,,2013-04,451
Spain,Europe,,2013-04,47
Switzerland,Europe,,2013-04,104
Netherlands,Europe,,2013-04,181
Italy,Europe,,2013-04,69
Germany,Europe,,2013-04,335
France,Europe,,2013-04,514
"Others, America",America,,2013-04,97
Argentina,America,,2013-04,10
Brazil,America,,2013-04,42
Mexico,America,,2013-04,41
Canada,America,,2013-04,1371
"Others, Africa",Africa,,2013-04,41
Japan,Asia,,2013-05,2586
"Others, Oceania",Oceania,,2013-05,13
Mexico,America,,2013-05,17
United States of America,America,,2013-05,11524
Canada,America,,2013-05,1275
"Others, Asia",Asia,,2013-05,47
"Others, Southeast Asia",Asia,Southeast Asia,2013-05,123
Vietnam,Asia,Southeast Asia,2013-05,2083
Brazil,America,,2013-05,51
Thailand,Asia,Southeast Asia,2013-05,902
Indonesia,Asia,Southeast Asia,2013-05,754
Singapore,Asia,Southeast Asia,2013-05,1153
Malaysia,Asia,Southeast Asia,2013-05,1916
Middle East,Asia,,2013-05,58
India,Asia,,2013-05,235
"Korea,Republic of",Asia,,2013-05,1024
Philippines,Asia,Southeast Asia,2013-05,715
Argentina,America,,2013-05,7
"Others, America",America,,2013-05,90
Mainland China,Asia,,2013-05,3847
New Zealand,Oceania,,2013-05,168
Australia,Oceania,,2013-05,834
"Others, Europe",Europe,,2013-05,138
Russian Federation,Europe,,2013-05,37
HongKong. Macao,Asia,,2013-05,2614
Sweden,Europe,,2013-05,38
Greece,Europe,,2013-05,6
Austria,Europe,,2013-05,50
United Kingdom,Europe,,2013-05,346
Spain,Europe,,2013-05,31
Switzerland,Europe,,2013-05,61
Netherlands,Europe,,2013-05,130
Italy,Europe,,2013-05,68
Germany,Europe,,2013-05,291
France,Europe,,2013-05,348
S. Africa,Africa,,2013-05,60
Belgium,Europe,,2013-05,41
Unstated,,,2013-05,3
"Others, Africa",Africa,,2013-05,34
Mainland China,Asia,,2013-06,4591
Italy,Europe,,2013-06,121
Netherlands,Europe,,2013-06,123
Switzerland,Europe,,2013-06,76
Spain,Europe,,2013-06,71
United Kingdom,Europe,,2013-06,398
Austria,Europe,,2013-06,62
Greece,Europe,,2013-06,8
Sweden,Europe,,2013-06,110
Russian Federation,Europe,,2013-06,52
"Others, Europe",Europe,,2013-06,219
Australia,Oceania,,2013-06,1004
"Others, Oceania",Oceania,,2013-06,13
S. Africa,Africa,,2013-06,97
"Others, Africa",Africa,,2013-06,46
Unstated,,,2013-06,5
HongKong. Macao,Asia,,2013-06,3398
Germany,Europe,,2013-06,304
France,Europe,,2013-06,444
New Zealand,Oceania,,2013-06,196
"Others, America",America,,2013-06,127
"Korea,Republic of",Asia,,2013-06,1075
India,Asia,,2013-06,182
Middle East,Asia,,2013-06,78
Malaysia,Asia,Southeast Asia,2013-06,1767
Singapore,Asia,Southeast Asia,2013-06,1721
Belgium,Europe,,2013-06,62
Indonesia,Asia,Southeast Asia,2013-06,1351
Philippines,Asia,Southeast Asia,2013-06,488
Japan,Asia,,2013-06,2638
Vietnam,Asia,Southeast Asia,2013-06,2623
"Others, Southeast Asia",Asia,Southeast Asia,2013-06,136
"Others, Asia",Asia,,2013-06,48
Canada,America,,2013-06,1305
United States of America,America,,2013-06,15353
Mexico,America,,2013-06,16
Brazil,America,,2013-06,45
Argentina,America,,2013-06,8
Thailand,Asia,Southeast Asia,2013-06,712
Austria,Europe,,2013-07,128
United Kingdom,Europe,,2013-07,609
Italy,Europe,,2013-07,129
Switzerland,Europe,,2013-07,169
Netherlands,Europe,,2013-07,179
Greece,Europe,,2013-07,14
Spain,Europe,,2013-07,112
Sweden,Europe,,2013-07,82
New Zealand,Oceania,,2013-07,206
"Others, Europe",Europe,,2013-07,215
Australia,Oceania,,2013-07,817
"Others, Oceania",Oceania,,2013-07,6
S. Africa,Africa,,2013-07,113
"Others, Africa",Africa,,2013-07,40
Unstated,,,2013-07,15
Germany,Europe,,2013-07,469
Russian Federation,Europe,,2013-07,52
Belgium,Europe,,2013-07,72
France,Europe,,2013-07,709
Mainland China,Asia,,2013-07,6776
HongKong. Macao,Asia,,2013-07,3393
"Others, America",America,,2013-07,91
Japan,Asia,,2013-07,3433
"Korea,Republic of",Asia,,2013-07,1489
India,Asia,,2013-07,232
Middle East,Asia,,2013-07,91
Singapore,Asia,Southeast Asia,2013-07,1198
Indonesia,Asia,Southeast Asia,2013-07,886
Philippines,Asia,Southeast Asia,2013-07,491
Malaysia,Asia,Southeast Asia,2013-07,1891
Vietnam,Asia,Southeast Asia,2013-07,2451
Argentina,America,,2013-07,7
Thailand,Asia,Southeast Asia,2013-07,735
Mexico,America,,2013-07,28
United States of America,America,,2013-07,12764
Brazil,America,,2013-07,49
"Others, Asia",Asia,,2013-07,51
"Others, Southeast Asia",Asia,Southeast Asia,2013-07,148
Canada,America,,2013-07,1690
Mexico,America,,2013-08,33
Thailand,Asia,Southeast Asia,2013-08,795
United States of America,America,,2013-08,10926
Canada,America,,2013-08,1401
"Others, Asia",Asia,,2013-08,54
"Others, Southeast Asia",Asia,Southeast Asia,2013-08,160
Vietnam,Asia,Southeast Asia,2013-08,2358
Philippines,Asia,Southeast Asia,2013-08,557
Brazil,America,,2013-08,36
Singapore,Asia,Southeast Asia,2013-08,1227
Malaysia,Asia,Southeast Asia,2013-08,1987
Middle East,Asia,,2013-08,67
India,Asia,,2013-08,253
"Korea,Republic of",Asia,,2013-08,1758
Japan,Asia,,2013-08,5831
Mainland China,Asia,,2013-08,5266
HongKong. Macao,Asia,,2013-08,3841
Indonesia,Asia,Southeast Asia,2013-08,1367
Argentina,America,,2013-08,15
United Kingdom,Europe,,2013-08,633
Belgium,Europe,,2013-08,63
"Others, America",America,,2013-08,110
Unstated,,,2013-08,10
"Others, Africa",Africa,,2013-08,49
S. Africa,Africa,,2013-08,114
"Others, Oceania",Oceania,,2013-08,9
New Zealand,Oceania,,2013-08,165
"Others, Europe",Europe,,2013-08,218
Russian Federation,Europe,,2013-08,55
Australia,Oceania,,2013-08,721
Greece,Europe,,2013-08,7
Austria,Europe,,2013-08,81
Spain,Europe,,2013-08,110
Switzerland,Europe,,2013-08,91
Netherlands,Europe,,2013-08,129
Italy,Europe,,2013-08,102
Germany,Europe,,2013-08,533
France,Europe,,2013-08,603
Sweden,Europe,,2013-08,53
Thailand,Asia,Southeast Asia,2013-09,579
United States of America,America,,2013-09,8503
Canada,America,,2013-09,1304
"Others, Asia",Asia,,2013-09,54
"Others, Southeast Asia",Asia,Southeast Asia,2013-09,107
Vietnam,Asia,Southeast Asia,2013-09,2229
Philippines,Asia,Southeast Asia,2013-09,506
HongKong. Macao,Asia,,2013-09,4510
Singapore,Asia,Southeast Asia,2013-09,1171
Malaysia,Asia,Southeast Asia,2013-09,1676
Middle East,Asia,,2013-09,92
India,Asia,,2013-09,183
"Korea,Republic of",Asia,,2013-09,1296
Japan,Asia,,2013-09,3209
Mainland China,Asia,,2013-09,4778
Mexico,America,,2013-09,8
Indonesia,Asia,Southeast Asia,2013-09,863
Brazil,America,,2013-09,42
Switzerland,Europe,,2013-09,78
"Others, America",America,,2013-09,95
"Others, Africa",Africa,,2013-09,42
S. Africa,Africa,,2013-09,85
"Others, Oceania",Oceania,,2013-09,12
New Zealand,Oceania,,2013-09,251
Australia,Oceania,,2013-09,1229
"Others, Europe",Europe,,2013-09,199
Russian Federation,Europe,,2013-09,64
Argentina,America,,2013-09,6
Sweden,Europe,,2013-09,43
Austria,Europe,,2013-09,78
United Kingdom,Europe,,2013-09,440
Spain,Europe,,2013-09,65
Netherlands,Europe,,2013-09,114
Italy,Europe,,2013-09,96
Germany,Europe,,2013-09,381
France,Europe,,2013-09,361
Belgium,Europe,,2013-09,43
Greece,Europe,,2013-09,4
Unstated,,,2013-09,2
Sweden,Europe,,2013-10,69
Russian Federation,Europe,,2013-10,42
United Kingdom,Europe,,2013-10,452
Middle East,Asia,,2013-10,73
India,Asia,,2013-10,178
"Korea,Republic of",Asia,,2013-10,1289
Japan,Asia,,2013-10,2686
Mainland China,Asia,,2013-10,4719
Austria,Europe,,2013-10,58
Unstated,,,2013-10,9
"Others, Africa",Africa,,2013-10,33
S. Africa,Africa,,2013-10,80
"Others, Oceania",Oceania,,2013-10,5
New Zealand,Oceania,,2013-10,273
Australia,Oceania,,2013-10,989
"Others, Europe",Europe,,2013-10,231
HongKong. Macao,Asia,,2013-10,2644
Spain,Europe,,2013-10,65
Malaysia,Asia,Southeast Asia,2013-10,1695
Singapore,Asia,Southeast Asia,2013-10,1271
Greece,Europe,,2013-10,7
Philippines,Asia,Southeast Asia,2013-10,494
Indonesia,Asia,Southeast Asia,2013-10,914
Switzerland,Europe,,2013-10,97
Netherlands,Europe,,2013-10,120
Italy,Europe,,2013-10,89
Germany,Europe,,2013-10,357
France,Europe,,2013-10,459
"Others, America",America,,2013-10,88
Argentina,America,,2013-10,5
Belgium,Europe,,2013-10,71
Mexico,America,,2013-10,15
United States of America,America,,2013-10,10679
Canada,America,,2013-10,1398
"Others, Asia",Asia,,2013-10,53
"Others, Southeast Asia",Asia,Southeast Asia,2013-10,159
Vietnam,Asia,Southeast Asia,2013-10,1645
Thailand,Asia,Southeast Asia,2013-10,821
Brazil,America,,2013-10,42
Brazil,America,,2013-11,37
Vietnam,Asia,Southeast Asia,2013-11,1541
Mexico,America,,2013-11,25
United States of America,America,,2013-11,12308
Canada,America,,2013-11,1436
"Others, Asia",Asia,,2013-11,248
"Others, Southeast Asia",Asia,Southeast Asia,2013-11,128
Thailand,Asia,Southeast Asia,2013-11,609
Mainland China,Asia,,2013-11,4557
Indonesia,Asia,Southeast Asia,2013-11,698
Singapore,Asia,Southeast Asia,2013-11,1594
Malaysia,Asia,Southeast Asia,2013-11,2258
Middle East,Asia,,2013-11,76
India,Asia,,2013-11,171
"Korea,Republic of",Asia,,2013-11,1370
Japan,Asia,,2013-11,2584
Argentina,America,,2013-11,11
Philippines,Asia,Southeast Asia,2013-11,465
"Others, America",America,,2013-11,72
HongKong. Macao,Asia,,2013-11,2644
France,Europe,,2013-11,356
Belgium,Europe,,2013-11,63
Unstated,,,2013-11,7
"Others, Africa",Africa,,2013-11,35
S. Africa,Africa,,2013-11,62
"Others, Oceania",Oceania,,2013-11,8
Australia,Oceania,,2013-11,1052
"Others, Europe",Europe,,2013-11,154
Russian Federation,Europe,,2013-11,38
New Zealand,Oceania,,2013-11,227
Greece,Europe,,2013-11,5
Austria,Europe,,2013-11,57
United Kingdom,Europe,,2013-11,398
Spain,Europe,,2013-11,71
Switzerland,Europe,,2013-11,72
Netherlands,Europe,,2013-11,105
Italy,Europe,,2013-11,81
Sweden,Europe,,2013-11,67
Germany,Europe,,2013-11,301
United Kingdom,Europe,,2013-12,609
Switzerland,Europe,,2013-12,123
Belgium,Europe,,2013-12,56
Italy,Europe,,2013-12,101
France,Europe,,2013-12,541
Austria,Europe,,2013-12,80
Netherlands,Europe,,2013-12,187
Greece,Europe,,2013-12,4
Unstated,,,2013-12,21
Russian Federation,Europe,,2013-12,41
"Others, Europe",Europe,,2013-12,213
Australia,Oceania,,2013-12,2140
New Zealand,Oceania,,2013-12,506
"Others, Oceania",Oceania,,2013-12,15
S. Africa,Africa,,2013-12,175
"Others, Africa",Africa,,2013-12,41
"Others, America",America,,2013-12,125
Sweden,Europe,,2013-12,102
Argentina,America,,2013-12,38
Spain,Europe,,2013-12,96
Mexico,America,,2013-12,21
Brazil,America,,2013-12,133
HongKong. Macao,Asia,,2013-12,3705
Mainland China,Asia,,2013-12,4561
Japan,Asia,,2013-12,4062
"Korea,Republic of",Asia,,2013-12,1451
India,Asia,,2013-12,205
Middle East,Asia,,2013-12,63
Malaysia,Asia,Southeast Asia,2013-12,2245
Singapore,Asia,Southeast Asia,2013-12,1975
Germany,Europe,,2013-12,487
Philippines,Asia,Southeast Asia,2013-12,778
Indonesia,Asia,Southeast Asia,2013-12,1092
United States of America,America,,2013-12,18092
Canada,America,,2013-12,2299
"Others, Asia",Asia,,2013-12,219
Thailand,Asia,Southeast Asia,2013-12,759
Vietnam,Asia,Southeast Asia,2013-12,1661
"Others, Southeast Asia",Asia,Southeast Asia,2013-12,167
Indonesia,Asia,Southeast Asia,2014-01,687
Germany,Europe,,2014-01,444
France,Europe,,2014-01,443
Belgium,Europe,,2014-01,34
"Others, America",America,,2014-01,117
Argentina,America,,2014-01,33
Brazil,America,,2014-01,102
Mexico,America,,2014-01,29
United States of America,America,,2014-01,12429
Italy,Europe,,2014-01,97
Canada,America,,2014-01,1785
"Others, Asia",Asia,,2014-01,187
"Others, Southeast Asia",Asia,Southeast Asia,2014-01,117
Vietnam,Asia,Southeast Asia,2014-01,1132
Thailand,Asia,Southeast Asia,2014-01,525
Philippines,Asia,Southeast Asia,2014-01,573
Middle East,Asia,,2014-01,53
Netherlands,Europe,,2014-01,150
Austria,Europe,,2014-01,81
Spain,Europe,,2014-01,105
Malaysia,Asia,Southeast Asia,2014-01,1487
"Korea,Republic of",Asia,,2014-01,1465
India,Asia,,2014-01,126
Unstated,,,2014-01,12
"Others, Africa",Africa,,2014-01,24
S. Africa,Africa,,2014-01,99
"Others, Oceania",Oceania,,2014-01,5
Switzerland,Europe,,2014-01,109
New Zealand,Oceania,,2014-01,396
Mainland China,Asia,,2014-01,7505
HongKong. Macao,Asia,,2014-01,4147
"Others, Europe",Europe,,2014-01,272
Russian Federation,Europe,,2014-01,23
Sweden,Europe,,2014-01,81
Greece,Europe,,2014-01,10
United Kingdom,Europe,,2014-01,555
Japan,Asia,,2014-01,3582
Australia,Oceania,,2014-01,1920
Singapore,Asia,Southeast Asia,2014-01,1377
Netherlands,Europe,,2014-02,82
France,Europe,,2014-02,340
Germany,Europe,,2014-02,260
Italy,Europe,,2014-02,50
Switzerland,Europe,,2014-02,43
Spain,Europe,,2014-02,40
United Kingdom,Europe,,2014-02,282
Austria,Europe,,2014-02,53
"Others, America",America,,2014-02,71
Greece,Europe,,2014-02,0
S. Africa,Africa,,2014-02,44
"Others, Oceania",Oceania,,2014-02,12
New Zealand,Oceania,,2014-02,197
Australia,Oceania,,2014-02,748
"Others, Europe",Europe,,2014-02,161
Russian Federation,Europe,,2014-02,9
Sweden,Europe,,2014-02,29
"Others, Africa",Africa,,2014-02,16
Argentina,America,,2014-02,24
Belgium,Europe,,2014-02,18
Mexico,America,,2014-02,15
Unstated,,,2014-02,19
HongKong. Macao,Asia,,2014-02,5954
Mainland China,Asia,,2014-02,4606
Japan,Asia,,2014-02,1373
"Korea,Republic of",Asia,,2014-02,892
India,Asia,,2014-02,67
Middle East,Asia,,2014-02,34
Brazil,America,,2014-02,40
Singapore,Asia,Southeast Asia,2014-02,768
Malaysia,Asia,Southeast Asia,2014-02,935
Philippines,Asia,Southeast Asia,2014-02,232
Thailand,Asia,Southeast Asia,2014-02,219
Vietnam,Asia,Southeast Asia,2014-02,799
"Others, Southeast Asia",Asia,Southeast Asia,2014-02,43
"Others, Asia",Asia,,2014-02,49
Canada,America,,2014-02,1158
United States of America,America,,2014-02,7620
Indonesia,Asia,Southeast Asia,2014-02,487
Argentina,America,,2014-03,6
Canada,America,,2014-03,1593
Brazil,America,,2014-03,43
Mexico,America,,2014-03,15
United States of America,America,,2014-03,10269
